,Recipients,philanthropy,philanthropy Telugu
3311,Romesh Wadhwani,"Wadhwani is on the board of trustees of the John F. Kennedy Center for the Performing Arts and the Center for Strategic and International Studies, both in Washington, D.C.He established the Wadhwani Foundation for economic development in emerging economies, with an initial focus on India. Initiatives in India include the National Entrepreneurship Network, which has established programs to enable growth-centric entrepreneurship at over 500 universities and colleges; a skills college network to help train and place large numbers of young adults in vocational jobs; an opportunities network for the disabled; and a research initiative in biosciences and biotechnology to help create jobs through innovation. The Foundation has launched a US-India policy initiative, with Rick Inderfurth, previously Assistant Secretary of State, as the Wadhwani Chair at the Center for Strategic and International Studies, a policy think tank in Washington D.C. and Hemant Singh, former Indian Ambassador to Japan, as the head of the Wadhwani program at ICRIER, a major policy institute in Delhi. Wadhwani won the India Abroad Award for Lifetime Achievement in 2013.In 2012, he inaugurated a new research centre at the National Centre for Biological Sciences (NCBS) in Bangalore, named after his late mother, Shanta Wadhwani","జాన్ ఎఫ్, ధర్మకర్తల బోర్డులో వాధ్వానీ ఉన్నారు. కెన్నెడీ సెంటర్ ఫర్ ది పెర్ఫార్మింగ్ ఆర్ట్స్, సెంటర్ ఫర్ స్ట్రాటజిక్ అండ్ ఇంటర్నేషనల్ స్టడీస్, రెండూ వాషింగ్టన్, D. సి. ఇతను భారతదేశంపై ప్రాథమిక దృష్టితో అభివృద్ధి చెందుతున్న ఆర్థిక వ్యవస్థలలో ఆర్థిక అభివృద్ధి కోసం వాధ్వాని ఫౌండేషన్ను స్థాపించాడు. భారతదేశంలోని చొరవలలో నేషనల్ ఎంటర్ప్రెన్యూర్షిప్ నెట్వర్క్ ఉంది, ఇది 500 పైగా విశ్వవిద్యాలయాలు, కళాశాలల్లో వృద్ధి-కేంద్రీకృత వ్యవస్థాపకతను ప్రారంభించేందుకు కార్యక్రమాలను ఏర్పాటు చేసింది; వృత్తి ఉద్యోగాలలో పెద్ద సంఖ్యలో యువకులకు శిక్షణ ఇవ్వడానికి, ఉంచడానికి నైపుణ్యాల కళాశాల నెట్వర్క్; వికలాంగులకు అవకాశాల నెట్వర్క్;, బయోసైన్సెస్, బయోటెక్నాలజీలో పరిశోధన చొరవ, ఆవిష్కరణల ద్వారా ఉద్యోగాలను సృష్టించడంలో సహాయపడతాయి. ఫౌండేషన్ US-ఇండియా విధాన చొరవను ప్రారంభించింది, రిక్ ఇండెర్ఫర్త్, గతంలో సహాయ కార్యదర్శి ఆఫ్ స్టేట్, సెంటర్ ఫర్ స్ట్రాటజిక్ అండ్ ఇంటర్నేషనల్ స్టడీస్లో వాధ్వాని చైర్గా, వాషింగ్టన్ Dలోని పాలసీ థింక్ ట్యాంక్. సి., హేమంత్ సింగ్, జపాన్లో మాజీ భారత రాయబారి, ఢిల్లీలోని ఒక ప్రధాన విధాన సంస్థ అయిన ICRIERలో వాధ్వాని కార్యక్రమానికి అధిపతిగా ఉన్నారు. వాధ్వానీ 2013లో లైఫ్టైమ్ అచీవ్మెంట్ కోసం ఇండియా అబ్రాడ్ అవార్డును గెలుచుకున్నారు. 2012లో, బెంగుళూరులోని నేషనల్ సెంటర్ ఫర్ బయోలాజికల్ సైన్సెస్ (NCBS)లో తన దివంగత తల్లి శాంతా వాధ్వాని పేరు మీద కొత్త పరిశోధనా కేంద్రాన్ని ప్రారంభించాడు. "
3312,Romuald D'Souza,,
3313,Romulus Whitaker,,
3314,Ronald Carlton Vivian Piadade Noronha,,
3315,Ronen Sen,,
3316,Rongbong Terang,,
3317,Roshan Kumari,,
3318,Roshan Lal Anand,,
3319,Roshan Phooken,,
3320,Rostislav Rybakov,,
3321,Rudraradhya Muddu Basavaradhya,,
3322,Rukmini Baburao Pawar,,
3323,Rukmini Devi Arundale,,
3324,Runa Banerjee,,
3325,Ruskin Bond,,
3326,Russi Mody,,
3327,Rustom Jal Vakil,,
3328,Rustom Phiroze Soonawala,,
3329,Rustomji Bomanji Billimoria,,
3330,Rustomji Marwanji Alpaiwala,,
3331,S. B. Mujumdar,,
3332,S. C. Jamir,,
3333,S. C. Manchanda,,
3334,S. C. Munshi,,
3335,S. D. Burman,,
3336,S. Dhakshinamurthy Pillai,,
3337,S. G. Mahalingayyar Subramaniam,,
3338,S. G. Thakur Singh,,
3339,S. H. Raza,,
3340,S. I. Padmavati,,
3341,S. Jaishankar,,
3342,S. K. M. Maeilanandhan,,
3343,S. K. Misra,,
3344,S. K. Sama,,
3345,S. K. Shivkumar,,
3346,S. K. Sikka,,
3347,S. Krishnaswamy,,
3348,S. L. Bhyrappa,,
3349,S. M. Ganapathy,,
3350,S. N. Goenka,,
3351,S. N. Swamy,,
3352,S. Narasimhan,,
3353,S. P. Balasubrahmanyam,,
3354,S. P. Balasubramaniam,,
3355,S. P. Kothari,,
3356,S. P. Nimbalkar,,
3357,S. P. Oswal,,
3358,S. P. P. Thorat,,
3359,S. P. Varma,,
3360,S. R. Janakiraman,,
3361,S. R. Ranganathan,,
3362,S. R. Srinivasa Varadhan,,
3363,S. Ramachandran,,
3364,S. Ramakrishnan,,
3365,S. Ramaswamy Iyer Balasubrahmanyam,,
3366,S. S. Badrinath,,
3367,S. S. Rajamouli,,
3368,S. S. Rathore,,
3369,S. S. Vasan,,
3370,S. Shakir Ali,,
3371,S. Somasundaram,,
3372,S. Srinivasa Sriramacharyulu,,
3373,S. Srinivasan,,
3374,S. V. S. Raghavan,,
3375,Saalumarada Thimmakka,,
3376,Saba Anjum Karim,,
3377,Sabarmatee,,
3378,Sabitri Chatterjee,,
3379,Sabitri Heisnam,,
3380,Sabri Khan,,
3381,Sabya Sachi Sarkar,,
3382,Sachchidanand Sahai,,
3383,Sachidananda Routray,,
3384,Sachin Tendulkar,,
3385,Sadashiv Rath Sharma,,
3386,Sadashiv Vasantrao Gorakshkar,,
3387,Sadasiv Misra,,
3388,Sadat Abul Masud,,
3389,Sadhu Meher,,
3390,Sadhu Singh Hamdard,,
3391,Sadiq-ur-Rahman Kidwai,,
3392,Saeed Jaffrey,,
3393,Sagat Singh,,
3394,Sahir Ludhianvi,,
3395,Sai Paranjpye,,
3396,Saibaba Goud,,
3397,Saichiro Misumi,,
3398,Saif Ali Khan,,
3399,Saif-ud-din Ahmad,,
3400,Saikhom Mirabai Chanu,,
3401,Sailabala Das,,
3402,Sailen Manna,,
3403,Sailesh Kumar Bandopadhyay,,
3404,Saina Nehwal,,
3405,Saiyid Amir Hasan Abidi,,
3406,Sajan Misra,,
3407,Sakar Khan Manganiar,,
3408,Sakharam Abaji Pawar Patil,,
3409,Sakshi Malik,,
3410,Salam Machhlisheri,,
3411,Saliha Abid Hussain,,
3412,Salik Lucknawi,,
3413,Salim Ali,,
3414,"Salman Amin ""Sal"" Khan",,
3415,Sam Manekshaw,,
3416,Sam Pitroda,,
3417,Samad Yar Khan Saghar Nizami,,
3418,Samarendranath Sen,,
3419,Samiran Nundy,,
3420,Sampat Ramteke,,
3421,Samta Prasad,,
3422,Samuel Paul,,
3423,Sandeep Guleria,,
3424,Sandip Kumar Basu,,
3425,Sandra Desa Souza,,
3426,Sanduk Ruit,,
3427,Sanganbasappa Mallangouda Patil,,
3428,Sania Mirza,,
3429,Sanjay Govind Dhande,,
3430,Sanjay Leela Bhansali,,
3431,Sanjaya Rajaram,,
3432,Sanjeev Bagai,,
3433,Sanjeev Bikhchandani,,
3434,Sanjeev Kapoor,,
3435,Sanjida Khatun,,
3436,Sanjukta Panigrahi,,
3437,Sankar Kumar Pal,,
3438,Sankho Chaudhuri,,
3439,Sant Kaur,,
3440,Sant Singh Chatwal,,
3441,Sant Singh Sekhon,,
3442,Sant Singh Virmani,,
3443,Santidev Ghosh,,
3444,Santosh Kumar Kackar,,
3445,Santosh Kumar Mazumdar,,
3446,Santosh Kumar Mukerji,,
3447,Santosh Kumar Mukherjee,,
3448,Santosh Kumar Sen,,
3449,Santosh Sivan,,
3450,Santosh Yadav,,
3451,Santu Shahaney,,
3452,Sarabjit Singh,,
3453,Sarbdeep Singh Virk,,
3454,Sarbeswar Sahariah,,
3455,Sarda Nand Singh,,
3456,Sarda Prasad Varma,,
3457,Sardar Anjum,,
3458,Sardar Harnarain Singh,,
3459,Sardar Mohan Singh,,
3460,Sardar Sohan Singh,,
3461,Sardara Singh,,
3462,Sardara Singh Johl,,
3463,Sardarilal Mathradas Nanda,,
3464,Sarita Joshi,,
3465,Saroj Chooramani Gopal,,
3466,Saroj Ghose,,
3467,Saroj Kumar Gupta,,
3468,Saroj Raj Choudhury,,
3469,Saroja Chidambaram,,
3470,Saroja Vaidyanathan,,
3471,Sarojini Varadappan,,
3472,Sartaj Singh,,
3473,Sarungbam Bimola Kumari Devi,,
3474,Sarvagya Singh Katiyar,,
3475,Sarvepalli Gopal,,
3476,Saryu Vinod Doshi,,
3477,Sashadhar Mukherjee,,
3478,Sat Pal Khattar,,
3479,Satchindanand Keshav Nargundkar,,
3480,Sathyanarayan Mundayoor,,
3481,Satish Alekar,,
3482,Satish Chandra Kakati,,
3483,Satish Chandra Kala,,
3484,Satish Chandra Majumdar,,
3485,Satish Chandra Rai,,
3486,Satish Dhawan,,
3487,Satish Gujral,,
3488,Satish Kumar,,
3489,Satish Kumar Kaura,,
3490,Satish Nambiar,,
3491,Satish Vyas,,
3492,Satpal Singh,,
3493,Sattaiyappa Dhandapani Desikar,,
3494,Satya Dev,,
3495,Satya N. Atluri,,
3496,Satya Narayan Gourisaria,,
3497,Satya Narayana Shastri,,
3498,Satya Pal Jagota,,
3499,Satya Pal Wahi,,
3500,Satya Paul Agarwal,,
3501,Satya Prakash,,
3502,Satya Prosad Chatterjee,,
3503,Satya Vrat Shastri,,
3504,Satyadev Dubey,,
3505,Satyajit Ray,,
3506,Satyamitranand Giri,,
3507,Satyanarayana Rajguru,,
3508,Satyapal Dang,,
3509,Satyaram Reang,,
3510,Satyendra Nath Bose,,
3511,Saumitra Rawat,,
3512,Saurabh Srivastava,,
3513,Savita Behen,,
3514,Savitri Indrajit Parekh,,
3515,Savitri Sahni,,
3516,Sayed Mehboob Shah Qadri,,
3517,Sayyid Ahmedullah Qadri,,
3518,Sekhar Basu,,
3519,Sekharipuram Narayana Aiyar Seshadri,,
3520,Selma D' Silva,,
3521,Semmangudi Srinivasa Iyer,,
3522,Sengaku Mayeda,,
3523,Sentila T. Yanger,,
3524,Seth Govind Das,,
3525,Seth Sri Krishan Dass,,
3526,Setu Madhavrao Pagdi,,
3527,Seyed E. Hasnain,,
3528,Shabana Azmi,,
3529,Shabbir Sayyad,,
3530,Shadab Mohammad,,
3531,Shadi Lal Dhawan,,
3532,Shafaat Ahmed Khan,,
3533,Shah Rukh Khan,,
3534,Shahabuddin Rathod,,
3535,Shahid Parvez Khan,,
3536,Shahir Krishnarao Sable,,
3537,Shahnaz Husain,,
3538,Shaik Khader Noordeen,,
3539,Shailendra Nath Shrivastava,,
3540,Shaji N. Karun,,
3541,Shakoor Khan,,
3542,Shakuntala Paranjpye,,
3543,Shalil Ghosh,,
3544,Shalini Moghe,,
3545,Shamaprasad Rupshanker Vasavada,,
3546,Shambhu Dayal Sinvhal,,
3547,Shambhu Maharaj,,
3548,Shambu Nath Khajuria,,
3549,Shambu Nath Mukheerjee,,
3550,Shameem Dev Azad,,
3551,Shamrao Sakaramrao Kadam,,
3552,Shamshad Begum,,
3553,Shamshad Begum (social worker),,
3554,Shamsher Singh,,
3555,Shamsuddin Sheikh,,
3556,Shamsur Rahman Faruqi,,
3557,Shankar Bapu Apegaonkar,,
3558,Shankar Lakshman,,
3559,Shankar Mahadevan,,
3560,Shankar Ramachandra Panhale,,
3561,Shanker Singh Ram Raghuvanshi,,
3562,Shankha Ghosh,,
3563,Shanmugam Kameshwaran,,
3564,Shanno Khurana,,
3565,Shanta Dhananjayan,,
3566,Shanta Gandhi,,
3567,Shanta Rao,,
3568,Shantanu Lakshman Kirloskar,,
3569,Shantanu Narayen,,
3570,Shantha Sinha,,
3571,Shanthi Ranganathan,,
3572,Shanti Dave,,
3573,Shanti Hiranand,,
3574,Shanti Jain,,
3575,Shanti Kumar Tribhuvandas Raja,,
3576,Shanti Lal Jain,,
3577,Shanti Prasad,,
3578,Shanti Roy,,
3579,Shanti Swaroop Bhatnagar,,
3580,Shanti Teresa Lakra,,
3581,Shantilal B. Pandya,,
3582,Shantilal C. Sheth,,
3583,Shantilal Jamnadas Mehta,,
3584,Shaoli Mitra,,
3585,Sharad Joshi,,
3586,Sharad Kumar Dixit,,
3587,Sharad Moreshwar Hardikar,,
3588,Sharad P. Kale,,
3589,Sharad Pawar,,
3590,Sharada Srinivasan,,
3591,Sharafat Hussain Khan,,
3592,Sharan Rani Backliwal,,
3593,Sharath Kamal,,
3594,Sharayu Daftary,,
3595,Sharda Sinha,,
3596,Shareefunnisa Begum Ansari,,
3597,Sharmila Tagore,,
3598,Shashadhar Acharya,,
3599,Shashank R. Joshi,,
3600,Shashi Bhushan,,
3601,Shashi Deshpande,,
3602,Shashi Kapoor,,
3603,Shashikala,,
3604,Shashikumar Chitre,,
3605,Shayama Chona,,
3606,Sheela Borthakur,,
3607,Sheela Patel,,
3608,Sheik Chinna Moulana,,
3609,Sheik Mahabook Subani,,
3610,Sheik Nazar,,
3611,Sheikh Abdullah,,
3612,Sheikh Gulab,,
3613,Sheikh Mohd. Rafique,,
3614,Sheila Bhatia,,
3615,Shekhar Gupta,,
3616,Shekhar Kapur,,
3617,Shekhar Naik,,
3618,Shekhar Pathak,,
3619,Shekhar Sen,,
3620,Sheldon Pollock,,
3621,Sheo Bhagwan Tibrewal,,
3622,Sher Singh Sher,,
3623,Shiba P. Chatterjee,,
3624,Shiela Mehra,,
3625,Shila Jhunjhunwala,,
3626,Shiny Abraham,,
3627,Shinzo Abe,,
3628,Shishupal Ram,,
3629,Shital Mahajan,,
3630,Shital Raj Mehta,,
3631,Shiv Datt Nirmohi,,
3632,Shiv Dutt Upadhyaya,,
3633,Shiv K. Kumar,,
3634,Shiv Kumar Sarin,,
3635,Shiv Nadar,,
3636,Shiv Narain Kureel,,
3637,Shiv Raj Kumar Malik,,
3638,Shiv Sharma,,
3639,Shivaji Ganesh Patwardhan,,
3640,Shivajirao Girdhar Patil,,
3641,Shivakumara Swami,,
3642,Shivanarayan Motilal Rathi,,
3643,Shivkumar Sharma,,
3644,Shivmangal Singh Suman,,
3645,Shivram Bhoje,,
3646,Shobana,,
3647,Shobha Deepak Singh,,
3648,Shobha Gurtu,,
3649,Shobha Naidu,,
3650,Shobha Raju,,
3651,Shobhana Bhartia,,
3652,Shobhana Ranade,,
3653,Shoji Shiba,,
3654,Shovana Narayan,,
3655,Shree Lal Joshi,,
3656,Shreekrishna Mahadeo Beharay,,
3657,Shreyans Prasad Jain,,
3658,Shri Krishna Joshi,,
3659,Shri Ram Mehta,,
3660,Shridhar Sharma,,
3661,Shrikrishna N. Ratanjankar,,
3662,Shrinivas Khale,,
3663,Shrinivas S. Vaishya,,
3664,Shriniwas,,
3665,Shripad Damodar Satwalekar,,
3666,Shriram Lagoo,,
3667,Shriram Sharma,,
3668,Shubha Mudgal,,
3669,Shyam Benegal,,
3670,Shyam Nandan Prasad Kishore,,
3671,Shyam Nandan Sahay,,
3672,Shyam Narain Panday,,
3673,Shyam Narayan Arya,,
3674,Shyam Saran,,
3675,Shyam Singh Shashi,,
3676,Shyam Sundar Paliwal,,
3677,Shyam Sundar Sharma,,
3678,Shyam Sunder Maheshwari,,
3679,Shyama Charan Pati,,
3680,Shyama Prasad Mandal,,
3681,Shyama Prasad Mukherjee,,
3682,Shyamala Pappu,,
3683,Shyamlal Chaturvedi,,
3684,Shyamlal Gupta,,
3685,Sibte Hasan Zaidi,,
3686,Sidda Nath Kaul,,
3687,Siddhartha Mehta,,
3688,Siddhartha Mukherjee,,
3689,Siddheshwar Shastri Chitrav,,
3690,Siddheshwar Varma,,
3691,Siddheshwari Devi,,
3692,Sidhu Randhawa,,
3693,Sidney Dillon Ripley,,
3694,Sikandar Ali Wajd,,
3695,Sikander Bakht,,
3696,Sikkil Natesan Neela,,
3697,Sikkil Venkatraman Kunjumani,,
3698,Silverine Swer,,
3699,Simon Oraon,,
3700,Siramdasu Venkata Rama Rao,,
3701,Sirivennela Seetharama Sastry,,
3702,Sirkazhi G. Sivachidambaram,,
3703,Sirkazhi Govindarajan,,
3704,Sirtaj Singh Sahi,,
3705,Sis Ram Ola,,
3706,Sisir Kumar Bhaduri,,
3707,Sisir Kumar Lahiri,,
3708,Sisir Kumar Mitra,,
3709,Sisir Mishra,,
3710,Sister M. Cyril Mooney,,
3711,Sister Nirmala,,
3712,Sistha Venkata Seetharama Shastry,,
3713,Sita Devi,,
3714,Sita Ram Lalas,,
3715,Sita Ram Pal,,
3716,Sitakant Mahapatra,,
3717,Sitanshu Yashaschandra,,
3718,Sitara Devi,,
3719,Sitaram Rao Valluri,,
3720,Sitaram Seksaria,,
3721,Sitavva Joddati,,
3722,Sitimon Sawain,,
3723,Sivaji Ganesan,,
3724,Sivamani,,
3725,Sivananda Rajaram,,
3726,Sivanthi Adithan,"He was a philanthropist and funded the renovation of many temples. In the southern districts of Tamil Nadu, there are many sports clubs bearing his name. He also constructed a state-of-the art indoor volleyball stadium in the Adithanar College, Tiruchendur, where the Indian team used to practice. Dr.B.Sivanthi Adityan   renovated the 178 feet 'Rajagopuram' of Arulmigu Kasivishvanathar Temple Tenkasi, whose gopuram got damaged 200 years ago.","ఇతను పరోపకారి, అనేక దేవాలయాల పునరుద్ధరణకు నిధులు సమకూర్చాడు. తమిళనాడులోని దక్షిణాది జిల్లాల్లో ఆయన పేరుతో చాలా స్పోర్ట్స్ క్లబ్లు ఉన్నాయి. ఇతను తిరుచెందూర్లోని ఆదితానార్ కళాశాలలో అత్యాధునిక ఇండోర్ వాలీబాల్ స్టేడియంను కూడా నిర్మించాడు, ఇక్కడ భారత జట్టు ప్రాక్టీస్ చేసేది. డా. బి. శివంతి ఆదిత్యన్ 200 సంవత్సరాల క్రితం చెడిపోయిన అరుల్మిగు కాశివిశ్వనాథర్ దేవాలయం తెన్కాసిలోని 178 అడుగుల 'రాజగోపురం'ని పునరుద్ధరించారు. "
3727,Sivapatham Vittal,,
3728,Sivaraj Ramseshan,,
3729,Sivaramakrishna Chandrasekhar,,
3730,Siyaram Tiwari,,
3731,Skendrowell Syiemlieh,,
3732,Smita Patil,,
3733,Sneh Bhargava,,
3734,Sobha Singh,,
3735,Sohan Lal Dwivedi,,
3736,Sohan Singh Bhakna,,
3737,Sohrab Pestonji Shroff,,
3738,Sohrab Pirojsha Godrej,,
3739,Soli Sorabjee,,
3740,Solomon Pappaiah,,
3741,Som Nath Bhaskar,,
3742,Som Nath Sadhu,,
3743,Soma Ghosh,,
3744,Somasundaram Subramanian,,
3745,Sombhu Mitra,,
3746,Somdet Phra Maha Muniwong,,
3747,Somdev Devvarman,,
3748,Somnath Hore,,
3749,Sonal Mansingh,,
3750,Sonam Gyatso (mountaineer),,
3751,Sonam Narboo,,
3752,Sonam Paljor,,
3753,Sonam Skalzang,,
3754,Sonam Tshering Lepcha,,
3755,Sonam Wangyal,,
3756,Sooni Taraporevala,,
3757,Sooranad Kunjan Pillai,,
3758,Sophia Wadia,,
3759,Sougaijam Thanil Singh,,
3760,Soumitra Chatterjee,,
3761,Sourav Ganguly,,
3762,Sourendra Nath Kohli,,
3763,Sri Lal Sukla,,
3764,Sri M,,
3765,Sri Prakasa,,
3766,Sri Ram Bharatya,,
3767,Sri Sri Ravi Shankar,,
3768,Sribhas Chandra Supakar,,
3769,Sridevi,,
3770,Sridhar Upadhyay,,
3771,Sridhar Vembu,,
3772,Srikant Datar,,
3773,Srikanth Kidambi,,
3774,Srikumar Banerjee,,
3775,Srinibash Udgata,,
3776,Srinivasa Ambujammal,,
3777,Srinivasa Anandaram,,
3778,Srinivasa Natarajan,,
3779,Srinivasan Varadarajan,,
3780,Srinivasaraghavan Venkataraghavan,,
3781,Sripada Pinakapani,,
3782,Sriram Singh,,
3783,Srirangam Gopalaratnam,,
3784,Stanislaus Joseph Coelho,,
3785,Stanley John,,
3786,Stella Kramrisch,,
3787,Sthanam Narasimha Rao,,
3788,Subashni,,
3789,Subbiah Arunan,,
3790,Subbu Arumugam,,
3791,Subhash C. Kashyap,,
3792,Subhash Kak,,
3793,Subhash Mukhopadhyay,,
3794,Subhash Palekar,,
3795,Subhasini Mistry,,
3796,Subodh Chandra Muk Dev,,
3797,Subodh Chandra Sengupta,,
3798,Subra Suresh,,
3799,Subrahmanyan Chandrasekhar,,
3800,Subramaniam Ramadorai,,
3801,Subramanya Iyer Balakrishnan,,
3802,Subramanyam Paramanandan,,
3803,Subrat Kumar Acharya,,
3804,Subrata Mitra,,
3805,Subroto Das,,
3806,Sucheta Dalal,,
3807,Suchitra Mitra,,
3808,Suchitra Sen,,
3809,Sudam Kate,,
3810,Sudarsan Pattnaik,,
3811,Sudarshan K. Aggarwal,,
3812,Sudarshan Sahoo,,
3813,Sudha Kaul,,
3814,Sudha Malhotra,,
3815,Sudha Murty,Murty's Infosys Foundation is a public charitable trust founded in 1996,మూర్తి ఇన్ఫోసిస్ ఫౌండేషన్ 1996లో స్థాపించబడిన పబ్లిక్ ఛారిటబుల్ ట్రస్ట్. 
3816,Sudha Ragunathan,,
3817,Sudha Varghese,,
3818,Sudha Venkatasiva Reddy,,
3819,Sudhakar Dwarka Nath Soman,,
3820,Sudhanshu Biswas,,
3821,Sudhansu Kumar Chakravarty,,
3822,Sudhansu Sobhan Maitra,,
3823,Sudharak Olwe,,
3824,Sudharani Raghupathy,,
3825,Sudheer Sojwal,,
3826,Sudhindra Nath Mukerjee,,
3827,Sudhir K. Jain,,
3828,Sudhir Khastgir,,
3829,Sudhir Kumar Sopory,,
3830,Sudhir M. Parikh,,
3831,Sudhir Ranjan Sengupta,,
3832,Sudhir Tailang,,
3833,Sudhir V. Shah,,
3834,Sugathakumari,,
3835,Suhas Pandurang Sukhatme,,
3836,Suhas Vitthal Mapuskar,,
3837,Sujit Chattopadhyay,,
3838,Sujoy B. Roy,,
3839,Sujoy K. Guha,,
3840,Sukh Dev,,
3841,Sukhadeo Thorat,,
3842,Sukhbir Singh Badal,,
3843,Sukhdev Pande,,
3844,Sukhdev Singh,,
3845,Sukhdev Singh Dhindsa,,
3846,Sukhlal Sanghvi,,
3847,Sukri Bommagowda,,
3848,Sukumar Bose,,
3849,Sukumar Sen (civil servant),,
3850,Sukumar Sen (linguist),,
3851,Sukumari,,
3852,Sulabha Panandikar,,
3853,Sulagitti Narasamma,,
3854,Sulochana Latkar,,
3855,Sulochana Mohan Lal Modi,,
3856,Sultan Khan,,
3857,Sultan Singh,,
3858,Suman Sahai,,
3859,Sumant Kishore Jain,,
3860,Sumant Moolgaokar,,
3861,Sumathiben Nemchand Shah,,
3862,Sumati Morarjee,,
3863,Sumati Mutatkar,,
3864,Sumitra Charat Ram,,
3865,Sumitra Guha,,
3866,Sumitra Mahajan,,
3867,Sumitranandan Pant,,
3868,Sunayana Hazarilal,,
3869,Sundar Menon,"Menon’s philanthropic activities started with the Sun Charitable Trust, which aims at providing health and educational support to underprivileged members of the society. These include the poverty-stricken, persons with disabilities, and also the tribal and rural population of the state of Kerala. The trust also contributes medical equipment to government run and private hospitals. Moreover, it has organized mass weddings for girls from economically backward families, and shelter homes for homeless widows. The trust also supports socio-cultural activities in Kerala. It has conducted music and dance festivals, film festivals and has ardently supported the restoration of temple art.
He is the President of the Kerala State Elephant Owner’s Cooperative Society, and is an avid supporter and organizer of the Thrissur Pooram festival. Being an elephant lover, he had put his seamless effort in adopting methods for elephant care and also in developing an elephant care center in Thrissur. Several welfare activities for elephant owners and mahouts were also organized with his initiative. 
He is also a patron of Pravasi Malayali Federation, which has its headquarters in the United States","మీనన్, దాతృత్వ కార్యకలాపాలు సన్ ఛారిటబుల్ ట్రస్ట్తో ప్రారంభమయ్యాయి, ఇది సమాజంలోని అణగారిన సభ్యులకు ఆరోగ్యం, విద్యాపరమైన సహాయాన్ని అందించడం లక్ష్యంగా పెట్టుకుంది. వీరిలో పేదరికం, వికలాంగులు, కేరళ రాష్ట్రంలోని గిరిజన, గ్రామీణ జనాభా కూడా ఉన్నారు. ట్రస్ట్ ప్రభుత్వ, ప్రైవేట్ ఆసుపత్రులకు వైద్య పరికరాలను కూడా అందిస్తుంది. అంతేకాకుండా, ఆర్థికంగా వెనుకబడిన కుటుంబాలకు చెందిన బాలికలకు సామూహిక వివాహాలు, నిరాశ్రయులైన వితంతువులకు షెల్టర్ హోమ్లను నిర్వహించింది. కేరళలో సామాజిక-సాంస్కృతిక కార్యకలాపాలకు కూడా ట్రస్ట్ మద్దతు ఇస్తుంది. ఇది సంగీత, నృత్య ఉత్సవాలు, చలన చిత్రోత్సవాలను నిర్వహించింది, ఆలయ కళల పునరుద్ధరణకు తీవ్రంగా మద్దతునిచ్చింది. ఇతను కేరళ రాష్ట్ర ఎలిఫెంట్ ఓనర్స్ కోఆపరేటివ్ సొసైటీకి ప్రెసిడెంట్,, త్రిసూర్ పూరం ఉత్సవానికి ఆసక్తిగల మద్దతుదారు, నిర్వాహకుడు. ఏనుగుల ప్రేమికుడిగా, ఇతను ఏనుగుల సంరక్షణకు పద్ధతులను అవలంబించడంలో, త్రిస్సూర్లో ఏనుగు సంరక్షణ కేంద్రాన్ని అభివృద్ధి చేయడంలో తన నిరంతర కృషిని చేశాడు. అతని చొరవతో ఏనుగుల యజమానులు, మహోత్ల కోసం అనేక సంక్షేమ కార్యక్రమాలు కూడా నిర్వహించబడ్డాయి. ఇతను యునైటెడ్ స్టేట్స్లో ప్రధాన కార్యాలయాన్ని కలిగి ఉన్న ప్రవాసీ మలయాళీ ఫెడరేషన్కు పోషకుడు కూడా. "
3870,Sundaram Balachander,,
3871,Sundaram Krishnamurthi,,
3872,Sundaram Natarajan,,
3873,Sundaram Ramakrishnan,,
3874,Sundaram Ramakrishnan (social activist),,
3875,Sundaram Verma,,
3876,Sundari K. Shridharani,,
3877,Sunder Das Khungar,,
3878,Sunder Lal Patwa,,
3879,Sunderlal Bahuguna,,
3880,Sunil Chhetri,,
3881,Sunil Dabas,,
3882,Sunil Das,,
3883,Sunil Dutt,,
3884,Sunil Gavaskar,,
3885,Sunil Janah,,
3886,Sunil Jogi,,
3887,Sunil Kanti Roy,,
3888,Sunil Kothari,,
3889,Sunil Kumar Bhattacharya,,
