,Recipients,biography,biography Telugu
592,Biren De,"Biren De was born in Faridpur, in the Bengal Presidency (now Bangladesh) on 8 October 1926. He relocated to Kolkata along with his family and joined the Government College of Art & Craft, Kolkata in 1944 for his graduate studies but did not accept the graduate diploma, citing a rift with the then college principal. He moved to New Delhi in 1949 when he was commissioned for a mural at the University of Delhi. His first overseas exhibition was held at Salon de Mai, Paris, in 1951. Returning to India, he joined the College of Art, Delhi, in 1952, as a member of their faculty and stayed at the job till 1963.During his tenure at the College of Art, he spent one year in New York, on a Fulbright Scholarship. It was after this period, his paintings started to depict tantric symbols. In 1966, his works were exhibited at the Kumar's Gallery, New Delhi and Hayward Gallery, London. His works have since been displayed at several places including National Gallery of Modern Art, New Delhi, Berlin State Museum and the National Gallery, Prague, Royal Academy of Arts, London, Tokyo festival of India of 1988, and at the biennales in Venice, Tokyo, São Paulo, Mainichi and Sydney.De received the Lalit Kala Akademi National Award in 1958 which he received a second time in 1964","బీరెన్ దే 1926 అక్టోబర్ 8న బెంగాల్ ప్రెసిడెన్సీ (ప్రస్తుతం బంగ్లాదేశ్)లోని ఫరీద్పూర్లో జన్మించారు. ఇతను తన కుటుంబంతో సహా కోల్కతాకు మకాం మార్చాడు, తన గ్రాడ్యుయేట్ చదువుల కోసం 1944లో కోల్కతాలోని గవర్నమెంట్ కాలేజ్ ఆఫ్ ఆర్ట్ & క్రాఫ్ట్లో చేరాడు, అయితే అప్పటి కళాశాల ప్రిన్సిపాల్తో విభేదాలు కారణంగా గ్రాడ్యుయేట్ డిప్లొమాను అంగీకరించలేదు. 1949లో ఢిల్లీ యూనివర్సిటీలో కుడ్యచిత్రం కోసం నియమించబడినప్పుడు ఇతను న్యూఢిల్లీకి వెళ్లాడు. అతని మొదటి విదేశీ ప్రదర్శన 1951లో పారిస్లోని సలోన్ డి మాయిలో జరిగింది. భారతదేశానికి తిరిగి వచ్చి, ఇతను 1952లో ఢిల్లీలోని కాలేజ్ ఆఫ్ ఆర్ట్లో వారి ఫ్యాకల్టీ సభ్యునిగా చేరాడు, 1963 వరకు ఉద్యోగంలో ఉన్నాడు. కాలేజ్ ఆఫ్ ఆర్ట్లో తన పదవీకాలంలో, ఇతను ఫుల్బ్రైట్ స్కాలర్షిప్పై న్యూయార్క్లో ఒక సంవత్సరం గడిపాడు. ఈ కాలం తరువాత, అతని చిత్రాలు తాంత్రిక చిహ్నాలను వర్ణించడం ప్రారంభించాయి. 1966లో, అతని రచనలు కుమార్ గ్యాలరీ, న్యూఢిల్లీ, హేవార్డ్ గ్యాలరీ, లండన్లో ప్రదర్శించబడ్డాయి. అతని రచనలు నేషనల్ గ్యాలరీ ఆఫ్ మోడరన్ ఆర్ట్, న్యూఢిల్లీ, బెర్లిన్ స్టేట్ మ్యూజియం, నేషనల్ గ్యాలరీ, ప్రేగ్, రాయల్ అకాడమీ ఆఫ్ ఆర్ట్స్, లండన్, టోక్యో ఫెస్టివల్ ఆఫ్ ఇండియా 1988, వెనిస్లోని బినాలేస్తో సహా అనేక ప్రదేశాలలో ప్రదర్శించబడ్డాయి. టోక్యో, సావో పాలో, మైనిచి, సిడ్నీ. డి 1958లో లలిత కళా అకాడమీ జాతీయ అవార్డును అందుకున్నాడు, 1964లో రెండోసారి అందుకున్నాడు. "
593,Biren Kumar Basak,,
594,Birendra Nath Datta,,
595,Birendra Nath Ganguli,,
596,Birendranath Sircar,,
597,Birju Maharaj,,
598,Birkha Bahadur Limboo Muringla,,
599,Bishamber Khanna,,
600,Bishambhar Nath Pande,,
601,Bishan Lal Raina,,
602,Bishan Man Singh,,
603,Bishan Singh Bedi,,
604,Bishnupada Mukerjee,"Bishnupada Mukerjee was born on 1 March 1903 at Barrackpore in the North 24 Parganas district of the Indian state of West Bengal. He did his early schooling at Barrackpore village school and Kolkata to pass the matriculation with a scholarship for further education. He passed the Intermediate examination from Scottish Church College, Kolkata with 13th rank in the University of Calcutta and joined the Calcutta Medical College to secure the degree of Bachelor of Medicine with first rank and honours in pharmacology, midwifery and Gynecology in 1927.

Mukerjee did his residency under Green-Armytage at Eden Hospital for 18 months and moved to Calcutta School of Tropical Medicine where he worked under Sir Ram Nath Chopra who is reported to have successfully persuaded Mukerjee to turn to research by abandoning his medical practice. In 1930, he took up the post of an assistant secretary to the Drug Enquiry Commission and assisted the commission in preparing a report advocating for drug standardization and pharmacy control. From 1931 to 1933, he worked at the Calcutta School of Tropical Medicine on research on indigenous drugs when he received a Fellowship from the Rockefeller Foundation for research on vegetable drugs in China, America and Japan. He moved to Peking Union Medical College where he worked under renowned pharmacologist, H. B. Van Dyke. In 1936, he secured DSc from University of Michigan, the first doctoral degree awarded by the university in pharmacology","బిష్ణుపాద ముఖర్జీ భారతదేశంలోని పశ్చిమ బెంగాల్ రాష్ట్రంలోని ఉత్తర 24 పరగణాల జిల్లాలోని బరాక్పూర్లో 1903 మార్చి 1న జన్మించారు. ఇతను తదుపరి విద్య కోసం స్కాలర్షిప్తో మెట్రిక్యులేషన్లో ఉత్తీర్ణత సాధించడానికి బరాక్పూర్ గ్రామ పాఠశాల, కోల్కతాలో తన ప్రారంభ పాఠశాల విద్యను అభ్యసించాడు. ఇతను కోల్కతాలోని స్కాటిష్ చర్చి కళాశాల నుండి ఇంటర్మీడియట్ పరీక్షలో కలకత్తా విశ్వవిద్యాలయంలో 13వ ర్యాంక్తో ఉత్తీర్ణుడయ్యాడు, 1927లో ఫార్మకాలజీ, మిడ్వైఫరీ, గైనకాలజీలో మొదటి ర్యాంక్, గౌరవాలతో బ్యాచిలర్ ఆఫ్ మెడిసిన్ డిగ్రీని పొందేందుకు కలకత్తా మెడికల్ కాలేజీలో చేరాడు. ముఖర్జీ ఈడెన్ హాస్పిటల్లో గ్రీన్-ఆర్మిటేజ్లో 18 నెలల పాటు రెసిడెన్సీ చేశారు, కలకత్తా స్కూల్ ఆఫ్ ట్రాపికల్ మెడిసిన్కి మారారు, అక్కడ సర్ రామ్ నాథ్ చోప్రా ఆధ్వర్యంలో పనిచేశారు, ఇతను తన వైద్య అభ్యాసాన్ని వదిలిపెట్టి పరిశోధన వైపు మళ్లేలా ముఖర్జీని విజయవంతంగా ఒప్పించాడని నివేదించబడింది. 1930లో, ఇతను డ్రగ్ ఎంక్వయిరీ కమీషన్కి అసిస్టెంట్ సెక్రటరీ పదవిని చేపట్టాడు, డ్రగ్ స్టాండర్డైజేషన్, ఫార్మసీ నియంత్రణ కోసం వాదించే నివేదికను తయారు చేయడంలో కమిషన్కు సహాయం చేశాడు. 1931 నుండి 1933 వరకు, ఇతను చైనా, అమెరికా, జపాన్లలో కూరగాయల ఔషధాలపై పరిశోధన కోసం రాక్ఫెల్లర్ ఫౌండేషన్ నుండి ఫెలోషిప్ పొందినప్పుడు స్వదేశీ ఔషధాలపై పరిశోధనపై కలకత్తా స్కూల్ ఆఫ్ ట్రాపికల్ మెడిసిన్లో పనిచేశాడు. ఇతను పెకింగ్ యూనియన్ మెడికల్ కాలేజీకి వెళ్లాడు, అక్కడ ఇతను ప్రఖ్యాత ఫార్మకాలజిస్ట్ హెచ్ కింద పనిచేశాడు. బి. వాన్ డైక్. 1936లో, ఇతను యూనివర్సిటీ ఆఫ్ మిచిగాన్ నుండి DSc పొందాడు, ఇది ఫార్మకాలజీలో విశ్వవిద్యాలయం ప్రదానం చేసిన మొదటి డాక్టరల్ డిగ్రీ. "
