,Recipients,early life and career,early life and career Telugu
1298,Henning Holck-Larsen,"Henning Holck-Larsen was educated at the University of Copenhagen (and what is now the Technical University of Denmark). He came to India in 1937 as a chemical engineer working for F. L. Smidth & Co. of Copenhagen. Partnering with his former schoolmate and fellow employee Søren Kristian Toubro, he set up Larsen & Toubro in 1938. The idea of L&T was conceived during a holiday in Matheran, a hill station near Bombay. Holck-Larsen was a risk-taker while Toubro was more conservative. Larsen and Toubro saw opportunities in India at time, when few Europeans had realised the country's potential for industrial growth.
The first office of L&T, located in Bombay, was so small that only one of them could use it a time","హెన్నింగ్ హోల్క్-లార్సెన్ యూనివర్శిటీ ఆఫ్ కోపెన్హాగన్లో విద్యనభ్యసించారు (, ఇప్పుడు టెక్నికల్ యూనివర్శిటీ ఆఫ్ డెన్మార్క్). ఎఫ్లో కెమికల్ ఇంజనీర్గా పనిచేస్తున్న ఇతను 1937లో భారతదేశానికి వచ్చాడు. ఎల్. స్మిడ్త్ & కో. కోపెన్హాగన్. తన మాజీ స్కూల్మేట్, తోటి ఉద్యోగి సోరెన్ క్రిస్టియన్ టౌబ్రోతో కలిసి, ఇతను 1938లో లార్సెన్ & టూబ్రోను స్థాపించాడు. బొంబాయి సమీపంలోని హిల్ స్టేషన్ అయిన మాథెరన్లో సెలవుదినం సందర్భంగా L&T ఆలోచన వచ్చింది. హోల్క్-లార్సెన్ రిస్క్-టేకర్ అయితే టూబ్రో మరింత సంప్రదాయవాది. లార్సెన్, టౌబ్రో ఆ సమయంలో భారతదేశంలో అవకాశాలను చూసింది, కొంతమంది యూరోపియన్లు పారిశ్రామిక వృద్ధికి దేశం, సామర్థ్యాన్ని గ్రహించారు. బొంబాయిలో ఉన్న L&T, మొదటి కార్యాలయం చాలా చిన్నది, వాటిలో ఒకటి మాత్రమే దానిని ఒక సారి ఉపయోగించగలిగేది. "
1299,Herbert Alexandrovich Yefremov,,
1300,Herbert Fischer,,
1301,Hermann Kulke,,
1302,Hermenegild Santapau,,
1303,Hilda Mary Lazarus,,
1304,Hildamit Lepcha,,
1305,Himangshu Mohan Choudhury,,
1306,Himanshu Kumar Banerjee,,
1307,Himmata Ram Bhambhu,,
1308,Hira Lall Sibal,,
1309,Hirabai Barodekar,,
1310,Hiralal Yadav,,
1311,Hirebettu Sadananda Kamath,,
1312,Hirendranath Mukherjee,,
1313,Hisam-ud-din Usta,,
1314,Homai Vyarawalla,,
1315,Homi Cawas Sethnas,,
1316,Homi J. H. Taleyarkhan,,
1317,Homi Jehangir Bhabha,,
1318,Homi K. Bhabha,,
1319,Homi Nusserwanji Sethna,,
1320,Homi Sethna,,
1321,Horace Alexander,,
1322,Hormasji Maneckji Seervai,,
1323,Hormazdiar Jamshedi Muncherji Desai,,
1324,Hosagrahar Chandrashekhariah Visvesvaraya,,
1325,Hosei Norota,,
1326,Hosur Narasimhaiah,,
1327,Hrangaia,,
1328,Hridaynath Mangeshkar,,
1329,Hrishikesh Mukherjee,,
1330,Huang Baosheng,,
1331,Hui Lan Zhang,,
1332,Hukmdev Narayan Yadav,,
1333,Hukumchand Patidar,,
1334,Humayun Mirza,,
1335,Humpy Koneru,,
1336,Hun Many,,
1337,Hundraj Lial Ram Dukhayal Manik,,
1338,Hussain Ahmad Madani,,
1339,I Nyoman Nuarta,,
1340,I. G. Patel,,
1341,I. V. Subba Rao,,
1342,Ibrahim Sutar,,
1343,Ignace Tirkey,,
1344,Ijwant Singh,,
1345,Ilaiyaraaja,,
1346,Ileana Citaristi,,
1347,Illias Ali,,
1348,Imitiaz Qureshi,,
1349,Immaneni Sathyamurthy,,
1350,Imran Shah,,
1351,Inder Mohan,,
1352,Inder Sharma,,
1353,Inderjit Kaur Barthakur,,
1354,Inderjit Singh Gill,,
1355,Indira Chakravarty,,
1356,Indira Hinduja,,
1357,Indira Jaising,,
1358,Indira Miri,,
1359,Indira Nath,,
1360,Indira P. P. Bora,,
1361,Indra Dassanayake,,
1362,Indra Kumar Gupta,,
1363,Indra Nooyi,,
1364,Indrani Rahman,,
1365,Indu Bhushan Sinha,,
1366,Indu Jain,,
1367,Indumati Chimanlal Sheth,,
1368,Iravatham Mahadevan,,
1369,Irfan Habib,,
1370,Irrfan Khan,,
1371,Irshad Mirza,,
1372,Irwin Allan Sealy,,
1373,Isaac Santra,,
1374,Isher Judge Ahluwalia,,
1375,Ishrat Ali Siddiqui,,
1376,Ishwar Chandra Gupta,,
1377,Ishwarbhai Jivaram Patel,,
1378,Ishwari Prasad,,
1379,Ismail Ahmed Cachalia,,
1380,Ismail Merchant,,
1381,Ismat Chughtai,,
1382,Ismaïl Omar Guelleh,,
1383,Ivy Khan,,
1384,Iyyanki Venkata Ramanayya,,
1385,J. A. K. Tareen,,
1386,J. Hareendran Nair,,
1387,J. L. Kaul,,
1388,J. Malsawma,,
1389,J. N. Chaudhry,,
1390,J. N. Saksena,,
1391,J. R. D. Tata,,
1392,J. R. Gangaramani,,
1393,J. S. Grewal,,
1394,J. S. Guleria,,
1395,J. S. Mahashabde,,
1396,J. S. Rajput,,
1397,J. S. Titiyal,,
1398,Jabbar Patel,,
1399,Jack Gibson,"Gibson was the son of naval officer Charles Gibson and Emmeline Mary Fletcher and was born on 3 March 1908. He studied at Mowden Preparatory School in Brighton before he was sent in 1921 to Haileybury and Imperial Service College for schooling and later joined the University of Cambridge. At Cambridge, he earned a half blue in fencing. He almost made it to the British Olympic Team. In 1929, he began his career as a professor in Chillon College, Switzerland, responsible for teaching pupils History and winter sports. While at the college, he became a member of the famed Swiss Alpine Club. When the college suffered due to economic downturn, Gibson went on to teach at Ripon Grammar School. He remained at Ripon from 1932 until 1936, until 1935 under the headship of James Dyson, whom he admired. It was at Ripon that he met Malcolm Hailey, 1st Baron Hailey, who encouraged him to apply to The Doon School in India which had newly opened for Indian boys.He applied to Doon and was offered the post of a housemaster","గిబ్సన్ నౌకాదళ అధికారి చార్లెస్ గిబ్సన్, ఎమ్మెలిన్ మేరీ ఫ్లెచర్ల కుమారుడు, 3 మార్చి 1908న జన్మించాడు. ఇతను పాఠశాల విద్య కోసం 1921లో హైలీబరీ, ఇంపీరియల్ సర్వీస్ కాలేజీకి పంపబడటానికి ముందు బ్రైటన్లోని మౌడెన్ ప్రిపరేటరీ స్కూల్లో చదువుకున్నాడు, తరువాత కేంబ్రిడ్జ్ విశ్వవిద్యాలయంలో చేరాడు. కేంబ్రిడ్జ్లో, ఇతను ఫెన్సింగ్లో సగం నీలం సాధించాడు. ఇతను దాదాపు బ్రిటిష్ ఒలింపిక్ జట్టులో చేరాడు. 1929లో, ఇతను స్విట్జర్లాండ్లోని చిల్లోన్ కాలేజీలో ప్రొఫెసర్గా తన వృత్తిని ప్రారంభించాడు, విద్యార్థులకు చరిత్ర, శీతాకాలపు క్రీడలను బోధించే బాధ్యతను నిర్వర్తించాడు. కళాశాలలో ఉన్నప్పుడు, ఇతను ప్రసిద్ధ స్విస్ ఆల్పైన్ క్లబ్లో సభ్యుడు అయ్యాడు. ఆర్థిక మాంద్యం కారణంగా కళాశాల నష్టపోయినప్పుడు, గిబ్సన్ రిపన్ గ్రామర్ స్కూల్లో బోధించడానికి వెళ్లాడు. ఇతను 1932 నుండి 1936 వరకు, 1935 వరకు జేమ్స్ డైసన్ నాయకత్వంలో రిపన్లో ఉన్నాడు, వీరిని ఇతను మెచ్చుకున్నాడు. రిపన్లో ఇతను మాల్కం హేలీ, 1వ బారన్ హేలీని కలుసుకున్నాడు, ఇతను భారతీయ అబ్బాయిల కోసం కొత్తగా ప్రారంభించబడిన భారతదేశంలోని ది డూన్ స్కూల్కి దరఖాస్తు చేసుకోమని ప్రోత్సహించాడు. ఇతను డూన్కి దరఖాస్తు చేసుకున్నాడు, హౌస్మాస్టర్ పదవిని ఆఫర్ చేశాడు. "
1400,Jacob Chandy,,
1401,Jacob Cherian,,
1402,Jacques Blamont,,
1403,Jadav Payeng,,
1404,Jadeng Buana,,
1405,Jadunath Supakar,,
1406,Jafar Ali Khan,,
1407,Jag Parvesh Chandra,,
1408,Jagadish Chandra Halder,,
1409,Jagadish Shukla,,
1410,Jagan Nath Kaul,,
1411,Jagannath Krishna Kate,,
1412,Jagat Ram,,
1413,Jagat Singh Mehta,,
1414,Jagdamba Devi,,
1415,Jagdish Bhagwati,,
1416,Jagdish Chandra Kapur,,
1417,Jagdish Chandra Mittal,,
1418,Jagdish Chaturvedi,,
1419,Jagdish Chaudhary,,
1420,Jagdish Kashibhai Patel,,
1421,Jagdish Lal,,
1422,Jagdish Lal Ahuja,,
1423,Jagdish Mitra Pahwa,,
1424,Jagdish Prasad Parikh,,
1425,Jagdish Prasad Singh,,
1426,Jagdish Sheth,,
1427,Jaggayya,,
1428,Jaggi Vasudev,,
1429,Jagjit Singh,"Jagjit Singh Dhiman was born at Sri Ganganagar, Rajasthan, India (then Bikaner State). His father, Sardar Amar Singh Dhiman, was a surveyor with the government's Public Works' Department and hailed from village Dalla in Ropar district of Punjab.
Educated initially at Khalsa High School and Government College in Sri Ganganagar, Singh obtained an arts degree from DAV College, Jalandhar. There, he began his professional career in 1961 by undertaking singing and composing assignments at All India Radio's (AIR) Jalandhar station. Later, he studied to obtain a post-graduate degree in history from Kurukshetra University in Haryana. Throughout this time, and as a consequence of a natural talent that was spotted by his father, Singh learned music initially from a visually impaired master of Indian classical music, Pandit Chagan Lal Sharma and later from Ustad Jamal Khan of Maihar gharana, who taught and trained him in all the prominent styles of Hindustani Classical vocal tradition such as Khayal, Dhrupad, Thumri and others. Throughout his teenage years, he performed on stage and composed music. Although his father, who was a government employee, had hoped that he would become an engineer, Singh pursued his passion for music relentlessly. Like all parents in Indian middle-class families, his father aspired for him to become a bureaucrat. However, he also encouraged Singh and his siblings to learn music","జగ్జిత్ సింగ్ ధీమాన్ భారతదేశంలోని రాజస్థాన్లోని శ్రీ గంగానగర్లో (అప్పటి బికనీర్ రాష్ట్రం) జన్మించాడు. అతని తండ్రి, సర్దార్ అమర్ సింగ్ ధీమాన్, ప్రభుత్వ పబ్లిక్ వర్క్స్ డిపార్ట్మెంట్లో సర్వేయర్గా ఉన్నారు, పంజాబ్లోని రోపర్ జిల్లాలోని డల్లా గ్రామానికి చెందినవారు. తొలుత శ్రీ గంగానగర్లోని ఖల్సా హైస్కూల్, ప్రభుత్వ కళాశాలలో చదువుకున్న సింగ్, జలంధర్లోని DAV కళాశాల నుండి ఆర్ట్స్ డిగ్రీని పొందాడు. అక్కడ, ఇతను ఆల్ ఇండియా రేడియో (AIR) జలంధర్ స్టేషన్లో పాడటం, కంపోజ్ చేయడం ద్వారా 1961లో తన వృత్తి జీవితాన్ని ప్రారంభించాడు. తరువాత, ఇతను హర్యానాలోని కురుక్షేత్ర విశ్వవిద్యాలయం నుండి చరిత్రలో పోస్ట్-గ్రాడ్యుయేట్ డిగ్రీని పొందేందుకు చదువుకున్నాడు. ఈ సమయంలో,, అతని తండ్రి గుర్తించిన సహజ ప్రతిభ ఫలితంగా, సింగ్ మొదట్లో భారతీయ శాస్త్రీయ సంగీతంలో దృష్టి లోపం ఉన్న మాస్టర్ పండిట్ ఛగన్ లాల్ శర్మ నుండి, తరువాత మైహార్ ఘరానాకు చెందిన ఉస్తాద్ జమాల్ ఖాన్ నుండి సంగీతం నేర్చుకున్నాడు. ఖయాల్, ద్రుపద్, తుమ్రీ, ఇతర హిందుస్థానీ శాస్త్రీయ స్వర సంప్రదాయంలోని అన్ని ప్రముఖ శైలులలో అతనికి శిక్షణ ఇచ్చాడు. తన యుక్తవయస్సులో, ఇతను వేదికపై ప్రదర్శనలు ఇచ్చాడు, సంగీతాన్ని సమకూర్చాడు. ప్రభుత్వ ఉద్యోగి అయిన అతని తండ్రి, ఇతను ఇంజనీర్ అవుతాడని ఆశించినప్పటికీ, సింగ్ తన సంగీతాన్ని నిర్విరామంగా కొనసాగించాడు. భారతీయ మధ్యతరగతి కుటుంబాలలోని తల్లిదండ్రులందరిలాగే, అతని తండ్రి కూడా బ్యూరోక్రాట్ కావాలని ఆకాంక్షించారు. అయినప్పటికీ, ఇతను సింగ్, అతని తోబుట్టువులను సంగీతం నేర్చుకోవడానికి ప్రోత్సహించాడు. "
1430,Jagjit Singh Aurora,,
1431,Jagjit Singh Chopra,,
1432,Jagjit Singh Hara,,
1433,Jagmohan,,
1434,Jagmohan Lal Karoli,,
1435,Jagmohan Sursagar,,
1436,Jahnu Barua,,
1437,Jai Bhagwan Chaudhary,,
1438,Jai Bhagwan Goyal,,
1439,Jai Hormusjee Vakil,,
1440,Jai Krishna,,
1441,Jai Pal Mittal,,
1442,Jai Pal Singh,,
1443,Jai Prakash Agarwal,,
1444,Jai Prakash Lekhiwal,,
1445,Jai Rattan Bhalla,,
1446,Jai Singh Pal Yadav,,
1447,Jaikishan Dahyabhai Panchal,,
1448,Jainendra Kumar Jain,,
1449,Jaishankar Bhojak,,
1450,Jaiveer Agarwal,,
1451,Jal Gawashaw Paymaster,,
1452,Jal Minocher Mehta,,
1453,Jal R. Patel,,
1454,Jalakantapuram Ramaswamy Krishnamoorthy,,
1455,Jaman Lal Sharma,,
1456,Jamesh Dokhuma,,
1457,Jamini Roy,,
1458,Jamshed Jiji Irani,,
1459,Jamshed Vazifdar,,
1460,Jamshyd Godrej,,
1461,Jamuna Tudu,,
1462,Janak Palta McGilligan,,
1463,Janaki Ammal,,
1464,Janaky Athi Nahappan,,
1465,Jankibai Bajaj,"She was born on 7 January 1893 in Jaora in Madhya Pradesh into a  Agarwal family. At the age of eight, she was married to 12-year-old Jamnalal Bajaj, a boy of her own community and similar family, in a match arranged by their families in the usual Indian way. The marriage was entirely harmonious and conventional, and Jankidevi was a devoted wife and mother. At the time of their wedding, the Bajaj family was one of very average, middle-class tradespeople; over the years, Jamnalal would build a large business empire and become one of India's earliest industrialists.
Jamnalal participated in the freedom struggle movement, and Jankidevi also took up khadi spinning on charkha, working for Gauseva and the betterment of the lives of harijans and their temple entry in 1928. After independence, she worked with Vinoba Bhave on Bhoodan movement. She served as President of Akhil Bhartiya Goseva Sangh for many years since 1942. She was conferred Padma Vibhushan the second highest civilian award in 1956. She published her autobiography titled, Meri Jivan Yatra in 1965.","ఈమె 7 జనవరి 1893న మధ్యప్రదేశ్లోని జాయోరాలో అగర్వాల్ కుటుంబంలో జన్మించింది. ఎనిమిదేళ్ల వయసులో, ఈమె 12 ఏళ్ల జమ్నాలాల్ బజాజ్, తన సొంత కమ్యూనిటీ, అలాంటి కుటుంబానికి చెందిన అబ్బాయిని వారి కుటుంబాలు సాధారణ భారతీయ పద్ధతిలో ఏర్పాటు చేసిన మ్యాచ్లో వివాహం చేసుకుంది. వివాహం పూర్తిగా సామరస్యపూర్వకంగా, సాంప్రదాయకంగా జరిగింది, జంకీదేవి అంకితభావంతో కూడిన భార్య, తల్లి. వారి వివాహ సమయంలో, బజాజ్ కుటుంబం చాలా సగటు, మధ్యతరగతి వ్యాపారులలో ఒకటి; కొన్నేళ్లుగా, జమ్నాలాల్ ఒక పెద్ద వ్యాపార సామ్రాజ్యాన్ని నిర్మించి, భారతదేశపు తొలి పారిశ్రామికవేత్తలలో ఒకరిగా మారారు. జమ్నాలాల్ స్వాతంత్ర్య పోరాట ఉద్యమంలో పాల్గొన్నారు,, జాంకీదేవి కూడా చరఖాపై ఖాదీ వడకడం, గౌసేవ, హరిజనుల జీవితాల అభివృద్ధికి, 1928లో వారి ఆలయ ప్రవేశం కోసం పనిచేసింది. స్వాతంత్ర్యం తర్వాత, ఈమె భూదాన్ ఉద్యమంలో వినోబా భావేతో కలిసి పనిచేశారు. ఈమె 1942 నుండి చాలా సంవత్సరాలు అఖిల భారతీయ గోసేవా సంఘ్ అధ్యక్షురాలిగా పనిచేశారు. ఈమెకు 1956లో పద్మవిభూషణ్ రెండవ అత్యున్నత పౌర పురస్కారం లభించింది. ఈమె 1965లో మేరీ జీవన్ యాత్ర పేరుతో తన ఆత్మకథను ప్రచురించింది. "
