,Recipients,early life,early life Telugu
597,Birju Maharaj,"Maharaj was born Brijmohan Nath Mishra, on 4 February 1937 into a Hindu Brahmin family at Handia of Allahabad district. His father was the Kathak exponent, Jagannath Maharaj, popularly known as Acchan Maharaj of Lucknow gharana and the Kalka-Bindadin family in Lucknow. His father served as the court dancer in Raigarh princely state. Maharaj started dancing early at the age of four, and was trained by his uncles, Lachhu Maharaj and Shambhu Maharaj and his father. He started his performances first at his father's concerts before performing solo at the age of seven in West Bengal. His father died when Maharaj was nine.","మహారాజ్ బ్రిజ్మోహన్ నాథ్ మిశ్రా, 4 ఫిబ్రవరి 1937న అలహాబాద్ జిల్లాలోని హండియాలో హిందూ బ్రాహ్మణ కుటుంబంలో జన్మించారు. అతని తండ్రి కథక్ ఘాతకుడు, జగన్నాథ్ మహారాజ్, లక్నో ఘరానాకు చెందిన అచ్చన్ మహారాజ్, లక్నోలోని కల్కా-బిందాదిన్ కుటుంబం అని ప్రసిద్ధి చెందారు. అతని తండ్రి రాయ్గఢ్ సంస్థానంలో ఆస్థాన నర్తకిగా పనిచేశాడు. మహారాజ్ నాలుగు సంవత్సరాల వయస్సులో నృత్యం చేయడం ప్రారంభించాడు, అతని మేనమామలు, లచ్చు మహారాజ్, శంభు మహారాజ్, అతని తండ్రిచే శిక్షణ పొందారు. ఇతను పశ్చిమ బెంగాల్లో ఏడేళ్ల వయసులో సోలో ప్రదర్శించే ముందు తన తండ్రి కచేరీలలో మొదట తన ప్రదర్శనలను ప్రారంభించాడు. మహారాజ్ తొమ్మిదేళ్ల వయసులో అతని తండ్రి చనిపోయాడు. "
598,Birkha Bahadur Limboo Muringla,,
599,Bishamber Khanna,,
600,Bishambhar Nath Pande,,
601,Bishan Lal Raina,,
602,Bishan Man Singh,,
603,Bishan Singh Bedi,,
604,Bishnupada Mukerjee,,
605,Bishnupada Mukhopadhyaya,,
606,Bishop Mulanakuzhiyil Abraham Thomas,,
607,Bismillah Khan,,
608,Biswas Ranjan Chatterjee,,
609,Bisweswar Bhattacharjee,,
610,Bob Blackman,,
611,Bombay Jayashri,,
612,Bombayla Devi Laishram,"Laishram was born on 22 February 1985, in Manipur to M. Jamini Devi, a local archery coach and Manglem Singh, the state coach for Manipur’s handball team. She started archery at the age of 11, and later joined the Sports Authority of India and started training there. Laishram revealed in an interview that she started archery following her family's tradition in the sport. She currently resides in Imphal, Manipur.","లైష్రామ్ 22 ఫిబ్రవరి 1985న మణిపూర్లో ఎం. జామినీ దేవి, స్థానిక ఆర్చరీ కోచ్, మణిపూర్ హ్యాండ్బాల్ జట్టుకు రాష్ట్ర కోచ్ మంగ్లేమ్ సింగ్. ఈమె 11 సంవత్సరాల వయస్సులో విలువిద్య ప్రారంభించింది, తరువాత స్పోర్ట్స్ అథారిటీ ఆఫ్ ఇండియాలో చేరి అక్కడ శిక్షణ ప్రారంభించింది. క్రీడలో తన కుటుంబ సంప్రదాయాన్ని అనుసరించి విలువిద్యను ప్రారంభించినట్లు లైష్రామ్ ఒక ఇంటర్వ్యూలో వెల్లడించింది. ఈమె ప్రస్తుతం మణిపూర్లోని ఇంఫాల్లో నివసిస్తున్నారు. "
613,Boshi Sen,"Sen was born in Bishnupur area in Bengal in 1887. His father's name was Rameswar Sen, who was the first graduate of Calcutta University from Bankura district of Bengal. His mother's name was Prasannamoyi Devi. Sens elder brother Sureswar Sen was an ardent devotee of the Holy Mother Sri Sarada Devi. Owing to the untimely death of Rameshwar, the Sen family was in financial strain. Sen (or Boshi as he came to be known in his later life), completed his school education by staying with a sister in Ranchi. He passed the BSc examination from St. Xavier's College in Calcutta. He was introduced to Ramakrishna Order by his friend Bibhuti Bhushon Ghosh. Sen was intimately associated with Swami Sadananda, also called Gupta Maharaj, a direct monastic disciple of Swami Vivekananda","సేన్ 1887లో బెంగాల్లోని బిష్ణుపూర్ ప్రాంతంలో జన్మించారు. అతని తండ్రి పేరు రామేశ్వర్ సేన్, బెంగాల్లోని బంకురా జిల్లా నుండి కలకత్తా విశ్వవిద్యాలయం నుండి మొదటి గ్రాడ్యుయేట్. అతని తల్లి పేరు ప్రసన్నమోయి దేవి. సెన్సు అన్నయ్య సురేశ్వర్ సేన్ పవిత్ర మాత శ్రీ శారదా దేవికి అమితమైన భక్తుడు. రామేశ్వర్ అకాల మరణంతో సేన్ కుటుంబం ఆర్థికంగా చితికిపోయింది. సేన్ (లేదా బోషి అతని తరువాతి జీవితంలో ప్రసిద్ధి చెందాడు), రాంచీలో ఒక సోదరితో కలిసి తన పాఠశాల విద్యను పూర్తి చేశాడు. ఇతను సెయింట్ నుండి BSc పరీక్షలో ఉత్తీర్ణత సాధించాడు. కలకత్తాలోని జేవియర్స్ కళాశాల. అతని స్నేహితుడు బిభూతి భూషోన్ ఘోష్ ద్వారా అతనికి రామకృష్ణ ఆర్డర్తో పరిచయం ఏర్పడింది. స్వామి వివేకానంద, ప్రత్యక్ష సన్యాసి శిష్యుడైన గుప్త మహారాజ్ అని కూడా పిలువబడే స్వామి సదానందతో సేన్ సన్నిహిత సంబంధం కలిగి ఉన్నాడు. "
614,Bounlap Keokangna,,
615,Boyi Bhimanna,"Bhimanna was born in a poor Dalit family in Mamidikuduru village, East Godavari District of Andhra Pradesh in 1911. He participated in the Quit India Movement. He wrote a book called ""Gudiselu Kaalipothunnay","భీమన్న 1911లో ఆంధ్రప్రదేశ్లోని తూర్పుగోదావరి జిల్లా మామిడికుదురు గ్రామంలో నిరుపేద దళిత కుటుంబంలో జన్మించారు. క్విట్ ఇండియా ఉద్యమంలో పాల్గొన్నారు. He wrote a book called ""Gudiselu Kaalipothunnay. "
