,Recipients,work,work Telugu
1714,Kanhaiyalal Sethia,"His first collection, Ramaniyai ra soratha, was written in the traditional style of didactic poetry rich in images and similes.His other books of Rajasthani poems are Minjhara, Kum kum, Lilatamsa, Dhara kuncham dhara majalam, Mayada Ro Helo, Sabada, Satavani, Aghori kala, Leek Lakodia, Hemani, Kakko Kod Ro, and Deeth.
His book of poetic prose is Gala-gachiya.
Kanhaiyalal wrote 18 books in Hindi: Vanphool (1941), Agniveena (1942), Mera Yug (1948), Deepkiran (1954), Pratibimb (3rd edition), (1996), Aaj Himalaya Bola (1962), Khuli Krirkiyan Chaure Raaste (1967), Pranam (1970), Marm (1973), Anam (1974), Nirgranth (1976), Swagat (1986), Deh Videh (1986), Akask Ganga (1990), Vaaman - Viraat (1991), Nishpatti (1993), Shreyas (1997), Trayee (1998), 14 books in Rajasthani, and two books in Urdu: Taj Mahal (1975) and Gulchi (2001).
Two of his Rajasthani poems are world famous and have attained cult status. ""Dharti Dhoran Ri"" is recognized as the anthem song of Rajasthan throughout the world. Internationally acclaimed film maker Gautam Ghosh has made a documentary based on this poem titled Land of the Sand Dunes which was awarded the Swarna Kamal (Golden Lotus) by the Government of India.His other poems that are extremely well known are ""Pathal 'R' Pithal"" and ""Kun Jameen Ro Dhani"".
Kanhaiyalal's works have been translated in the following languages:

Pratibimb - Reflections In A Mirror - 1973 - English
Nirgranth - Nirgranth - 1984 - Bengali
Nirgranth - Nirgranth - 2007 - English
Selected Rajasthani Poems - Anuvartan - 1994 - Hindi
Leeltans - The Blue Jay - 1995 - English,
Leeltans - Leeltans - 1995 - Hindi
Khuli Khirkiyan Chaure Raaste - Khuli Khirkiyan Chaure Raaste - Marathi","అతని మొదటి సంకలనం, రమణీయై రా సొరత, చిత్రాలు, అనుకరణలతో సమృద్ధిగా ఉన్న సందేశాత్మక కవిత్వం, సాంప్రదాయ శైలిలో వ్రాయబడింది. అతని ఇతర రాజస్థానీ పద్యాలు మింఝరా, కమ్ కమ్, లీలాతంస, ధారా కుంచం ధార మజలం, మాయదా రో హేలో, సబద, సతవాని, అఘోరి కలా, లీక్ లకోడియా, హేమానీ, కక్కో కోడ్ రో,, దీత్. అతని కవితా గద్య పుస్తకం గాలా-గచియా. కన్హయ్యలాల్ హిందీలో 18 పుస్తకాలు రాశారు: వాన్ఫూల్ (1941), అగ్నివీణ (1942), మేరా యుగ్ (1948), దీప్కిరణ్ (1954), ప్రతిబింబ్ (3వ ఎడిషన్), (1996), ఆజ్ హిమాలయ బోలా (1962), ఖులీ క్రిర్కియాన్ చౌరే రాస్తే ( 1967), ప్రాణం (1970), మార్మ్ (1973), ఆనం (1974), నిర్గ్రంత్ (1976), స్వాగత్ (1986), దేహ్ విదే (1986), ఆకాస్క్ గంగ (1990), వామన్ - విరాట్ (1991), నిష్పతి (1993) ) ), శ్రేయస్ (1997), ట్రేయీ (1998), రాజస్థానీలో 14 పుస్తకాలు, ఉర్దూలో రెండు పుస్తకాలు: తాజ్ మహల్ (1975), గుల్చి (2001). అతని రెండు రాజస్థానీ కవితలు ప్రపంచ ప్రసిద్ధి చెందాయి, కల్ట్ హోదాను పొందాయి. ""ధర్తి ధోరన్ రి"" ప్రపంచవ్యాప్తంగా రాజస్థాన్ జాతీయగీతంగా గుర్తింపు పొందింది. అంతర్జాతీయంగా ప్రఖ్యాతి పొందిన చలనచిత్ర నిర్మాత గౌతమ్ ఘోష్ ఈ పద్యం ఆధారంగా ల్యాండ్ ఆఫ్ ది సాండ్ డ్యూన్స్ అనే పేరుతో ఒక డాక్యుమెంటరీని రూపొందించారు, దీనికి భారత ప్రభుత్వం స్వర్ణ కమల్ (బంగారు కమలం) అవార్డును ప్రదానం చేసింది. ""పాతాల్ 'ఆర్' పితాల్"", ""కున్ జమీన్ రో ధాని"" అనే అతని ఇతర పద్యాలు బాగా ప్రసిద్ధి చెందాయి. కన్హయ్యలాల్ రచనలు కింది భాషల్లోకి అనువదించబడ్డాయి: ప్రతిబింబ్ - రిఫ్లెక్షన్స్ ఇన్ ఎ మిర్రర్ - 1973 - ఇంగ్లీషు నిర్గ్రంత్ - నిర్గ్రంత్ - 1984 - బెంగాలీనిర్గ్రంత్ - నిర్గ్రంత్ - 2007 - ఇంగ్లీషు సెలెక్టెడ్ రాజస్థానీ పద్యాలు - అనువర్తన్ 4 ఇంగ్లీషు - హిందీఎల్ 9 ఇంగ్లీషు - 19 ఇంగ్లీషు - లీల్తాన్స్ - 1995 - హిందీఖులీ ఖిర్కియాన్ చౌరే రాస్తే - ఖులీ ఖిర్కియాన్ చౌరే రాస్తే - మరాఠీ. "
1715,Kanhaya Lal Pokhriyal,,
1716,Kanhiyalal Prabhakar Mishra,,
1717,Kanika Banerjee,,
1718,Kankanhalli Vasudevachary,,
1719,Kanta Saroop Krishen,,
1720,Kanta Tyagi,,
1721,Kantibhai Baldevbhai Patel,,
1722,Kantilal Hastimal Sancheti,,
1723,Kanubhai Hasmukhbhai Tailor,,
1724,Kanuri Lakshmana Rao,,
1725,Kanwal Sibal,,
1726,Kanwal Singh Chauhan,,
1727,Kanwaljit Singh Bains,,
1728,Kanwar Natwar Singh,,
1729,Kanwar Pal Singh Gill,,
1730,Kanwar Sain,,
1731,Kapil Dev,,
1732,Kapil Deva Dvivedi,,
1733,Kapil Mohan,,
1734,Kapil Tiwari,,
1735,Kapila Vatsyayan,,
1736,Karachur Lingappa Nanjappa,,
1737,Karamshi Jethabhai Somaiya,,
1738,Karan Johar,,
1739,Karan Singh,,
1740,Kariamanickam Srinivasa Krishnan,,
1741,Karim Al Hussaini Aga Khan,"''' Aga Khan Development Network '''

The Aga Khan is the founder and chairman of the Aga Khan Development Network, which coordinates the activities of over 200 agencies and institutions, employing approximately 80,000 paid staff, the majority of whom are based in developing countries. AKDN is partly funded by his followers and donor partners that include numerous governments and several international organisations. AKDN agencies operate in the fields of health, education, culture, rural development, institution-building and the promotion of economic development, with a special focus on countries of the Third World. It is dedicated to improving living conditions and opportunities for the poor, without regard to their faith, origin or sex.AKDN includes the Aga Khan University, the University of Central Asia, the for-profit Aga Khan Fund for Economic Development, the Aga Khan Trust for Culture, the Aga Khan Foundation, the Aga Khan Health Services, the Aga Khan Education Services, the Aga Khan Planning and Building Services, and the Aga Khan Agency for Microfinance. One of the companies that the AKFED is the main shareholder of is the Serena Hotels Group – a chain of luxury hotels and resorts primarily located in Africa and Asia.
The Aga Khan Award for Architecture is the largest architectural award in the world. The Aga Khan is also the chairman of the Board of Governors of the Institute of Ismaili Studies, which he founded in 1977. He is also a Vice-President of the Royal Commonwealth Society.Focus Humanitarian Assistance, an affiliate of the AKDN, is responsible for emergency response in the face of disaster","'''ఆగాఖాన్ డెవలప్మెంట్ నెట్వర్క్ '''ఆగాఖాన్ డెవలప్మెంట్ నెట్వర్క్, వ్యవస్థాపకుడు, ఛైర్మన్, ఇది 200కు పైగా ఏజెన్సీలు, సంస్థల కార్యకలాపాలను సమన్వయం చేస్తుంది, సుమారు 80, 000 మంది చెల్లింపు సిబ్బందిని నియమించింది, వీరిలో ఎక్కువ మంది అభివృద్ధి చెందుతున్నారు. దేశాలు. అనేక ప్రభుత్వాలు, అనేక అంతర్జాతీయ సంస్థలను కలిగి ఉన్న అతని అనుచరులు, దాతల భాగస్వాముల ద్వారా AKDN పాక్షికంగా నిధులు సమకూరుస్తుంది. AKDN ఏజెన్సీలు ఆరోగ్యం, విద్య, సంస్కృతి, గ్రామీణాభివృద్ధి, సంస్థ-నిర్మాణం, ఆర్థికాభివృద్ధిని ప్రోత్సహించడం వంటి రంగాలలో పనిచేస్తాయి, మూడవ ప్రపంచ దేశాలపై ప్రత్యేక దృష్టి సారిస్తుంది. పేదల విశ్వాసం, మూలం లేదా లింగంతో సంబంధం లేకుండా వారి జీవన పరిస్థితులు, అవకాశాలను మెరుగుపరచడానికి ఇది అంకితం చేయబడింది. AKDNలో అగాఖాన్ విశ్వవిద్యాలయం, సెంట్రల్ ఆసియా విశ్వవిద్యాలయం, లాభాపేక్షతో కూడిన అగాఖాన్ ఫండ్ ఫర్ ఎకనామిక్ డెవలప్మెంట్, ఆగాఖాన్ ట్రస్ట్ ఫర్ కల్చర్, అగాఖాన్ ఫౌండేషన్, అగాఖాన్ హెల్త్ సర్వీసెస్, అగాఖాన్ ఎడ్యుకేషన్ సర్వీసెస్, అగా ఉన్నాయి. ఖాన్ ప్లానింగ్ అండ్ బిల్డింగ్ సర్వీసెస్,, మైక్రోఫైనాన్స్ కోసం అగా ఖాన్ ఏజెన్సీ. AKFED ప్రధాన వాటాదారుగా ఉన్న కంపెనీలలో ఒకటి సెరెనా హోటల్స్ గ్రూప్ - ఇది ప్రధానంగా ఆఫ్రికా, ఆసియాలో ఉన్న లగ్జరీ హోటల్లు, రిసార్ట్ల గొలుసు. ఆర్కిటెక్చర్ కోసం అగాఖాన్ అవార్డు ప్రపంచంలోనే అతిపెద్ద ఆర్కిటెక్చర్ అవార్డు. అగాఖాన్ 1977లో స్థాపించిన ఇన్స్టిట్యూట్ ఆఫ్ ఇస్మాయిలీ స్టడీస్కు బోర్డ్ ఆఫ్ గవర్నర్స్ ఛైర్మన్గా కూడా ఉన్నారు. ఇతను రాయల్ కామన్వెల్త్ సొసైటీకి ఉపాధ్యక్షుడు కూడా. AKDN, అనుబంధ సంస్థ అయిన ఫోకస్ హ్యుమానిటేరియన్ అసిస్టెన్స్, విపత్తు సమయంలో అత్యవసర ప్రతిస్పందనకు బాధ్యత వహిస్తుంది. "
1742,Karimpat Mathangi Ramakrishnan,,
1743,Karimpumannil Mathai George,,
1744,Karimul Haque,,
1745,Kariya Munda,,
1746,Karl Harrington Potter,,
1747,Karl Jamshed Khandalavala,,
1748,Karnam Malleswari,,
1749,Karsanbhai Patel,,
1750,Kartar Paras Ram Singh,,
1751,Kartar Singh Dewana,,
1752,Kartar Singh Duggal,"Duggal has authored twenty-four collections of short stories, ten novels, seven plays, seven works of literary criticism, two poetry collections and an autobiography. Many of his books have been adopted by various universities for graduate studies. Among his works are:","దుగ్గల్ ఇరవై నాలుగు కథల సంకలనాలు, పది నవలలు, ఏడు నాటకాలు, ఏడు సాహిత్య విమర్శ రచనలు, రెండు కవితా సంకలనాలు, ఒక ఆత్మకథను రచించారు. అతని అనేక పుస్తకాలను గ్రాడ్యుయేట్ అధ్యయనాల కోసం వివిధ విశ్వవిద్యాలయాలు స్వీకరించాయి. అతని రచనలలో:. "
1753,Kartikeya V. Sarabhai,,
1754,Karuna Mary Braganza,,
1755,Kashi Nath Pandita,,
1756,Kashi Prasad Pandey,,
1757,Kashmir Singh Katoch,,
1758,Kashmiri Lal Zakir,,
1759,Kasturbhai Lalbhai,,
1760,Kasturi Lal Chopra,,
1761,Kasturi Lal Vij,,
1762,Kasturi Srinivasan,,
1763,Kasturiswami Sreenivasan,,
1764,Kattingeri Krishna Hebbar,,
1765,Kattungal Subramaniam Manilal,,
1766,Katty Venkataswami Naidu,,
1767,Katuru Narayana,,
1768,Kaur Singh,,
1769,Kaushik Basu,,
1770,Kavalam Narayana Panicker,,
1771,Kaviraj Ashuthosh Majumdar,,
1772,Kavita Krishnamurthy,,
1773,Kavungal Chathunni Panicker,,
1774,Kayalath Pothen Philip,,
1775,Kazi Lhendup Dorjee,,
1776,Kazi Masum Akhtar,,
1777,Kazi Nazrul Islam,,
1778,Kedar Ghosh,,
1779,Kedar Gurung,,
1780,Kedar Nath Mookerjee,,
1781,Kedar Nath Sahoo,,
1782,Keepu Tsering Lepcha,,
1783,Keezhpadam Kumaran Nair,,
1784,Keiki R. Mehta,,
1785,Keki Byramjee Grant[i]#,,
1786,Keki Hormusji Gharda,,
1787,Keki N. Daruwalla,,
1788,Kekoo Gandhy,,
1789,Kelucharan Mohapatra,,
1790,Kershasp Tehmurasp Satarawala,,
1791,Kesarbai Kerkar,,
1792,Keshav Malik,,
1793,Keshav Prasad Goenka,,
1794,Keshav Rao Musalgaonkar,,
1795,Keshavram Kashiram Shastri,,
1796,Keshavrao Krishnarao Datey,,
1797,Keshubhai Patel,,
1798,Ketayun Ardeshir Dinshaw,,
1799,Kewal Singh Choudhary,,
1800,Khadg Singh Valdiya,,
1801,Khadim Hussain Khan,,
1802,Khailshanker Durlabhji,,
1803,Khaled Choudhury,,
1804,Khalid A. H. Ansari,,
1805,"Khalid Hameed, Baron Hameed",,
1806,Khalid Zaheer,,
1807,Khangembam Mangi Singh,,
1808,Kharag Singh Valdiya,,
1809,Khawlkungi,,
1810,Khem Karan Singh,,
1811,Khem Singh Gill,,
1812,Khushdeva Singh,,
1813,Khushwant Lal Wig,,
1814,Khushwant Singh,,
1815,Khusro Faramurz Rustamji,,
1816,Khwaja Ahmad Abbas,,
1817,Khwaja Ghulam Saiyidain,,
1818,Kim Yang-shik,,
1819,Kiran Karnik,,
1820,Kiran Martin,,
1821,Kiran Mazumdar,,
1822,Kiran Mazumdar-Shaw,,
1823,Kiran Segal,,
1824,Kiran Seth,,
1825,Kirit Parikh,,
1826,Kiritkumar Mansukhlal Acharya,,
1827,Kirpal Singh,,
1828,Kirpal Singh Chugh,,
1829,Kirpal Singh Narang,,
1830,Kishan Lal,,
1831,Kishan Maharaj,,
1832,Kishandas Bhagwandas Kapadia,,
1833,Kishorebhai Ratilal Zaveri,,
1834,Kishori Amonkar,,
1835,Kodaganur S. Gopinath,,
1836,Kodandera Subayya Thimayya,,
1837,Koka Simhadri Babu,,
1838,Kolakaluri Enoch,,
1839,Komal Kothari,,
1840,Komala Varadan,,
1841,Koneru Ramakrishna Rao,,
1842,Kooram Chakravarthy Kannan,,
1843,Kota Harinarayana,,
1844,Kota Srinivasa Rao,,
1845,Kotha Satchidananda Murthy,,
1846,Kotha Satchidanda Murthy,,
1847,Kothamangalam Subbu,,
1848,Kotti Narasimha Udupa,,
1849,Kranti Shah,,
1850,Kripal Singh Shekhawat,,
1851,Kris Gopalakrishnan,,
1852,Krishan Dev Bali,,
1853,Krishan Dev Dewan,,
1854,Krishan Dutta Bharadwaj,,
1855,Krishan Swarup Pathak,,
1856,Krishen Khanna,,
1857,Krishn Kanhai,,
1858,Krishna Bihari Mishra,,
1859,Krishna Chaithanya,,
1860,Krishna Chandar,,
1861,Krishna Chandra Chunekar,,
1862,Krishna Chandra Panigrahi,,
1863,Krishna Chandra Shukla,,
1864,Krishna Gopal Saxena,,
1865,Krishna Joshi,,
1866,Krishna Kanta Handique,,
1867,Krishna Kumar,,
1868,Krishna Lal Chadha,,
1869,Krishna Murari Tiwari,,
1870,Krishna Pai Pai,,
1871,Krishna Poonia,,
1872,Krishna Prasad Dar,,
1873,Krishna Prasad Singh Varma,,
1874,Krishna Ram Chaudhary,,
1875,Krishna Ramchand Kriplani,,
1876,Krishna Reddy,,
1877,Krishna Srinivas,,
1878,Krishna Swaroop Mullick,,
1879,Krishnammal Jagannathan,,
1880,Krishnamurthy Santhanam,,
1881,Krishnan Raghavachari,,
1882,Krishnarao Phulambrikar,,
1883,Krishnarao Shankar Pandit,,
1884,Krishnarao Shripat Mhaskar,,
1885,Krishnaswami Balasubramania Iyer,,
1886,Krishnaswami Ramiah,,
1887,Krishnaswami Srinivas Sanjivi,,
1888,Krishnaswami Swaminathan,,
1889,Krishnaswamy Kasturirangan,,
1890,Kruthartha Acharya,,
1891,Kshama Metre,,
1892,Kshem Suman Chandra,,
1893,Kshetrimayum Ongbi Thouranisabi Devi,,
1894,Kudrat Singh,,
1895,Kuldip Nayar,,
1896,Kuldip Singh Virk,,
1897,Kum Subasini Jhunu Dasgupta,,
1898,Kum Uma Sharma,,
1899,Kumar Gandharva,,
1900,Kumar Ketkar,,
1901,Kumar Nandan Prasad,,
1902,Kumar Padma Siva Shankara Menon,,
1903,Kumar Sanu,,
1904,Kumari Codanda Rohini Poovaiah,,
1905,Kumari Kamala,,
1906,Kumarpal Desai,,
1907,Kumkum Mohanty,,
1908,Kumud Ranjan Mullick,,
1909,Kumudini Lakhia,,
1910,Kundal Lal Bery,,
1911,Kunhiraman Palat Candeth,,
1912,Kunja Bihari Meher,,
1913,Kunjarani Devi,,
1914,Kunji Lal Dubey,,
1915,Kunnakudi Vaidyanathan,,
1916,Kunnenkeril K. Jacob,,
1917,Kunwar Digvijai Singh,,
1918,Kunwar Narayan,,
1919,Kunwar Singh Negi,,
1920,Kuppali Venkatappagowda Puttappa,,
1921,Kurian John Melamparambil,,
1922,Kushal Konwar Sarma,,
1923,Kushal Pal Singh,,
1924,Kushok Bakula,,
1925,Kuthur Ramakrishnan Srinivasan,,
1926,Kutikuppala Surya Rao,,
1927,Kuvempu,,
1928,Kuzhivelil Mathew,,
1929,Kuzhur Narayana Marar,,
1930,L. A. Krishna Iyer,,
1931,L. K. Advani,,
1932,L. K. Doraiswamy,,
1933,L. Kijungluba AO,,
1934,L. S. N. Prasad,,
1935,L. Subramaniam,,
1936,L. Venkatakrishna Iyer,,
1937,L. Z. Sailo,,
1938,Laila Tyabji,,
1939,Laishram Birendrakumar Singh,,
1940,Laishram Nabakishore Singh,,
1941,Lakha Khan,,
1942,Lakhimi Baruah,,
1943,Lakhumal Hiranand Hiranandani,,
1944,Lakshman Dev,,
1945,Lakshman Shastri Joshi,,
1946,Lakshman Singh,,
1947,Lakshman Singh Jangpangi,,
1948,Lakshman Swarup Darbari,,
1949,Lakshmi Kumari Chundawat,,
1950,Lakshmi Mazumdar,,
1951,Lakshmi Menon,,
1952,Lakshmi Mittal,,
1953,Lakshmi Nandan Bora,,
1954,Lakshmi Sahgal,,
1955,Lakshmikutty,,
1956,Lakshminarayana Pulram Ananthakrishnan Ramdas,,
1957,Lal Bahadur Singh Chauhan,,
1958,Lal Singh,,
1959,Lala Amarnath,,
1960,Lala Chand Verman,,
1961,Lala Hansraj Gupta,,
1962,Lalchand Hirachand,,
1963,Lalgudi Jayaraman,,
1964,Lalit Kumar,,
1965,Lalit Mohan Banerjee,,
1966,Lalit Pande,,
1967,Lalitha Chidambaram,,
1968,Lalji Singh,,
1969,Lallan Prasad Singh,,
1970,Lalsangzuali Sailo,,
1971,Lalsawma,,
1972,Lalthangfala Sailo,,
1973,Laltluangliana Khiangte,,
1974,Lalzuia Colney,,
1975,Lama Thup Phuntsok,,
1976,Lambert Mascarenhas,,
1977,Langpoklakpam Subadani Devi,,
1978,Lata Mangeshkar,,
1979,Laurie Baker,,
1980,Lavu Narendranath,,
1981,Laxma Goud,,
1982,Laxman Mahadeo Chitale,,
1983,Laxman Mane,,
1984,Laxman Pai,,
1985,Laxmanshastri Balaji Joshi,,
1986,Laxmi Chand Gupta,,
1987,Laxmi Mall Singhvi,,
1988,Laxmi Narayan Dubey,,
1989,Laxmi Prasad Sihare,,
1990,Laxminarayan Sahu,,
1991,Leander Paes,,
1992,Leela Joshi,,
1993,Leela Omchery,,
1994,Leela Samson,,
1995,Leela Sumant Moolgaokar,,
1996,Leeladhar Jagudi,,
1997,Leelavati Vinayak Pathak,,
1998,Lentina Ao Thakkar,,
1999,Leonarda Angela Casiraghi,,
2000,Leslie Claudius,,
2001,Leslie Denis Swindale,,
2002,Lhingioneng Gangte,,
2003,Lia Diskin,,
2004,Liarenmayum Damu Singh,,
2005,Lil Bahadur Chettri,,
2006,Lila Indrasen,,
2007,Lila Poonawalla,,
2008,Lila Ram,,
2009,Lila Ramkumar Bhargava,,
2010,Lilian G. Lutter,,
2011,Limba Ram,,
2012,Lloyd Rudolph,,
2013,Lokesh Chandra,,
2014,Lokesh Kumar Singhal,,
2015,Lothar Lutze,,
2016,Love Raj Singh Dharmshaktu,,
2017,Lovelin Kumar Gandhi,,
2018,Lucy Oommen,,
2019,Luis Jose De Souza,,
2020,M. A. Muthiah Chettiar,,
2021,M. A. Yousuf Ali,,
2022,M. Annamalai,,
2023,M. Aram,,
2024,M. B. Ramachandra Rao,,
2025,M. Balamuralikrishna,,
2026,M. Boyer,,
2027,M. C. Pant,,
2028,M. C. Setalvad,,
2029,M. D. Ramanathan,,
2030,M. D. Valsamma,,
2031,M. F. Husain,,
2032,M. G. Deo,,
2033,M. G. K. Menon,,
2034,M. J. Gopalan,,
2035,M. K. Binodini Devi,,
2036,M. K. Krishna Menon,,
2037,M. K. Kunjol,,
2038,M. K. Malik Mohammad,,
2039,M. K. Narayanan,,
2040,M. K. Radha,,
2041,M. K. Saroja,,
2042,M. Kirti Singh,,
2043,M. Krishnan Nair,,
2044,M. L. Soni,,
2045,M. L. Vasanthakumari,,
2046,M. Leelavathy,,
2047,M. M. Joshi,,
2048,M. M. S. Ahuja,,
2049,M. Mahadevappa,,
2050,M. N. Buch,,
2051,M. N. Krishnamani,,
2052,M. N. Passey,,
2053,M. N. Venkatachaliah,,
2054,M. Narasimham,,
2055,M. Night Shyamalan,,
2056,M. P. Ganesh,,
2057,M. P. Nachimuthu,,
2058,M. R. Acharekar,,
2059,M. R. Brahmam,,
2060,M. R. Kurup,,
2061,M. R. Rajagopal,,
2062,M. R. S. Rao,,
2063,M. R. Srinivasan,,
2064,M. S. Banga,,
2065,M. S. Gill,,
2066,M. S. Gopalakrishnan,,
2067,M. S. Krishnan,,
2068,M. S. Narasimhan,,
2069,M. S. Raghunathan,,
2070,M. S. Ramakumar,,
2071,M. S. Sathyu,,
2072,M. S. Subbulakshmi,,
2073,M. S. Swaminathan,,
2074,M. S. Valiathan,,
2075,M. Sarada Menon,,
2076,M. Subhadra Nair,,
2077,M. T. Vasudevan Nair,,
2078,M. V. Mathur,,
2079,M. V. Padma Srivastava,,
2080,M. V. Pylee,,
2081,M. V. Rao,,
2082,M. V. Subbiah,,
2083,M. Vijayan,,
2084,M. Y. S. Prasad,,
2085,MS Dhoni,,
2086,Maadari Bhagya Gautam,,
2087,Machani Somappa,,
2088,Madan Lal Madhu,,
2089,Madan Madhav Godbole,,
2090,Madan Mohan,,
2091,Madan Mohan Sabharwal,,
2092,Madan Mohan Singh,,
2093,Madan Singh Chouhan,,
2094,Madanur Ahmed Ali,,
2095,Madapati Rao,,
2096,Madappa Mahadevappa,,
2097,Madaram Brahma,,
2098,Madavoor Vasudevan Nair,,
2099,Maddali Gopala Krishna,,
2100,Madeleine Herman de Blic,,
2101,Madhav Gadgil,,
2102,Madhav Kashinath Dalvi,,
2103,Madhav Sadashiv Gore,,
2104,Madhav Shrihari Aney,,
2105,Madhav Vittal Kamath,,
2106,Madhav Yeshwant Gadkari,,
2107,Madhava Ashish,,
2108,Madhavan Chandradathan,,
2109,Madhavan Nambiar,,
2110,Madhavi Mudgal,,
2111,Madhaviah Krishnan,,
2112,Madhavrao Bagal,,
2113,Madhu,,
2114,Madhu Mangesh Karnik,,
2115,Madhu Mansuri Hasmukh,,
2116,Madhu Pandit Dasa,,
2117,Madhu Sudan Kanungo,,
2118,Madhukar Keshav Dhavalikar,,
2119,Madhumita Bisht,,
2120,Madhup Mudgal,,
2121,Madhur Bhandarkar,,
2122,Madhuri Dixit,,
2123,Madhuri R. Shah,,
2124,Madhusudan Dhaky,,
2125,Madurai N. Krishnan,,
2126,Madurai Ponnusamy Sethuraman Natesan,,
2127,Mag Raj Jain,,
2128,Magan Lal Tribhuvandas Vyas,,
2129,Maganbhai Ramchhodbhai Patel,,
2130,Maguni Charan Das,,
2131,Maha Chakri Sirindhorn,,
2132,Mahadev Lalji Shahare,,
2133,Mahadev Prasad Pandey,,
2134,Mahadeva Iyer Ganapati,,
2135,Mahadevi Varma,,
2136,Mahamaya Prasad Dubey,,
2137,Mahankali Seetharama Rao,,
2138,Maharaj Kishan Bhan,,
2139,Maharaj Kr. Palden T Namgyal,,
2140,Maharaj Krishan Kumar,,
2141,Maharaja Krishna Rasgotra,,
2142,Maharajapuram Santhanam,,
2143,Maharao Raghuveer Singh,,
2144,Mahashay Dharampal Gulati,,
2145,Mahasundari Devi,,
2146,Mahasweta Devi,,
2147,Mahdi Hasan,,
2148,Mahendra Bhandari,,
2149,Mahendra Kapoor,,
2150,Mahendra Kumar Goel,,
2151,Mahendra Nath Kapur,,
2152,Mahendra Singh Sodha,,
2153,Mahesh Bhupathi,,
2154,Mahesh Chandra Mehta,,
2155,Mahesh Haribhai Mehta,,
2156,Mahesh Kanodia,,
2157,Mahesh Prasad Mehray,,
2158,Mahesh Raj Soni,,
2159,Mahesh Sharma,,
2160,Mahesh Verma,,
2161,Maheshwar Dayal,,
2162,Maheswar Neog,,
2163,Mahim Bora,,
2164,Mahipal S. Sachdev,,
2165,Mahipatrai Jadavji Shah,,
2166,Mahrukh Tarapor,,
2167,Maisnam Amubi Singh,,
2168,Maithili Sharan Gupt,,
2169,Maitreyi Devi,,
2170,Makar Dhwaja Darogha,,
2171,Makhala Jha,,
2172,Makhanlal Chaturvedi,,
2173,Malai Haji Abdullah Bin Malai Haji Othman,,
2174,Malathi Krishnamurthy Holla,,
2175,Malati Barua,,
2176,Malavika Sarukkai,,
2177,Malcolm Adiseshiah,,
2178,Mali,,
2179,Maligali Ram Krishna Girinath,,
2180,Malini Awasthi,,
2181,Mallappa Krishna Bhargava,,
2182,Mallika Sarabhai,,
2183,Mallika Srinivasan,,
2184,Mallikarjun Mansur,,
2185,Malti Joshi,,
2186,Malur Srinivasa Thirumale Iyengar,,
2187,Malvika Sabharwal,,
2188,Mamang Dai,,
2189,Mamidipudi Venkatarangayya,,
2190,Mammen Chandy,,
2191,Mammen Mathew,,
2192,Mammootty,,
2193,Mamraj Agrawal,,
2194,Mamta Chandrakar,,
2195,Mamta Sodha,,
2196,Man Mohan Sharma,,
2197,Man Mohan Suri,,
2198,Man Singh M. Rana,,
2199,Manak Jehangir Bhickaji Maneckji,,
2200,Manas Bihari Verma,,
2201,Manas Chaudhuri,,
2202,Manchar Balvant Diwan,,
2203,Mandan Mishra,,
2204,Maneklal Sankalchand Thacker,,
2205,Mangal Singh Hazowary,,
2206,Mangala Prasad Mohanty,,
2207,Mangesh Padgaonkar,,
2208,Mangru Ganu Uikey,,
2209,Mani Krishnaswami,,
2210,Mani Kumar Chetri,,
2211,Mani Lal Bhaumik,,
2212,Mani Madhava Chakyar,,
2213,Mani Narayan,,
2214,Mani Ratnam,,
2215,Maniben Kara,,
2216,Manibhai Desai,,
2217,Manibhai J. Patel,,
2218,Manickam Narayanan,,
2219,Manik Varma,,
2220,Manikonda Chalapathi Rau,,
2221,Manikya Lal Verma,,
2222,Manilal Nag,,
2223,Manindra Agrawal,,
2224,Manju Bharat Ram,,
2225,Manju Sharma,,
2226,Manjul Bhargava,,
2227,Manjula Anagani,,
2228,Manmohan Attavar,,
