,Recipients,political career,political career Telugu
1733,Kapil Mohan,,
1734,Kapil Tiwari,,
1735,Kapila Vatsyayan,,
1736,Karachur Lingappa Nanjappa,,
1737,Karamshi Jethabhai Somaiya,,
1738,Karan Johar,,
1739,Karan Singh,"In 1949, at age of eighteen, Singh was appointed as the prince regent of Jammu and Kashmir state after his father stepped down as the ruler, following the state's accession to India. From that point, he served successively as regent, the Sadr-i-Riyasat, and the first governor of the state of Jammu and Kashmir from 1965 to 1967.
On August 8, 1953 as the President (Sadr-i-Riyasat) of Jammu and Kashmir, Karan Singh backed a coup d'etat against the elected Prime Minister Sheikh Abdullah, allegedly for harboring independent ambitions for Kashmir, which led to the imprisonment of Abdullah for eleven years following the Kashmir Conspiracy Case.
In 1967, he resigned as Governor of Jammu and Kashmir, and became the youngest-ever member of the Union Cabinet, holding the portfolios of Tourism and Civil Aviation between 1967 and 1973. Two years later, he voluntarily surrendered his privy purse, which he had been entitled to since the death of his father in 1961. He placed the entire sum into a charitable trust named after his parents.

In the 26th amendment to the Constitution of India promulgated in 1971, the Government of India, of which Karan Singh was a Union cabinet minister, abolished all official symbols of princely India, including titles, privileges, and remuneration (privy purses). During the conclusion of the Cold War, he was India's ambassador to the USA. Singh received the Padma Vibhushan in 2005.In 1971, he was sent as an envoy to the Eastern Bloc nations to explain India's position with regard to East Pakistan, then engaged in civil war with West Pakistan","1949లో, పద్దెనిమిదేళ్ల వయసులో, సింగ్ భారతదేశంలోకి రాష్ట్రం చేరిన తర్వాత, అతని తండ్రి పాలకుడిగా పదవీ విరమణ చేసిన తర్వాత జమ్మూ, కాశ్మీర్ రాష్ట్రానికి ప్రిన్స్ రీజెంట్గా నియమితులయ్యారు. అప్పటి నుండి, ఇతను 1965 నుండి 1967 వరకు రాజప్రతినిధిగా, సదర్-ఇ-రియాసత్, జమ్మూ కాశ్మీర్ రాష్ట్రానికి మొదటి గవర్నర్గా పనిచేశాడు. ఆగష్టు 8, 1953న జమ్మూ, కాశ్మీర్ అధ్యక్షుడిగా (సదర్-ఇ-రియాసత్) కరణ్ సింగ్ ఎన్నికైన ప్రధాన మంత్రి షేక్ అబ్దుల్లాకు వ్యతిరేకంగా తిరుగుబాటుకు మద్దతు ఇచ్చాడు, కాశ్మీర్ కోసం స్వతంత్ర ఆశయాలను ఆశ్రయించినందుకు ఆరోపిస్తూ, జైలు శిక్ష విధించబడింది. కాశ్మీర్ కుట్ర కేసు తర్వాత పదకొండేళ్లు అబ్దుల్లా. 1967లో, ఇతను జమ్మూ, కాశ్మీర్ గవర్నర్ పదవికి రాజీనామా చేశాడు, 1967, 1973 మధ్య టూరిజం, పౌర విమానయాన శాఖలను కలిగి ఉండి, కేంద్ర మంత్రివర్గంలో అతి పిన్న వయస్కుడైన సభ్యుడు అయ్యాడు. రెండు సంవత్సరాల తరువాత, ఇతను 1961లో తన తండ్రి మరణించినప్పటి నుండి తనకు హక్కుగా ఉన్న తన ప్రైవేట్ పర్సును స్వచ్ఛందంగా అప్పగించాడు. ఇతను మొత్తం మొత్తాన్ని తన తల్లిదండ్రుల పేరు మీద ఉన్న ఛారిటబుల్ ట్రస్ట్లో పెట్టాడు. 1971లో ప్రకటించబడిన భారత రాజ్యాంగంలోని 26వ సవరణలో, కరణ్ సింగ్ కేంద్ర క్యాబినెట్ మంత్రిగా ఉన్న భారత ప్రభుత్వం, బిరుదులు, అధికారాలు, వేతనం (ప్రైవీ పర్సులు) సహా రాచరికపు భారతదేశం, అన్ని అధికారిక చిహ్నాలను రద్దు చేసింది. ప్రచ్ఛన్నయుద్ధం ముగిసిన సమయంలో, ఇతను USAలో భారత రాయబారిగా ఉన్నాడు. సింగ్ 2005లో పద్మవిభూషణ్ అందుకున్నారు. 1971లో, పశ్చిమ పాకిస్తాన్తో అంతర్యుద్ధంలో నిమగ్నమైన తూర్పు పాకిస్తాన్కు సంబంధించి భారతదేశం, వైఖరిని వివరించడానికి ఇతను ఈస్టర్న్ బ్లాక్ దేశాలకు రాయబారిగా పంపబడ్డాడు. "
1740,Kariamanickam Srinivasa Krishnan,,
1741,Karim Al Hussaini Aga Khan,,
1742,Karimpat Mathangi Ramakrishnan,,
1743,Karimpumannil Mathai George,,
1744,Karimul Haque,,
1745,Kariya Munda,"Munda was 1st elected to the 6th Lok Sabha in 1977 from Khunti constituency in Bihar state (presently, in Jharkhand state). He was re-elected to the Lok Sabha in 1989, 1991, 1996, 1998, 1999, and 2009 from the same constituency of Khunti. In between, he was also elected and served as MLA to the Legislative Assemblies of Bihar and later, Jharkhand. Needless to say, being a Representative of the people so repetitively, he has been equally popular among all sections of the society.
He has inducted into the Morarji Desai government in 1977 and given the portfolio of Steel Ministry, in the capacity as the Minister of State. He was a cabinet minister in the ministry headed by Atal Bihari Vajpayee, including the famous stint in the 13 days' government in 1999 and afterward. He has now been among the senior leaders of Bharatiya Janata Party, rising from the days of the 'Jansangh' and have witnessed many ups and downs in Indian politics, particularly since the days of emergency.
He was one of the candidates in the race to become first Chief Minister of Jharkhand at the time of its establishment in November 2000 but lost of Babulal Marandi and become the Minister for Agro and Rural Industries from September 2001 to January 2003 and Minister of Coal and Non-Conventional Energy Sources in Atal Bihari Vajpayee's third cabinate.In the 2004 Lok Sabha elections, he lost Khunti seat to Sushila Kerketta of Indian National Congress but won the Khijri Vidhan Sabha seat in 2005 Jharkhand Legislative Assembly election.
During 15th Lok Sabha, Munda was unanimously elected Deputy Speaker of Lok Sabha","ముండా 1977లో బీహార్ రాష్ట్రంలోని (ప్రస్తుతం జార్ఖండ్ రాష్ట్రంలోని) ఖుంటి నియోజకవర్గం నుండి 6వ లోక్సభకు 1వ ఎన్నికయ్యారు. ఇతను 1989, 1991, 1996, 1998, 1999,, 2009లో అదే కుంతి నియోజకవర్గం నుండి లోక్సభకు తిరిగి ఎన్నికయ్యారు. మధ్యలో, ఇతను బీహార్, తరువాత జార్ఖండ్ శాసనసభలకు ఎన్నికై ఎమ్మెల్యేగా కూడా పనిచేశాడు. పదే పదే ప్రజాప్రతినిధిగా ఉండడం వల్ల సమాజంలోని అన్ని వర్గాల వారికి సమానంగా ఆదరణ లభించిందని వేరే చెప్పనవసరం లేదు. ఇతను 1977లో మొరార్జీ దేశాయ్ ప్రభుత్వంలోకి ప్రవేశించాడు, రాష్ట్ర మంత్రి హోదాలో ఉక్కు మంత్రిత్వ శాఖ, పోర్ట్ఫోలియోను ఇచ్చాడు. ఇతను అటల్ బిహారీ వాజ్పేయి నేతృత్వంలోని మంత్రివర్గంలో క్యాబినెట్ మంత్రిగా పనిచేశాడు, 1999లో, ఆ తర్వాత 13 రోజుల ప్రభుత్వంలో ప్రసిద్ధి చెందాడు. ఇతను ఇప్పుడు భారతీయ జనతా పార్టీ సీనియర్ నాయకులలో ఒకడు, 'జనసంఘ్' రోజుల నుండి ఎదుగుతున్నాడు, భారత రాజకీయాల్లో ముఖ్యంగా ఎమర్జెన్సీ రోజుల నుండి అనేక ఎత్తుపల్లాలను చూశాడు. నవంబర్ 2000లో జార్ఖండ్ స్థాపన సమయంలో మొదటి ముఖ్యమంత్రిగా రేసులో ఉన్న అభ్యర్థులలో ఇతను ఒకడు, కానీ బాబులాల్ మరాండీ చేతిలో ఓడిపోయాడు, సెప్టెంబర్ 2001 నుండి జనవరి 2003 వరకు వ్యవసాయ, గ్రామీణ పరిశ్రమల మంత్రిగా, బొగ్గు, బొగ్గు శాఖ మంత్రి అయ్యాడు. అటల్ బిహారీ వాజ్పేయి మూడో క్యాబినేట్లో సంప్రదాయేతర ఇంధన వనరులు. 2004 లోక్సభ ఎన్నికలలో, ఇతను భారత జాతీయ కాంగ్రెస్కు చెందిన సుశీల కెర్కెట్టాపై ఖుంటి సీటును కోల్పోయాడు కానీ 2005 జార్ఖండ్ శాసనసభ ఎన్నికలలో ఖిజ్రీ విధానసభ స్థానాన్ని గెలుచుకున్నాడు. 15వ లోక్సభ సమయంలో, ముండా లోక్సభ డిప్యూటీ స్పీకర్గా ఏకగ్రీవంగా ఎన్నికయ్యారు. "
1746,Karl Harrington Potter,,
1747,Karl Jamshed Khandalavala,,
1748,Karnam Malleswari,,
1749,Karsanbhai Patel,,
1750,Kartar Paras Ram Singh,,
1751,Kartar Singh Dewana,,
1752,Kartar Singh Duggal,,
1753,Kartikeya V. Sarabhai,,
1754,Karuna Mary Braganza,,
1755,Kashi Nath Pandita,,
1756,Kashi Prasad Pandey,,
1757,Kashmir Singh Katoch,,
1758,Kashmiri Lal Zakir,,
1759,Kasturbhai Lalbhai,,
1760,Kasturi Lal Chopra,,
1761,Kasturi Lal Vij,,
1762,Kasturi Srinivasan,,
1763,Kasturiswami Sreenivasan,,
1764,Kattingeri Krishna Hebbar,,
1765,Kattungal Subramaniam Manilal,,
1766,Katty Venkataswami Naidu,,
1767,Katuru Narayana,,
1768,Kaur Singh,,
1769,Kaushik Basu,,
1770,Kavalam Narayana Panicker,,
1771,Kaviraj Ashuthosh Majumdar,,
1772,Kavita Krishnamurthy,,
1773,Kavungal Chathunni Panicker,,
1774,Kayalath Pothen Philip,,
1775,Kazi Lhendup Dorjee,"Dorjee founded the Sikkim Praja Mandal in 1945 and served as its first president. Dorjee also became president of the Sikkim State Congress in 1953 and served as president until 1958.In 1962, Dorjee helped to found the Sikkim National Congress political party. The Sikkim National Congress was founded by Dorjee as a non-communal political party. The unity themed political platform of the party helped the Sikkim National Congress to win eight of the eighteen seats up for grabs in Sikkim's third general election. The Sikkim National Congress merged with India's Congress Party in the 1970s following Sikkim's annexation by India. Dorjee also formed the Sikkim Council to promote ""communal harmony.""Dorjee was considered to be a key figure in the 1975 union of Sikkim with India. Dorjee served as the first Chief Minister of Sikkim from 1975, the year before the official merger, until 1979.
Dorjee was honoured by the government of India with the Padma Vibhushan in 2002","దోర్జీ 1945లో సిక్కిం ప్రజా మండలిని స్థాపించి దాని మొదటి అధ్యక్షుడిగా పనిచేశారు. దోర్జీ 1953లో సిక్కిం రాష్ట్ర కాంగ్రెస్ అధ్యక్షుడయ్యాడు, 1958 వరకు అధ్యక్షుడిగా పనిచేశాడు. 1962లో, సిక్కిం నేషనల్ కాంగ్రెస్ రాజకీయ పార్టీని స్థాపించడంలో దోర్జీ సహాయపడ్డారు. సిక్కిం నేషనల్ కాంగ్రెస్ను దోర్జీ ఒక వర్గేతర రాజకీయ పార్టీగా స్థాపించారు. పార్టీ, ఐక్యత నేపథ్య రాజకీయ వేదిక సిక్కిం, మూడవ సార్వత్రిక ఎన్నికలలో పద్దెనిమిది సీట్లలో ఎనిమిది స్థానాలను గెలుచుకోవడానికి సిక్కిం నేషనల్ కాంగ్రెస్కు సహాయపడింది. సిక్కిం జాతీయ కాంగ్రెస్ 1970లలో భారతదేశంలో సిక్కిం విలీనమైన తర్వాత భారత కాంగ్రెస్ పార్టీలో విలీనమైంది. దోర్జీ ""మత సామరస్యాన్ని పెంపొందించడానికి సిక్కిం కౌన్సిల్ను కూడా ఏర్పాటు చేశారు. ""1975లో భారత్తో సిక్కిం యూనియన్లో దోర్జీ కీలక వ్యక్తిగా పరిగణించబడ్డారు. అధికారిక విలీనానికి ముందు సంవత్సరం 1975 నుండి 1979 వరకు సిక్కిం మొదటి ముఖ్యమంత్రిగా దోర్జీ పనిచేశారు. దోర్జీని భారత ప్రభుత్వం 2002లో పద్మవిభూషణ్తో సత్కరించింది. "
1776,Kazi Masum Akhtar,,
1777,Kazi Nazrul Islam,,
1778,Kedar Ghosh,,
1779,Kedar Gurung,,
1780,Kedar Nath Mookerjee,,
1781,Kedar Nath Sahoo,,
1782,Keepu Tsering Lepcha,,
1783,Keezhpadam Kumaran Nair,,
1784,Keiki R. Mehta,,
1785,Keki Byramjee Grant[i]#,,
1786,Keki Hormusji Gharda,,
1787,Keki N. Daruwalla,,
1788,Kekoo Gandhy,,
1789,Kelucharan Mohapatra,,
1790,Kershasp Tehmurasp Satarawala,,
1791,Kesarbai Kerkar,,
1792,Keshav Malik,,
1793,Keshav Prasad Goenka,,
1794,Keshav Rao Musalgaonkar,,
1795,Keshavram Kashiram Shastri,,
1796,Keshavrao Krishnarao Datey,,
1797,Keshubhai Patel,"Patel began his journey in electoral politics by contesting in the Rajkot municipality and later Rajkot Municipal Corporation. He started his political career as a worker for the Jan Sangh, of which was he was a founder member, in the 1960s. He lost the Gujarat Vidhan Sabha election in 1972 from Wankaner (Vidhan Sabha constituency) to the Congress . In 1975, he won from the Rajkot Vidhan Sabha Constituency and became minister for irrigation from 1978 to 1980 in the BJS-backed government of the Indian National Congress (Organisation), popularly called the Sanstha Congress, led by Chief Minister Babubhai Jashbhai Patel. During the Emergency, Patel was among the 3,500 people from Gujarat to be jailed under the draconian Maintenance of Internal Security Act. He was involved in relief work following the 1979 Machchhu dam failure which devastated Morbi.Patel won assembly elections for the constituencies of Rajkot (1975), Gondal (1980), Kalavad (1985), Tankara (1990), and Visavadar (Vidhan Sabha constituency) (1995, 1998, 2012) between 1975 and 2012. In 1980, when Jan Sangh was dissolved, he became a senior organiser of the newly-formed Bharatiya Janata Party (BJP). Patel was Deputy Chief Minister of Gujarat from 4 March 1990 to 25 October 1990 under Chimanbhai Patel. He organized the 1995 assembly election campaign for the BJP against Congress (I), which the party won","పటేల్ రాజ్కోట్ మునిసిపాలిటీ, తరువాత రాజ్కోట్ మున్సిపల్ కార్పొరేషన్లో పోటీ చేయడం ద్వారా ఎన్నికల రాజకీయాల్లో తన ప్రయాణాన్ని ప్రారంభించారు. ఇతను 1960లలో జన్ సంఘ్ వ్యవస్థాపక సభ్యునిగా తన రాజకీయ జీవితాన్ని ప్రారంభించాడు. ఇతను 1972లో గుజరాత్ విధానసభ ఎన్నికలలో వంకనేర్ (విధానసభ నియోజకవర్గం) నుండి కాంగ్రెస్ తరపున ఓడిపోయాడు. 1975లో, ఇతను రాజ్కోట్ విధానసభ నియోజకవర్గం నుండి గెలుపొందాడు, 1978 నుండి 1980 వరకు ముఖ్యమంత్రి బాబూభాయ్ జష్భాయ్ పటేల్ నేతృత్వంలోని సంస్థా కాంగ్రెస్ అని పిలవబడే భారతీయ జాతీయ కాంగ్రెస్ (సంస్థ), BJS-మద్దతు గల ప్రభుత్వంలో నీటిపారుదల శాఖ మంత్రి అయ్యాడు. ఎమర్జెన్సీ సమయంలో గుజరాత్కు చెందిన 3, 500 మందిలో పటేల్ కూడా అంతర్గత భద్రతా చట్టం కింద జైలు శిక్ష అనుభవించారు. 1979 మచ్చు డ్యామ్ వైఫల్యం మోర్బీని నాశనం చేసిన తరువాత ఇతను సహాయ పనిలో పాల్గొన్నాడు. పటేల్ 1975, 2012 మధ్య రాజ్కోట్ (1975), గొండాల్ (1980), కలవాడ్ (1985), టంకరా (1990),, విశ్వదర్ (విధానసభ నియోజకవర్గం) (1995, 1998, 2012) నియోజకవర్గాలకు అసెంబ్లీ ఎన్నికల్లో గెలుపొందారు. 1980లో, జన్ సంఘ్ రద్దు చేయబడినప్పుడు, ఇతను కొత్తగా ఏర్పాటైన భారతీయ జనతా పార్టీ (BJP)కి సీనియర్ ఆర్గనైజర్ అయ్యాడు. చిమన్భాయ్ పటేల్ హయాంలో 4 మార్చి 1990 నుండి 25 అక్టోబర్ 1990 వరకు పటేల్ గుజరాత్ ఉప ముఖ్యమంత్రిగా ఉన్నారు. ఇతను 1995 అసెంబ్లీ ఎన్నికల ప్రచారాన్ని బిజెపికి కాంగ్రెస్ (ఐ)కి వ్యతిరేకంగా నిర్వహించాడు, ఆ పార్టీ గెలిచింది. "
