,Recipients,honours,honours Telugu
1581,K. B. Sundarambal,"In 1964, the Tamil Isai Sangam conferred upon her the title of ""Tamil Isai Perarignar (Most Learned in Tamil Music).""  In 1970, the government of India awarded her the Padmashri for her contributions to the arts. She was awarded with the National Film Award for Best Female Playback Singer by the Government of India, for her work in Thunaivan. She also won the Tamil Nadu State Film Award for Best Female Playback for Thunaivan in 1969. She was also the first person in the Indian film industry to command a salary of one lakh rupees. She became the first lady member of Tamil Nadu Legislative Assembly.","1964లో, తమిళ ఇసై సంగం ఈమెకు ""తమిళ ఇసై పెరరిగ్నార్ (తమిళ సంగీతంలో బాగా నేర్చుకున్నది) బిరుదును ప్రదానం చేసింది. ""1970లో, భారత ప్రభుత్వం కళలకు ఈమె చేసిన కృషికి పద్మశ్రీ అవార్డును ప్రదానం చేసింది. తునైవన్లో ఈమె చేసిన పనికి గాను భారత ప్రభుత్వంచే ఉత్తమ మహిళా నేపథ్య గాయనిగా జాతీయ చలనచిత్ర పురస్కారం ఈమెకు లభించింది. ఈమె 1969లో తునైవన్ కోసం ఉత్తమ మహిళా నేపథ్యగానం కోసం తమిళనాడు రాష్ట్ర చలనచిత్ర అవార్డును కూడా గెలుచుకుంది. భారతీయ చలనచిత్ర పరిశ్రమలో లక్ష రూపాయల జీతం తీసుకున్న మొదటి వ్యక్తి కూడా ఈమె. ఈమె తమిళనాడు శాసనసభకు మొదటి మహిళా సభ్యురాలైంది. "
1582,K. Balachander,,
1583,K. C. Banerjee,,
1584,K. C. Johorey,,
1585,K. C. Reddy,,
1586,K. C. Sengupta,,
1587,K. C. Sivasankaran,,
1588,K. Covilagam Kutti Ettan Raja,,
1589,K. G. Jayan,,
1590,K. G. Ramanathan,,
1591,K. G. Subramanyan,,
1592,K. I. Varaprasad Reddy,,
1593,K. Ibomcha Sharma,,
1594,K. J. Yesudas,,
1595,K. K. Aggarwal,,
1596,K. K. Muhammed,,
1597,K. K. Talwar,,
1598,K. K. Venugopal,,
1599,K. Kripal Singh,,
1600,K. M. Beenamol,,
1601,K. M. Cherian,,
1602,K. M. Cherian (journalist),,
1603,K. M. George,,
1604,K. M. Mammen Mappillai,,
1605,K. M. Mathew,,
1606,K. N. Dandayudhapani Pillai,,
1607,K. N. Raj,,
1608,K. N. Shankara,,
1609,K. Narayanan,,
1610,K. P. Haridas,,
1611,K. P. Kesava Menon,,
1612,K. P. Mathur,,
1613,K. P. P. Nambiar,,
1614,K. P. Saxena,,
1615,K. P. Udayabhanu,,
1616,K. Paddayya,,
1617,K. Padmanabhaiah,,
1618,K. Parasaran,,
1619,K. R. Chakravorty,,
1620,K. R. Palaniswamy,,
1621,K. R. Ramanathan,,
1622,K. Radhakrishnan,,
1623,K. Raghavan,,
1624,K. S. Chandrasekharan,,
1625,K. S. Chithra,,
1626,K. S. Narayanaswamy,,
1627,K. S. Nissar Ahmed,,
1628,K. Sankaran Nair,,
1629,K. Shankar Pillai,,
1630,K. Shivaram Karanth,,
1631,K. Srinath Reddy,,
1632,K. Sukumaran,,
1633,K. T. Dholakia,,
1634,K. T. Thomas,,
1635,K. Ullas Karanth,,
1636,K. V. Kamath,,
1637,K. V. Narayanaswamy,,
1638,K. V. S. J. Peter,,
1639,K. V. Sampath Kumar,,
1640,K. Vardachari Thiruvengadam,,
1641,K. Venkatalakshamma,,
1642,K. Venkataraman,,
1643,K. VijayRaghavan,,
1644,K. Viswanath,,
1645,K. Y. Venkatesh,,
1646,K.S.A. Khader Ghulam Mohideen,,
1647,Kader Khan,,
1648,Kadiyala Ramachandra,,
1649,Kadri Gopalnath,,
1650,Kaifi Azmi,,
1651,Kaikhushru Ruttonji Shroff,,
1652,Kailas Nath Kaul,,
1653,Kailasam Raghavendra Rao,,
1654,Kailash Chand,,
1655,Kailash Chandra Agrawal,,
1656,Kailash Chandra Meher,,
1657,Kailash Kher,,
1658,Kailash Madbaiya,,
1659,Kailash Sankhala,,
1660,Kaithapram Damodaran Namboothiri,,
1661,Kajol,,
1662,Kaka Hathrasi,,
1663,Kakarla Subba Rao,,
1664,Kalabati Devi,,
1665,Kalamandalam Gopi,,
1666,Kalamandalam Krishnan Nair,,
1667,Kalamandalam Kshemavathy,,
1668,Kalamandalam Satyabhama,,
1669,Kalamandalam Sivan Namboodiri,,
1670,Kalanidhi Narayanan,,
1671,Kalbe Sadiq,,
1672,Kalee Shabi Mahaboob,,
1673,Kaleem Ullah Khan,,
1674,Kalidas Gupta Riza,,
1675,Kalim Aajiz,,
1676,Kalindi Charan Panigrahi,,
1677,Kallam Anji Reddy,,
1678,Kallur Subba Rao,,
1679,Kalluri Gopal Rao,,
1680,Kaloji Narayana Rao,,
1681,Kalpana Saroj,,
1682,Kalpathy Ram Iyer Doraiswamy,,
1683,Kalu Lal Shrimali,,
1684,Kalyan Banerjee,,
1685,Kalyan Dev,,
1686,Kalyan Singh Gupta,,
1687,Kalyan Singh Rawat,,
1688,Kalyan Sundaram,,
1689,Kalyanam Raghuramaiah,,
1690,Kalyanji Virji Shah,,
1691,Kalyanji Vithalbhai Mehta,,
1692,Kamal Haasan,,
1693,Kamal Krishna Sinha,,
1694,Kamal Kumar Sethi,,
1695,Kamal Manti Naskar,,
1696,Kamal Ranadive,,
1697,Kamala Pujhari,,
1698,Kamalabai Hospet,,
1699,Kamaladevi Chattopadhyay,,
1700,Kamalendumati Shah,,
1701,Kamaljit Sandhu,,
1702,Kamaljit Singh Paul,,
1703,Kameshwar Brahma,,
1704,Kameshwar Prasad,,
1705,Kamini A. Rao,,
1706,Kamleshwar,,
1707,Kanak Rele,,
1708,Kanaka Raju,,
1709,Kanaka Srinivasan,,
1710,Kandathil Mammen Philip,,
1711,Kangana Ranaut,,
1712,Kanhai Chitrakar,,
1713,Kanhaiya Lal Nandan,,
1714,Kanhaiyalal Sethia,,
1715,Kanhaya Lal Pokhriyal,,
1716,Kanhiyalal Prabhakar Mishra,,
1717,Kanika Banerjee,,
1718,Kankanhalli Vasudevachary,,
1719,Kanta Saroop Krishen,,
1720,Kanta Tyagi,,
1721,Kantibhai Baldevbhai Patel,,
1722,Kantilal Hastimal Sancheti,,
1723,Kanubhai Hasmukhbhai Tailor,,
1724,Kanuri Lakshmana Rao,"In 1963, Rao was awarded the Padma Bhushan for his contribution in the spheres of irrigation and power. He had been president of the Central Board of Irrigation and Power and of the All India Engineers Association in 1958–59 and 1959–1960. He was vice-president of International Society for Soil Mechanics and Geotechnical Engineering (Asia) in 1957–61 and in 1961–65. He was awarded a doctorate in science by Andhra University in 1960. He was also awarded a doctorate by Roorkee University in engineering in 1968.","నీటిపారుదల, విద్యుత్ రంగాలలో చేసిన కృషికి 1963లో రావుకు పద్మభూషణ్ లభించింది. ఇతను 1958-59, 1959-1960లో సెంట్రల్ బోర్డ్ ఆఫ్ ఇరిగేషన్ అండ్ పవర్, ఆల్ ఇండియా ఇంజనీర్స్ అసోసియేషన్ అధ్యక్షుడిగా ఉన్నారు. ఇతను 1957-61, 1961-65లో ఇంటర్నేషనల్ సొసైటీ ఫర్ సాయిల్ మెకానిక్స్ అండ్ జియోటెక్నికల్ ఇంజనీరింగ్ (ఆసియా) వైస్ ప్రెసిడెంట్. ఆంధ్ర విశ్వవిద్యాలయం 1960లో సైన్స్లో డాక్టరేట్తో సత్కరించింది. 1968లో రూర్కీ విశ్వవిద్యాలయం ఇంజినీరింగ్లో డాక్టరేట్ను కూడా ప్రదానం చేసింది. "
1725,Kanwal Sibal,,
1726,Kanwal Singh Chauhan,,
1727,Kanwaljit Singh Bains,,
1728,Kanwar Natwar Singh,,
1729,Kanwar Pal Singh Gill,,
1730,Kanwar Sain,,
1731,Kapil Dev,,
1732,Kapil Deva Dvivedi,,
1733,Kapil Mohan,,
1734,Kapil Tiwari,,
1735,Kapila Vatsyayan,,
1736,Karachur Lingappa Nanjappa,,
1737,Karamshi Jethabhai Somaiya,,
1738,Karan Johar,,
1739,Karan Singh,,
1740,Kariamanickam Srinivasa Krishnan,,
1741,Karim Al Hussaini Aga Khan,,
1742,Karimpat Mathangi Ramakrishnan,,
1743,Karimpumannil Mathai George,,
1744,Karimul Haque,,
1745,Kariya Munda,,
1746,Karl Harrington Potter,,
1747,Karl Jamshed Khandalavala,,
1748,Karnam Malleswari,,
1749,Karsanbhai Patel,,
1750,Kartar Paras Ram Singh,,
1751,Kartar Singh Dewana,,
1752,Kartar Singh Duggal,,
1753,Kartikeya V. Sarabhai,,
1754,Karuna Mary Braganza,,
1755,Kashi Nath Pandita,,
1756,Kashi Prasad Pandey,,
1757,Kashmir Singh Katoch,"The Government of India awarded Gen Katoch the third highest civilian honour, the Padma Bhushan in 1965,",భారత ప్రభుత్వం 1965లో జనరల్ కటోచ్కి మూడవ అత్యున్నత పౌర పురస్కారం పద్మభూషణ్ను అందించింది. 
1758,Kashmiri Lal Zakir,,
1759,Kasturbhai Lalbhai,,
1760,Kasturi Lal Chopra,,
1761,Kasturi Lal Vij,,
1762,Kasturi Srinivasan,,
1763,Kasturiswami Sreenivasan,,
1764,Kattingeri Krishna Hebbar,,
1765,Kattungal Subramaniam Manilal,,
1766,Katty Venkataswami Naidu,,
1767,Katuru Narayana,,
1768,Kaur Singh,,
1769,Kaushik Basu,,
1770,Kavalam Narayana Panicker,,
1771,Kaviraj Ashuthosh Majumdar,,
1772,Kavita Krishnamurthy,,
1773,Kavungal Chathunni Panicker,,
1774,Kayalath Pothen Philip,,
1775,Kazi Lhendup Dorjee,,
1776,Kazi Masum Akhtar,,
1777,Kazi Nazrul Islam,,
1778,Kedar Ghosh,,
1779,Kedar Gurung,,
1780,Kedar Nath Mookerjee,,
1781,Kedar Nath Sahoo,,
1782,Keepu Tsering Lepcha,,
1783,Keezhpadam Kumaran Nair,,
1784,Keiki R. Mehta,,
1785,Keki Byramjee Grant[i]#,,
1786,Keki Hormusji Gharda,,
1787,Keki N. Daruwalla,,
1788,Kekoo Gandhy,,
1789,Kelucharan Mohapatra,,
1790,Kershasp Tehmurasp Satarawala,,
1791,Kesarbai Kerkar,,
1792,Keshav Malik,,
1793,Keshav Prasad Goenka,,
1794,Keshav Rao Musalgaonkar,,
1795,Keshavram Kashiram Shastri,,
1796,Keshavrao Krishnarao Datey,,
1797,Keshubhai Patel,,
1798,Ketayun Ardeshir Dinshaw,,
1799,Kewal Singh Choudhary,,
1800,Khadg Singh Valdiya,,
1801,Khadim Hussain Khan,,
1802,Khailshanker Durlabhji,,
1803,Khaled Choudhury,,
1804,Khalid A. H. Ansari,,
1805,"Khalid Hameed, Baron Hameed",,
1806,Khalid Zaheer,,
1807,Khangembam Mangi Singh,,
1808,Kharag Singh Valdiya,,
1809,Khawlkungi,,
1810,Khem Karan Singh,,
1811,Khem Singh Gill,,
1812,Khushdeva Singh,,
1813,Khushwant Lal Wig,,
1814,Khushwant Singh,,
1815,Khusro Faramurz Rustamji,,
1816,Khwaja Ahmad Abbas,,
1817,Khwaja Ghulam Saiyidain,,
1818,Kim Yang-shik,,
1819,Kiran Karnik,,
1820,Kiran Martin,,
1821,Kiran Mazumdar,,
1822,Kiran Mazumdar-Shaw,,
1823,Kiran Segal,,
1824,Kiran Seth,,
1825,Kirit Parikh,,
1826,Kiritkumar Mansukhlal Acharya,,
1827,Kirpal Singh,,
1828,Kirpal Singh Chugh,,
1829,Kirpal Singh Narang,,
1830,Kishan Lal,"In 1966, he was awarded with the prestigious Padma Shri by former President of India Dr Sarvapalli Radha Krishnan.",1966లో భారత మాజీ రాష్ట్రపతి డాక్టర్ సర్వపల్లి రాధా కృష్ణన్చే ప్రతిష్టాత్మకమైన పద్మశ్రీ అవార్డును అందుకున్నారు. 
1831,Kishan Maharaj,,
1832,Kishandas Bhagwandas Kapadia,,
1833,Kishorebhai Ratilal Zaveri,,
1834,Kishori Amonkar,,
1835,Kodaganur S. Gopinath,,
1836,Kodandera Subayya Thimayya,,
1837,Koka Simhadri Babu,,
1838,Kolakaluri Enoch,,
1839,Komal Kothari,,
1840,Komala Varadan,,
1841,Koneru Ramakrishna Rao,,
1842,Kooram Chakravarthy Kannan,,
1843,Kota Harinarayana,,
1844,Kota Srinivasa Rao,,
1845,Kotha Satchidananda Murthy,,
1846,Kotha Satchidanda Murthy,,
1847,Kothamangalam Subbu,,
1848,Kotti Narasimha Udupa,,
1849,Kranti Shah,,
1850,Kripal Singh Shekhawat,,
1851,Kris Gopalakrishnan,,
1852,Krishan Dev Bali,,
1853,Krishan Dev Dewan,,
1854,Krishan Dutta Bharadwaj,,
1855,Krishan Swarup Pathak,,
1856,Krishen Khanna,,
1857,Krishn Kanhai,,
1858,Krishna Bihari Mishra,,
1859,Krishna Chaithanya,,
1860,Krishna Chandar,,
1861,Krishna Chandra Chunekar,,
1862,Krishna Chandra Panigrahi,,
1863,Krishna Chandra Shukla,,
1864,Krishna Gopal Saxena,,
1865,Krishna Joshi,,
1866,Krishna Kanta Handique,,
1867,Krishna Kumar,,
1868,Krishna Lal Chadha,,
1869,Krishna Murari Tiwari,,
1870,Krishna Pai Pai,,
1871,Krishna Poonia,,
1872,Krishna Prasad Dar,,
1873,Krishna Prasad Singh Varma,,
1874,Krishna Ram Chaudhary,,
1875,Krishna Ramchand Kriplani,,
1876,Krishna Reddy,,
1877,Krishna Srinivas,,
1878,Krishna Swaroop Mullick,,
1879,Krishnammal Jagannathan,,
1880,Krishnamurthy Santhanam,,
1881,Krishnan Raghavachari,,
1882,Krishnarao Phulambrikar,,
1883,Krishnarao Shankar Pandit,,
1884,Krishnarao Shripat Mhaskar,,
1885,Krishnaswami Balasubramania Iyer,,
1886,Krishnaswami Ramiah,,
1887,Krishnaswami Srinivas Sanjivi,,
1888,Krishnaswami Swaminathan,,
1889,Krishnaswamy Kasturirangan,,
1890,Kruthartha Acharya,,
1891,Kshama Metre,,
1892,Kshem Suman Chandra,,
1893,Kshetrimayum Ongbi Thouranisabi Devi,,
1894,Kudrat Singh,"Padma Shri
National Award",పద్మశ్రీ జాతీయ అవార్డు. 
1895,Kuldip Nayar,,
1896,Kuldip Singh Virk,,
1897,Kum Subasini Jhunu Dasgupta,,
1898,Kum Uma Sharma,,
1899,Kumar Gandharva,,
1900,Kumar Ketkar,,
1901,Kumar Nandan Prasad,,
1902,Kumar Padma Siva Shankara Menon,,
1903,Kumar Sanu,,
1904,Kumari Codanda Rohini Poovaiah,,
1905,Kumari Kamala,,
1906,Kumarpal Desai,,
1907,Kumkum Mohanty,,
1908,Kumud Ranjan Mullick,,
1909,Kumudini Lakhia,,
1910,Kundal Lal Bery,,
1911,Kunhiraman Palat Candeth,,
1912,Kunja Bihari Meher,,
1913,Kunjarani Devi,,
1914,Kunji Lal Dubey,,
1915,Kunnakudi Vaidyanathan,,
1916,Kunnenkeril K. Jacob,,
1917,Kunwar Digvijai Singh,,
1918,Kunwar Narayan,,
1919,Kunwar Singh Negi,,
1920,Kuppali Venkatappagowda Puttappa,,
1921,Kurian John Melamparambil,,
1922,Kushal Konwar Sarma,,
1923,Kushal Pal Singh,,
1924,Kushok Bakula,,
1925,Kuthur Ramakrishnan Srinivasan,,
1926,Kutikuppala Surya Rao,,
1927,Kuvempu,,
1928,Kuzhivelil Mathew,,
1929,Kuzhur Narayana Marar,,
1930,L. A. Krishna Iyer,,
1931,L. K. Advani,,
1932,L. K. Doraiswamy,,
1933,L. Kijungluba AO,,
1934,L. S. N. Prasad,,
1935,L. Subramaniam,,
1936,L. Venkatakrishna Iyer,,
1937,L. Z. Sailo,,
1938,Laila Tyabji,,
1939,Laishram Birendrakumar Singh,,
1940,Laishram Nabakishore Singh,,
1941,Lakha Khan,,
1942,Lakhimi Baruah,,
1943,Lakhumal Hiranand Hiranandani,,
1944,Lakshman Dev,,
1945,Lakshman Shastri Joshi,,
1946,Lakshman Singh,,
1947,Lakshman Singh Jangpangi,,
1948,Lakshman Swarup Darbari,,
1949,Lakshmi Kumari Chundawat,,
1950,Lakshmi Mazumdar,,
1951,Lakshmi Menon,,
1952,Lakshmi Mittal,,
1953,Lakshmi Nandan Bora,,
1954,Lakshmi Sahgal,,
1955,Lakshmikutty,,
1956,Lakshminarayana Pulram Ananthakrishnan Ramdas,,
1957,Lal Bahadur Singh Chauhan,,
1958,Lal Singh,,
1959,Lala Amarnath,,
1960,Lala Chand Verman,,
1961,Lala Hansraj Gupta,,
1962,Lalchand Hirachand,,
1963,Lalgudi Jayaraman,,
1964,Lalit Kumar,,
1965,Lalit Mohan Banerjee,,
1966,Lalit Pande,,
1967,Lalitha Chidambaram,,
1968,Lalji Singh,,
1969,Lallan Prasad Singh,,
1970,Lalsangzuali Sailo,,
1971,Lalsawma,,
1972,Lalthangfala Sailo,,
1973,Laltluangliana Khiangte,,
1974,Lalzuia Colney,,
1975,Lama Thup Phuntsok,,
1976,Lambert Mascarenhas,,
1977,Langpoklakpam Subadani Devi,,
1978,Lata Mangeshkar,,
1979,Laurie Baker,,
1980,Lavu Narendranath,,
1981,Laxma Goud,,
1982,Laxman Mahadeo Chitale,,
1983,Laxman Mane,,
1984,Laxman Pai,,
1985,Laxmanshastri Balaji Joshi,,
1986,Laxmi Chand Gupta,,
1987,Laxmi Mall Singhvi,,
1988,Laxmi Narayan Dubey,,
1989,Laxmi Prasad Sihare,,
1990,Laxminarayan Sahu,,
1991,Leander Paes,,
1992,Leela Joshi,,
1993,Leela Omchery,,
1994,Leela Samson,,
1995,Leela Sumant Moolgaokar,,
1996,Leeladhar Jagudi,,
1997,Leelavati Vinayak Pathak,,
1998,Lentina Ao Thakkar,,
1999,Leonarda Angela Casiraghi,,
2000,Leslie Claudius,,
2001,Leslie Denis Swindale,,
2002,Lhingioneng Gangte,,
2003,Lia Diskin,,
2004,Liarenmayum Damu Singh,,
2005,Lil Bahadur Chettri,,
2006,Lila Indrasen,,
2007,Lila Poonawalla,,
2008,Lila Ram,,
2009,Lila Ramkumar Bhargava,,
2010,Lilian G. Lutter,,
2011,Limba Ram,,
2012,Lloyd Rudolph,,
2013,Lokesh Chandra,,
2014,Lokesh Kumar Singhal,,
2015,Lothar Lutze,,
2016,Love Raj Singh Dharmshaktu,,
2017,Lovelin Kumar Gandhi,,
2018,Lucy Oommen,,
2019,Luis Jose De Souza,,
2020,M. A. Muthiah Chettiar,,
2021,M. A. Yousuf Ali,,
2022,M. Annamalai,,
2023,M. Aram,,
2024,M. B. Ramachandra Rao,,
2025,M. Balamuralikrishna,,
2026,M. Boyer,,
2027,M. C. Pant,,
2028,M. C. Setalvad,,
2029,M. D. Ramanathan,,
2030,M. D. Valsamma,,
2031,M. F. Husain,,
2032,M. G. Deo,,
2033,M. G. K. Menon,,
2034,M. J. Gopalan,,
2035,M. K. Binodini Devi,,
2036,M. K. Krishna Menon,,
2037,M. K. Kunjol,,
2038,M. K. Malik Mohammad,,
2039,M. K. Narayanan,,
2040,M. K. Radha,,
2041,M. K. Saroja,,
2042,M. Kirti Singh,,
2043,M. Krishnan Nair,,
2044,M. L. Soni,,
2045,M. L. Vasanthakumari,,
2046,M. Leelavathy,,
2047,M. M. Joshi,,
2048,M. M. S. Ahuja,,
2049,M. Mahadevappa,,
2050,M. N. Buch,,
2051,M. N. Krishnamani,,
2052,M. N. Passey,,
2053,M. N. Venkatachaliah,,
2054,M. Narasimham,,
2055,M. Night Shyamalan,,
2056,M. P. Ganesh,,
2057,M. P. Nachimuthu,,
2058,M. R. Acharekar,,
