,Recipients,acting career,acting career Telugu
1895,Kuldip Nayar,,
1896,Kuldip Singh Virk,,
1897,Kum Subasini Jhunu Dasgupta,,
1898,Kum Uma Sharma,,
1899,Kumar Gandharva,,
1900,Kumar Ketkar,,
1901,Kumar Nandan Prasad,,
1902,Kumar Padma Siva Shankara Menon,,
1903,Kumar Sanu,,
1904,Kumari Codanda Rohini Poovaiah,,
1905,Kumari Kamala,,
1906,Kumarpal Desai,,
1907,Kumkum Mohanty,,
1908,Kumud Ranjan Mullick,,
1909,Kumudini Lakhia,,
1910,Kundal Lal Bery,,
1911,Kunhiraman Palat Candeth,,
1912,Kunja Bihari Meher,,
1913,Kunjarani Devi,,
1914,Kunji Lal Dubey,,
1915,Kunnakudi Vaidyanathan,,
1916,Kunnenkeril K. Jacob,,
1917,Kunwar Digvijai Singh,,
1918,Kunwar Narayan,,
1919,Kunwar Singh Negi,,
1920,Kuppali Venkatappagowda Puttappa,,
1921,Kurian John Melamparambil,,
1922,Kushal Konwar Sarma,,
1923,Kushal Pal Singh,,
1924,Kushok Bakula,,
1925,Kuthur Ramakrishnan Srinivasan,,
1926,Kutikuppala Surya Rao,,
1927,Kuvempu,,
1928,Kuzhivelil Mathew,,
1929,Kuzhur Narayana Marar,,
1930,L. A. Krishna Iyer,,
1931,L. K. Advani,,
1932,L. K. Doraiswamy,,
1933,L. Kijungluba AO,,
1934,L. S. N. Prasad,,
1935,L. Subramaniam,,
1936,L. Venkatakrishna Iyer,,
1937,L. Z. Sailo,,
1938,Laila Tyabji,,
1939,Laishram Birendrakumar Singh,,
1940,Laishram Nabakishore Singh,,
1941,Lakha Khan,,
1942,Lakhimi Baruah,,
1943,Lakhumal Hiranand Hiranandani,,
1944,Lakshman Dev,,
1945,Lakshman Shastri Joshi,,
1946,Lakshman Singh,,
1947,Lakshman Singh Jangpangi,,
1948,Lakshman Swarup Darbari,,
1949,Lakshmi Kumari Chundawat,,
1950,Lakshmi Mazumdar,,
1951,Lakshmi Menon,,
1952,Lakshmi Mittal,,
1953,Lakshmi Nandan Bora,,
1954,Lakshmi Sahgal,,
1955,Lakshmikutty,,
1956,Lakshminarayana Pulram Ananthakrishnan Ramdas,,
1957,Lal Bahadur Singh Chauhan,,
1958,Lal Singh,,
1959,Lala Amarnath,,
1960,Lala Chand Verman,,
1961,Lala Hansraj Gupta,,
1962,Lalchand Hirachand,,
1963,Lalgudi Jayaraman,,
1964,Lalit Kumar,,
1965,Lalit Mohan Banerjee,,
1966,Lalit Pande,,
1967,Lalitha Chidambaram,,
1968,Lalji Singh,,
1969,Lallan Prasad Singh,,
1970,Lalsangzuali Sailo,,
1971,Lalsawma,,
1972,Lalthangfala Sailo,,
1973,Laltluangliana Khiangte,,
1974,Lalzuia Colney,,
1975,Lama Thup Phuntsok,,
1976,Lambert Mascarenhas,,
1977,Langpoklakpam Subadani Devi,,
1978,Lata Mangeshkar,,
1979,Laurie Baker,,
1980,Lavu Narendranath,,
1981,Laxma Goud,,
1982,Laxman Mahadeo Chitale,,
1983,Laxman Mane,,
1984,Laxman Pai,,
1985,Laxmanshastri Balaji Joshi,,
1986,Laxmi Chand Gupta,,
1987,Laxmi Mall Singhvi,,
1988,Laxmi Narayan Dubey,,
1989,Laxmi Prasad Sihare,,
1990,Laxminarayan Sahu,,
1991,Leander Paes,"Leander made his film debut in Ashok Kohli's Rajdhani Express, a socio-political thriller.","లియాండర్ తన సినీ రంగ ప్రవేశం అశోక్ కోహ్లి, రాజధాని ఎక్స్ప్రెస్, సామాజిక-రాజకీయ థ్రిల్లర్లో చేశాడు. "
1992,Leela Joshi,,
1993,Leela Omchery,,
1994,Leela Samson,,
1995,Leela Sumant Moolgaokar,,
1996,Leeladhar Jagudi,,
1997,Leelavati Vinayak Pathak,,
1998,Lentina Ao Thakkar,,
1999,Leonarda Angela Casiraghi,,
2000,Leslie Claudius,,
2001,Leslie Denis Swindale,,
2002,Lhingioneng Gangte,,
2003,Lia Diskin,,
2004,Liarenmayum Damu Singh,,
2005,Lil Bahadur Chettri,,
2006,Lila Indrasen,,
2007,Lila Poonawalla,,
2008,Lila Ram,,
2009,Lila Ramkumar Bhargava,,
2010,Lilian G. Lutter,,
2011,Limba Ram,,
2012,Lloyd Rudolph,,
2013,Lokesh Chandra,,
2014,Lokesh Kumar Singhal,,
2015,Lothar Lutze,,
2016,Love Raj Singh Dharmshaktu,,
2017,Lovelin Kumar Gandhi,,
2018,Lucy Oommen,,
2019,Luis Jose De Souza,,
2020,M. A. Muthiah Chettiar,,
2021,M. A. Yousuf Ali,,
2022,M. Annamalai,,
2023,M. Aram,,
2024,M. B. Ramachandra Rao,,
2025,M. Balamuralikrishna,,
2026,M. Boyer,,
2027,M. C. Pant,,
2028,M. C. Setalvad,,
2029,M. D. Ramanathan,,
2030,M. D. Valsamma,,
2031,M. F. Husain,,
2032,M. G. Deo,,
2033,M. G. K. Menon,,
2034,M. J. Gopalan,,
2035,M. K. Binodini Devi,,
2036,M. K. Krishna Menon,,
2037,M. K. Kunjol,,
2038,M. K. Malik Mohammad,,
2039,M. K. Narayanan,,
2040,M. K. Radha,,
2041,M. K. Saroja,,
2042,M. Kirti Singh,,
2043,M. Krishnan Nair,,
2044,M. L. Soni,,
2045,M. L. Vasanthakumari,,
2046,M. Leelavathy,,
2047,M. M. Joshi,,
2048,M. M. S. Ahuja,,
2049,M. Mahadevappa,,
2050,M. N. Buch,,
2051,M. N. Krishnamani,,
2052,M. N. Passey,,
2053,M. N. Venkatachaliah,,
2054,M. Narasimham,,
2055,M. Night Shyamalan,,
2056,M. P. Ganesh,,
2057,M. P. Nachimuthu,,
2058,M. R. Acharekar,,
2059,M. R. Brahmam,,
2060,M. R. Kurup,,
2061,M. R. Rajagopal,,
2062,M. R. S. Rao,,
2063,M. R. Srinivasan,,
2064,M. S. Banga,,
2065,M. S. Gill,,
2066,M. S. Gopalakrishnan,,
2067,M. S. Krishnan,,
2068,M. S. Narasimhan,,
2069,M. S. Raghunathan,,
2070,M. S. Ramakumar,,
2071,M. S. Sathyu,,
2072,M. S. Subbulakshmi,,
2073,M. S. Swaminathan,,
2074,M. S. Valiathan,,
2075,M. Sarada Menon,,
2076,M. Subhadra Nair,,
2077,M. T. Vasudevan Nair,,
2078,M. V. Mathur,,
2079,M. V. Padma Srivastava,,
2080,M. V. Pylee,,
2081,M. V. Rao,,
2082,M. V. Subbiah,,
2083,M. Vijayan,,
2084,M. Y. S. Prasad,,
2085,MS Dhoni,,
2086,Maadari Bhagya Gautam,,
2087,Machani Somappa,,
2088,Madan Lal Madhu,,
2089,Madan Madhav Godbole,,
2090,Madan Mohan,,
2091,Madan Mohan Sabharwal,,
2092,Madan Mohan Singh,,
2093,Madan Singh Chouhan,,
2094,Madanur Ahmed Ali,,
2095,Madapati Rao,,
2096,Madappa Mahadevappa,,
2097,Madaram Brahma,,
2098,Madavoor Vasudevan Nair,,
2099,Maddali Gopala Krishna,,
2100,Madeleine Herman de Blic,,
2101,Madhav Gadgil,,
2102,Madhav Kashinath Dalvi,,
2103,Madhav Sadashiv Gore,,
2104,Madhav Shrihari Aney,,
2105,Madhav Vittal Kamath,,
2106,Madhav Yeshwant Gadkari,,
2107,Madhava Ashish,,
2108,Madhavan Chandradathan,,
2109,Madhavan Nambiar,,
2110,Madhavi Mudgal,,
2111,Madhaviah Krishnan,,
2112,Madhavrao Bagal,,
2113,Madhu,,
2114,Madhu Mangesh Karnik,,
2115,Madhu Mansuri Hasmukh,,
2116,Madhu Pandit Dasa,,
2117,Madhu Sudan Kanungo,,
2118,Madhukar Keshav Dhavalikar,,
2119,Madhumita Bisht,,
2120,Madhup Mudgal,,
2121,Madhur Bhandarkar,,
2122,Madhuri Dixit,"''' 1980s: Early roles, breakthrough and recognition '''
Dixit made her cinema debut in 1984 with Rajshri Productions' drama Abodh, opposite Bengali actor, Tapas Paul. Upon release, the film failed commercially but Dixit's performance earned her positive reviews from critics. Aakash Barvalia of Gomolo wrote, ""Madhuri excels in her role as a young bride who acquits herself well as the naive village girl and does not realise what marriage actually entails.""
Her only release of 1985 – Awara Baap – flopped at the box office. During this time, a monochrome photograph of hers, shot by Gautam Rajadhyaksha was featured on the cover of the then popular magazine Debonair and she appeared as the cover girl of Filmfare in April 1986.Dixit's next four releases were the dramas Swati (1986), Manav Hatya (1986), Hifazat (1987) and Uttar Dakshin (1987). None of these films performed well either critically or commercially. Hifazat marked Dixit's first of several collaborations with Anil Kapoor. In 1988, Dixit had four film releases; three of them —Mohre, Khatron Ke Khiladi and Dayavan —were commercial failures.In 1988, Dixit finally attained recognition when she played Mohini, an impoverished and miserable woman, who is forced to dance to make money for her father in N","''' 1980లు: ప్రారంభ పాత్రలు, పురోగతి, గుర్తింపు '''దీక్షిత్ 1984లో రాజశ్రీ ప్రొడక్షన్స్' డ్రామా అబోధ్తో బెంగాలీ నటుడు, తపస్ పాల్ సరసన సినీ రంగ ప్రవేశం చేసింది. విడుదలైన తర్వాత, చిత్రం వాణిజ్యపరంగా విఫలమైంది, అయితే దీక్షిత్ నటన విమర్శకుల నుండి ఈమెకు సానుకూల సమీక్షలను సంపాదించింది. గోమోలో, ఆకాష్ బర్వాలియా ఇలా వ్రాశాడు, ""మాధురి ఒక యువ వధువు పాత్రలో అద్భుతంగా నటించింది, ఈమె అమాయకమైన పల్లెటూరి అమ్మాయిగా తనను తాను నిర్దోషిగా మార్చుకుంది, వాస్తవానికి వివాహం అంటే ఏమిటో అర్థం చేసుకోదు. ""ఈమె 1985లో విడుదలైన ఏకైక చిత్రం - ఆవారా బాప్ - బాక్సాఫీస్ వద్ద పరాజయం పాలైంది. ఈ సమయంలో, గౌతమ్ రాజాధ్యక్ష చిత్రీకరించిన మోనోక్రోమ్ ఛాయాచిత్రం అప్పటి ప్రముఖ మ్యాగజైన్ డెబోనైర్ కవర్పై కనిపించింది, ఈమె ఏప్రిల్ 1986లో ఫిల్మ్ఫేర్ కవర్ గర్ల్గా కనిపించింది. స్వాతి (1986), మానవ్ హత్య (1986), హిఫాజత్ (1987), ఉత్తర దక్షిణ్ (1987) అనే నాటకాలు దీక్షిత్, తదుపరి నాలుగు విడుదలలు. ఈ చిత్రాలేవీ విమర్శనాత్మకంగా లేదా వాణిజ్యపరంగా మంచి ప్రదర్శన ఇవ్వలేదు. హిఫాజత్ అనిల్ కపూర్తో దీక్షిత్, అనేక సహకారాలలో మొదటిది. 1988లో, దీక్షిత్కు నాలుగు చలనచిత్రాలు విడుదలయ్యాయి; వాటిలో మూడు - మోహ్రే, ఖత్రోన్ కే ఖిలాడి, దయావన్ - వాణిజ్య వైఫల్యాలు. 1988లో, N లో తన తండ్రి కోసం డబ్బు సంపాదించడానికి బలవంతంగా నృత్యం చేయాల్సిన నిరుపేద, దయనీయమైన స్త్రీ అయిన మోహిని పాత్రలో దీక్షిత్ చివరకు గుర్తింపు పొందింది. "
2123,Madhuri R. Shah,,
2124,Madhusudan Dhaky,,
2125,Madurai N. Krishnan,,
2126,Madurai Ponnusamy Sethuraman Natesan,,
2127,Mag Raj Jain,,
2128,Magan Lal Tribhuvandas Vyas,,
2129,Maganbhai Ramchhodbhai Patel,,
2130,Maguni Charan Das,,
2131,Maha Chakri Sirindhorn,,
2132,Mahadev Lalji Shahare,,
2133,Mahadev Prasad Pandey,,
2134,Mahadeva Iyer Ganapati,,
2135,Mahadevi Varma,,
2136,Mahamaya Prasad Dubey,,
2137,Mahankali Seetharama Rao,,
2138,Maharaj Kishan Bhan,,
2139,Maharaj Kr. Palden T Namgyal,,
2140,Maharaj Krishan Kumar,,
2141,Maharaja Krishna Rasgotra,,
2142,Maharajapuram Santhanam,,
2143,Maharao Raghuveer Singh,,
2144,Mahashay Dharampal Gulati,,
2145,Mahasundari Devi,,
2146,Mahasweta Devi,,
2147,Mahdi Hasan,,
2148,Mahendra Bhandari,,
2149,Mahendra Kapoor,,
2150,Mahendra Kumar Goel,,
2151,Mahendra Nath Kapur,,
2152,Mahendra Singh Sodha,,
2153,Mahesh Bhupathi,,
2154,Mahesh Chandra Mehta,,
2155,Mahesh Haribhai Mehta,,
2156,Mahesh Kanodia,,
2157,Mahesh Prasad Mehray,,
2158,Mahesh Raj Soni,,
2159,Mahesh Sharma,,
2160,Mahesh Verma,,
2161,Maheshwar Dayal,,
2162,Maheswar Neog,,
2163,Mahim Bora,,
2164,Mahipal S. Sachdev,,
2165,Mahipatrai Jadavji Shah,,
2166,Mahrukh Tarapor,,
2167,Maisnam Amubi Singh,,
2168,Maithili Sharan Gupt,,
2169,Maitreyi Devi,,
2170,Makar Dhwaja Darogha,,
2171,Makhala Jha,,
2172,Makhanlal Chaturvedi,,
2173,Malai Haji Abdullah Bin Malai Haji Othman,,
2174,Malathi Krishnamurthy Holla,,
2175,Malati Barua,,
2176,Malavika Sarukkai,,
2177,Malcolm Adiseshiah,,
2178,Mali,,
2179,Maligali Ram Krishna Girinath,,
2180,Malini Awasthi,,
2181,Mallappa Krishna Bhargava,,
2182,Mallika Sarabhai,,
2183,Mallika Srinivasan,,
2184,Mallikarjun Mansur,,
2185,Malti Joshi,,
2186,Malur Srinivasa Thirumale Iyengar,,
2187,Malvika Sabharwal,,
2188,Mamang Dai,,
2189,Mamidipudi Venkatarangayya,,
2190,Mammen Chandy,,
2191,Mammen Mathew,,
2192,Mammootty,"''' Early career (1971–1980) '''

Mammootty's debut was in 1971, as a junior artist in the film Anubhavangal Paalichakal, directed by K. S. Sethumadhavan. His second film was Kaalachakram, a 1973 Malayalam film directed by K. Narayanan, where he said his first dialogue. He acted in the theatre drama Sabarmathi in 1975. In 1979, he played his first lead role in Devalokam, directed by M. T. Vasudevan Nair. However, this film was never completed","'' 'ప్రారంభ కెరీర్ (1971–1980)' '' 1971లో కె దర్శకత్వం వహించిన అనుభవాలు పాలిచకల్ చిత్రంలో జూనియర్ ఆర్టిస్ట్గా మమ్ముట్టి అరంగేట్రం చేశారు. ఎస్. సేతుమాధవన్. అతని రెండవ చిత్రం కాలచక్రం, 1973లో కె దర్శకత్వం వహించిన మలయాళ చిత్రం. నారాయణన్ తన మొదటి డైలాగ్ ఎక్కడ చెప్పాడు. ఇతను 1975లో థియేటర్ డ్రామా సబర్మతిలో నటించాడు. 1979లో, ఎం దర్శకత్వం వహించిన దేవలోకంలో ఇతను తన మొదటి ప్రధాన పాత్రను పోషించాడు. టి. వాసుదేవన్ నాయర్. అయితే ఈ సినిమా పూర్తి కాలేదు. "
2193,Mamraj Agrawal,,
2194,Mamta Chandrakar,,
2195,Mamta Sodha,,
2196,Man Mohan Sharma,,
2197,Man Mohan Suri,,
2198,Man Singh M. Rana,,
2199,Manak Jehangir Bhickaji Maneckji,,
2200,Manas Bihari Verma,,
2201,Manas Chaudhuri,,
2202,Manchar Balvant Diwan,,
2203,Mandan Mishra,,
2204,Maneklal Sankalchand Thacker,,
2205,Mangal Singh Hazowary,,
2206,Mangala Prasad Mohanty,,
2207,Mangesh Padgaonkar,,
2208,Mangru Ganu Uikey,,
2209,Mani Krishnaswami,,
2210,Mani Kumar Chetri,,
2211,Mani Lal Bhaumik,,
2212,Mani Madhava Chakyar,,
2213,Mani Narayan,,
2214,Mani Ratnam,,
2215,Maniben Kara,,
2216,Manibhai Desai,,
2217,Manibhai J. Patel,,
2218,Manickam Narayanan,,
2219,Manik Varma,,
2220,Manikonda Chalapathi Rau,,
2221,Manikya Lal Verma,,
2222,Manilal Nag,,
2223,Manindra Agrawal,,
2224,Manju Bharat Ram,,
2225,Manju Sharma,,
2226,Manjul Bhargava,,
2227,Manjula Anagani,,
2228,Manmohan Attavar,,
2229,Manmohan Mahapatra,,
2230,Manmohan Singh,,
2231,Manna Dey,,
2232,Mannathu Padmanabha Pillai,,
2233,Manohar Devadoss,,
2234,Manohar Lal Chibber,,
2235,Manohar Parrikar,,
2236,Manoj Bajpayee,,
2237,Manoj Das,,
2238,Manoj Joshi,,
2239,Manoj Kumar,,
2240,Manorama,,
2241,Manorama Jafa,,
2242,Manoranjan Das,,
2243,Mansoor Ali Khan Pataudi,,
2244,Mansoor Hasan,,
2245,Mansukhlal Atmaram Master,,
2246,Manthiram Natarajan,,
2247,Mantosh Sondhi,,
2248,Manu Parekh,,
2249,Manu Sharma,,
2250,Manubhai Pancholi,,
2251,Manzoor Ahtesham,,
2252,Maqbool Ahmed Lari,,
2253,Marachi Subburaman,,
2254,Maria Aurora Couto,,
2255,Maria Renee Cura,,
2256,Mariadas Ruthnaswamy,,
2257,Marie Seton,,
2258,Mario Miranda,,
2259,Mariyappan Thangavelu,,
2260,Mark Tully,,
2261,Martand Singh,,
2262,Martha Chen,,
2263,Marthhand Ramchandra Jamdar,,
2264,Mary Clubwala Jadhav,,
2265,Mary Kom,,
2266,Mary Poonen Lukose,,
2267,Mary Ratnamma Issac,,
2268,Mary Theodosia,,
2269,Mary Verghese,,
2270,Maryam Begum,,
2271,Masud Hassan Rizvi,,
2272,Masuma Begum,,
2273,Mata Prasad,,
2274,Matha B. Manjamma Jogati,,
2275,Mathew Kalarickal,,
2276,Mathew Kandathil Mathulla,,
2277,Mathoor Krishnamurty,,
2278,Mathur Savani,,
2279,Mathura Das,,
2280,Mathura Nath Bhattacharyya,,
2281,Mattannoor Sankarankutty,,
2282,Mavelikara Krishnankutty Nair,,
2283,Mayadhar Mansingh,,
2284,Mayadhar Raut,,
2285,Mayangnokcha Ao,,
2286,Mayilvahanan Natarajan,,
2287,Mecca Rafeeque Ahmed,,
2288,Meena Shah,,
2289,Meenakshi Amma,,
2290,Meenakshi Chitharanjan,,
2291,Meenakshi Gopinath,,
2292,Meenakshi Jain,,
2293,Meenakshi Sargogi,,
2294,Meera Mukherjee,,
2295,Meetha Lal Mehta,,
2296,Meghnad Desai,,
2297,Mehboob Khan,,
2298,Mehdi Nawaz Jung,,
2299,Meher Jehangir Banaji,,
2300,Mehmood Dhaulpuri,,
2301,Mehmood-ur Rehman,,
2302,Mehmooda Ali Shah,,
2303,Mehrunnisa Parvez,,
2304,Melhupra Vero,,
2305,Melinda Gates,,
2306,Melville de Mellow,,
2307,Mian Bashir Ahmed,,
2308,Michael Ferreira,,
2309,Michael Postel,,
2310,Michel Danino,,
2311,Mihir Sen,,
2312,Milena Salvini,,
2313,Milind Kamble,,
2314,Milind Vasant Kirtane,,
2315,Milkha Singh,,
2316,Milon K. Banerji,,
2317,Minati Mishra,"Mishra acted in five Odia films. Her debut film Suryamukhi was released in 1963, followed by Jeevan Sathi, Sadhana, and Arundhati. All four received the National Film Award for Best Feature Film in Odia. She also acted in a 1963 Bengali film, Nirjana Saikate in which she has performed an Odissi dance number choreographed by Kelucharan Mahapatra. Apart from her film career she was also an A Grade artist at the All India Radio and was a recipient of Sangeet Prabhakar title for Hindustani vocal music.Mishra was the principal of the Utkal Sangeet Mohavidyalaya, Bhubaneswar from 1964 till 1989. During her tenure there, the institution regularised its curriculum, academically formalised Odissi dance and music training, introduced theatrical aspects into the syllabus and established examination guidelines, all of which are reported to have helped in the revival of Odissi. The stint at the institution also gave her opportunity to work alongside the first-generation gurus of Odissi such as Pankaj Charan Das and Deba Prasad Das.","మిశ్రా ఐదు ఒడియా చిత్రాల్లో నటించారు. ఈమె తొలి చిత్రం సూర్యముఖి 1963లో విడుదలైంది, ఆ తర్వాత జీవన్ సతి, సాధన, అరుంధతి. నలుగురూ ఒడియాలో ఉత్తమ చలనచిత్రంగా జాతీయ చలనచిత్ర అవార్డును అందుకున్నారు. ఈమె 1963 బెంగాలీ చిత్రం నిర్జన సైకతేలో కూడా నటించింది, ఇందులో ఈమె కేలుచరణ్ మహాపాత్ర కొరియోగ్రఫీ చేసిన ఒడిస్సీ నృత్యాన్ని ప్రదర్శించింది. ఈమె సినీ కెరీర్తో పాటు ఆల్ ఇండియా రేడియోలో ఎ గ్రేడ్ ఆర్టిస్ట్గా కూడా ఉంది, హిందుస్తానీ గాత్ర సంగీతంలో సంగీత ప్రభాకర్ బిరుదును కూడా అందుకుంది. మిశ్రా 1964 నుండి 1989 వరకు భువనేశ్వర్లోని ఉత్కల్ సంగీత మోహవిద్యాలయ ప్రిన్సిపాల్గా ఉన్నారు. ఈమె అక్కడ ఉన్న సమయంలో, సంస్థ తన పాఠ్యాంశాలను క్రమబద్ధీకరించింది, విద్యాపరంగా అధికారికంగా ఒడిస్సీ నృత్యం, సంగీత శిక్షణ, సిలబస్లో థియేట్రికల్ అంశాలను ప్రవేశపెట్టింది, పరీక్ష మార్గదర్శకాలను ఏర్పాటు చేసింది, ఇవన్నీ ఒడిస్సీ పునరుద్ధరణలో సహాయపడినట్లు నివేదించబడింది. ఈ సంస్థలో పని చేయడం వల్ల ఒడిస్సీకి చెందిన మొదటి తరం గురువులైన పంకజ్ చరణ్ దాస్, దేబా ప్రసాద్ దాస్ వంటి వారితో కలిసి పనిచేసే అవకాశం కూడా లభించింది. "
