,Recipients,controversy,controversy Telugu
1923,Kushal Pal Singh,"In April 2016, Singh's name featured in the list of high-profile names released in the Panama Papers, a set of 11.5 million confidential documents created by the Panamanian corporate service provider Mossack Fonseca. Singh's son Rajiv Singh, his wife, his daughter Pia Singh, and her husband Timmy Sarna all set up offshore companies in the British Virgin Islands through Mossack Fonseca, and are named in the Panama Papers.","ఏప్రిల్ 2016లో, 11 మందితో కూడిన పనామా పేపర్లలో విడుదలైన హై-ప్రొఫైల్ పేర్ల జాబితాలో సింగ్ పేరు ఉంది. పనామేనియన్ కార్పొరేట్ సర్వీస్ ప్రొవైడర్ Mossack Fonseca సృష్టించిన 5 మిలియన్ రహస్య పత్రాలు. సింగ్ కుమారుడు రాజీవ్ సింగ్, అతని భార్య, అతని కుమార్తె పియా సింగ్, ఈమె భర్త టిమ్మీ సర్నా అందరూ మోసాక్ ఫోన్సెకా ద్వారా బ్రిటిష్ వర్జిన్ దీవులలో ఆఫ్షోర్ కంపెనీలను స్థాపించారు, పనామా పేపర్లలో పేరు పెట్టారు. "
1924,Kushok Bakula,,
1925,Kuthur Ramakrishnan Srinivasan,,
1926,Kutikuppala Surya Rao,,
1927,Kuvempu,,
1928,Kuzhivelil Mathew,,
1929,Kuzhur Narayana Marar,,
1930,L. A. Krishna Iyer,,
1931,L. K. Advani,,
1932,L. K. Doraiswamy,,
1933,L. Kijungluba AO,,
1934,L. S. N. Prasad,,
1935,L. Subramaniam,,
1936,L. Venkatakrishna Iyer,,
1937,L. Z. Sailo,,
1938,Laila Tyabji,,
1939,Laishram Birendrakumar Singh,,
1940,Laishram Nabakishore Singh,,
1941,Lakha Khan,,
1942,Lakhimi Baruah,,
1943,Lakhumal Hiranand Hiranandani,,
1944,Lakshman Dev,,
1945,Lakshman Shastri Joshi,,
1946,Lakshman Singh,,
1947,Lakshman Singh Jangpangi,,
1948,Lakshman Swarup Darbari,,
1949,Lakshmi Kumari Chundawat,,
1950,Lakshmi Mazumdar,,
1951,Lakshmi Menon,,
1952,Lakshmi Mittal,,
1953,Lakshmi Nandan Bora,,
1954,Lakshmi Sahgal,,
1955,Lakshmikutty,,
1956,Lakshminarayana Pulram Ananthakrishnan Ramdas,,
1957,Lal Bahadur Singh Chauhan,,
1958,Lal Singh,,
1959,Lala Amarnath,,
1960,Lala Chand Verman,,
1961,Lala Hansraj Gupta,,
1962,Lalchand Hirachand,,
1963,Lalgudi Jayaraman,,
1964,Lalit Kumar,,
1965,Lalit Mohan Banerjee,,
1966,Lalit Pande,,
1967,Lalitha Chidambaram,,
1968,Lalji Singh,,
1969,Lallan Prasad Singh,,
1970,Lalsangzuali Sailo,,
1971,Lalsawma,,
1972,Lalthangfala Sailo,,
1973,Laltluangliana Khiangte,,
1974,Lalzuia Colney,,
1975,Lama Thup Phuntsok,,
1976,Lambert Mascarenhas,,
1977,Langpoklakpam Subadani Devi,,
1978,Lata Mangeshkar,"In 1974, The Guinness Book of Records listed Lata Mangeshkar as the most recorded artist in history, stating that she had reportedly recorded ""more than 25,000 solo, duet and chorus backed songs in 20 Indian languages"" between 1948 and 1974. Her record was contested by Mohammad Rafi, who was claimed to have sung around 28,000 songs. After Rafi's death, in its 1984 edition, the Guinness Book of World Records stated her name for the ""Most Recordings"", but also stated Rafi's claim. The later editions of Guinness Book stated that she had sung no fewer than 30,000 songs between 1948 and 1987.The entry was discontinued by Guinness editions in 1991 without explanation, while several sources continued to claim that she recorded thousands of songs, with estimates ranging up to figures as large as 50,000. However, even the earliest Guinness claim of 25,000 songs (between 1948 and 1974) was disputed and claimed to have been exaggerated by several others, stating that the number of songs sung by her in Hindi films till 1991 was found to be 5025. Mangeshkar stated that she did not keep a record of the number of songs she recorded, and that she did not know from where Guinness Book editors got their information. In 2011, the entry was revived by Guinness crediting the record to her sister Asha Bhosle as the most recorded artist in music history, ""for recording up to 11,000 solo, duet and chorus-backed songs and in over 20 Indian languages since 1947"". Since 2016, current record in this category belongs to
P. Susheela, for recording at least 17,695 songs in 6 languages, not counting some lost early recordings","1974లో, గిన్నిస్ బుక్ ఆఫ్ రికార్డ్స్ చరిత్రలో అత్యధికంగా రికార్డ్ చేయబడిన కళాకారిణిగా లతా మంగేష్కర్ను జాబితా చేసింది, ఈమె 1948, 1974 మధ్యకాలంలో ""20 భారతీయ భాషల్లో 25, 000 కంటే ఎక్కువ సోలో, డ్యూయెట్, కోరస్ బ్యాక్డ్ పాటలను"" రికార్డ్ చేసినట్లు పేర్కొంది. దాదాపు 28, 000 పాటలు పాడినట్లు చెప్పబడిన మహ్మద్ రఫీ ఈమె రికార్డుకు పోటీగా నిలిచారు. రఫీ మరణానంతరం, దాని 1984 ఎడిషన్లో, గిన్నిస్ బుక్ ఆఫ్ వరల్డ్ రికార్డ్స్ ఈమె పేరును ""అత్యధిక రికార్డింగ్లు""గా పేర్కొంది, కానీ రఫీ వాదనను కూడా పేర్కొంది. 1948, 1987 మధ్య కాలంలో ఈమె 30, 000 కంటే తక్కువ పాటలు పాడలేదని గిన్నిస్ బుక్, తరువాతి సంచికలు పేర్కొన్నాయి. 1991లో వివరణ లేకుండానే గిన్నిస్ ఎడిషన్ల ద్వారా ప్రవేశం నిలిపివేయబడింది, అయితే అనేక మూలాధారాలు ఈమె వేల పాటలను రికార్డ్ చేసిందని పేర్కొంటూనే ఉన్నాయి, అంచనాలు 50, 000 వరకు ఉన్నాయి. ఏది ఏమైనప్పటికీ, 25, 000 పాటల (1948, 1974 మధ్య) తొలి గిన్నిస్ దావా కూడా వివాదాస్పదమైంది, చాలా మంది ఇతరులచే అతిశయోక్తిగా పేర్కొంది, 1991 వరకు హిందీ చిత్రాలలో ఈమె పాడిన పాటల సంఖ్య 5025 అని పేర్కొంది. తాను రికార్డ్ చేసిన పాటల సంఖ్యను రికార్డు చేయలేదని, గిన్నిస్ బుక్ ఎడిటర్లకు తమ సమాచారం ఎక్కడి నుంచి వచ్చిందో తనకు తెలియదని మంగేష్కర్ పేర్కొన్నారు. 2011లో, ""1947 నుండి 11, 000 వరకు సోలో, డ్యూయెట్, బృందగానం, 20కి పైగా భారతీయ భాషల్లో రికార్డ్ చేసినందుకు"" సంగీత చరిత్రలో అత్యధికంగా రికార్డ్ చేయబడిన కళాకారిణిగా గిన్నిస్ రికార్డును ఈమె సోదరి ఆశా భోంస్లేకి అందించడం ద్వారా ఎంట్రీ పునరుద్ధరించబడింది. 2016 నుండి, ఈ వర్గంలో ప్రస్తుత రికార్డు Pకి చెందినది. సుశీల, 6 భాషల్లో కనీసం 17, 695 పాటలను రికార్డ్ చేసినందుకు, కొన్ని కోల్పోయిన ప్రారంభ రికార్డింగ్లను లెక్కించలేదు. "
1979,Laurie Baker,,
1980,Lavu Narendranath,,
1981,Laxma Goud,,
1982,Laxman Mahadeo Chitale,,
1983,Laxman Mane,,
1984,Laxman Pai,,
1985,Laxmanshastri Balaji Joshi,,
1986,Laxmi Chand Gupta,,
1987,Laxmi Mall Singhvi,,
1988,Laxmi Narayan Dubey,,
1989,Laxmi Prasad Sihare,,
1990,Laxminarayan Sahu,,
1991,Leander Paes,,
1992,Leela Joshi,,
1993,Leela Omchery,,
1994,Leela Samson,"Samson is known for her proximity to the Nehru-Gandhi of the Indian National Congress, as she was the dance tutor of Priyanka Vadra.  Samson held six key positions in the 10 years of Congress-led United Progressive Alliance regime. Many papers including the Indian Express alleged favouritism regarding her appointment as the chairperson of the censor board by UPA govt in 2011:

Leela Samson's appointment as chairperson of the Censor Board has raised the question as to whether the well-known Bharatanatyam dancer will have time to devote to her new assignment. Last year, Samson was appointed chairperson of the Sangeet Natak Akademi, another prestigious position. The academy is the apex body for the performing arts. Samson is also ex-officio head of the south zone cultural centre. Apart from these commitments, she has a full-time job as director of Kalakshetra in Chennai. Samson, who was once Priyanka Gandhi's dance teacher, has no particular connection with the world of cinema. After her appointment, Samson candidly admitted that she seldom watches films.
Samson's tenures at Kalakshetra, Sangeet Natak Akademi and the censor board were mired with many controversies amid allegations of corruption, illegal appointments and arbitrary awarding of contracts, as well as financial irregularities","ప్రియాంక వాద్రాకు డ్యాన్స్ ట్యూటర్ అయినందున, భారత జాతీయ కాంగ్రెస్కు చెందిన నెహ్రూ-గాంధీకి సామ్సన్ సామీప్యతతో ప్రసిద్ధి చెందింది. 10 ఏళ్ల కాంగ్రెస్ నేతృత్వంలోని యునైటెడ్ ప్రోగ్రెసివ్ అలయన్స్ పాలనలో శాంసన్ ఆరు కీలక పదవులు నిర్వహించారు. 2011లో UPA ప్రభుత్వం సెన్సార్ బోర్డు ఛైర్పర్సన్గా ఈమెను నియమించడం పట్ల ఇండియన్ ఎక్స్ప్రెస్తో సహా అనేక పత్రికలు అనుకూలతని ఆరోపించాయి: సెన్సార్ బోర్డ్ చైర్పర్సన్గా లీలా శాంసన్ నియామకం, సుప్రసిద్ధ భరతనాట్య నర్తకికి సమయం ఉంటుందా అనే ప్రశ్నను లేవనెత్తింది. ఈమె కొత్త అసైన్మెంట్కు అంకితం చేయండి. గత ఏడాది, మరో ప్రతిష్టాత్మకమైన సంగీత నాటక అకాడమీ చైర్పర్సన్గా శాంసన్ నియమితులయ్యారు. ప్రదర్శన కళలకు అకాడమీ అత్యున్నత సంస్థ. శాంసన్ సౌత్ జోన్ కల్చరల్ సెంటర్కు ఎక్స్-అఫీషియో హెడ్ కూడా. ఈ కమిట్మెంట్లు కాకుండా, ఈమె చెన్నైలోని కళాక్షేత్ర డైరెక్టర్గా పూర్తి సమయం ఉద్యోగం చేస్తోంది. ఒకప్పుడు ప్రియాంక గాంధీకి డ్యాన్స్ టీచర్గా పనిచేసిన శాంసన్కు సినిమా ప్రపంచంతో ప్రత్యేక సంబంధం లేదు. ఈమె నియామకం తర్వాత, సామ్సన్ తాను చాలా అరుదుగా సినిమాలు చూస్తానని నిజాయితీగా ఒప్పుకున్నాడు. కళాక్షేత్ర, సంగీత నాటక అకాడమీ, సెన్సార్ బోర్డులో శాంసన్ పదవీకాలం అవినీతి, అక్రమ నియామకాలు, ఇష్టానుసారంగా కాంట్రాక్టుల కేటాయింపు, అలాగే ఆర్థిక అవకతవకల ఆరోపణల మధ్య అనేక వివాదాలతో కూరుకుపోయింది. "
1995,Leela Sumant Moolgaokar,,
1996,Leeladhar Jagudi,,
1997,Leelavati Vinayak Pathak,,
1998,Lentina Ao Thakkar,,
1999,Leonarda Angela Casiraghi,,
2000,Leslie Claudius,,
2001,Leslie Denis Swindale,,
2002,Lhingioneng Gangte,,
2003,Lia Diskin,,
2004,Liarenmayum Damu Singh,,
2005,Lil Bahadur Chettri,,
2006,Lila Indrasen,,
2007,Lila Poonawalla,,
2008,Lila Ram,,
2009,Lila Ramkumar Bhargava,,
2010,Lilian G. Lutter,,
2011,Limba Ram,,
2012,Lloyd Rudolph,,
2013,Lokesh Chandra,,
2014,Lokesh Kumar Singhal,,
2015,Lothar Lutze,,
2016,Love Raj Singh Dharmshaktu,,
2017,Lovelin Kumar Gandhi,,
2018,Lucy Oommen,,
2019,Luis Jose De Souza,,
2020,M. A. Muthiah Chettiar,,
2021,M. A. Yousuf Ali,,
2022,M. Annamalai,,
2023,M. Aram,,
2024,M. B. Ramachandra Rao,,
2025,M. Balamuralikrishna,,
2026,M. Boyer,,
2027,M. C. Pant,,
2028,M. C. Setalvad,,
2029,M. D. Ramanathan,,
2030,M. D. Valsamma,,
2031,M. F. Husain,,
2032,M. G. Deo,,
2033,M. G. K. Menon,,
2034,M. J. Gopalan,,
2035,M. K. Binodini Devi,,
2036,M. K. Krishna Menon,,
2037,M. K. Kunjol,,
2038,M. K. Malik Mohammad,,
2039,M. K. Narayanan,,
2040,M. K. Radha,,
2041,M. K. Saroja,,
2042,M. Kirti Singh,,
2043,M. Krishnan Nair,,
2044,M. L. Soni,,
2045,M. L. Vasanthakumari,,
2046,M. Leelavathy,,
2047,M. M. Joshi,,
2048,M. M. S. Ahuja,,
2049,M. Mahadevappa,,
2050,M. N. Buch,,
2051,M. N. Krishnamani,,
2052,M. N. Passey,,
2053,M. N. Venkatachaliah,,
2054,M. Narasimham,,
2055,M. Night Shyamalan,,
2056,M. P. Ganesh,,
2057,M. P. Nachimuthu,,
2058,M. R. Acharekar,,
2059,M. R. Brahmam,,
2060,M. R. Kurup,,
2061,M. R. Rajagopal,,
2062,M. R. S. Rao,,
2063,M. R. Srinivasan,,
2064,M. S. Banga,,
2065,M. S. Gill,,
2066,M. S. Gopalakrishnan,,
2067,M. S. Krishnan,,
2068,M. S. Narasimhan,,
2069,M. S. Raghunathan,,
2070,M. S. Ramakumar,,
2071,M. S. Sathyu,,
2072,M. S. Subbulakshmi,,
2073,M. S. Swaminathan,,
2074,M. S. Valiathan,,
2075,M. Sarada Menon,,
2076,M. Subhadra Nair,"In 1990, Shibu Thomas and Geetha Shibu Thomas, parents of Baby Naveen, approached the Kerala State Consumer Disputes Redressal Commission alleging medical negligence on the part of the Cosmopolitan Hospital and the doctors. Baby Naveen was reported to have sustained Birth asphyxia (lack of oxygen), which consequently resulted in Hypoxic-ischemic encephalopathy, but, the commission dismissed the petition citing lack of evidence. The petitioners approached the National Consumer Disputes Redressal Commission with an appeal against the state body's verdict on which the appellate authority allowed a compensation of ₹ 1.35 million with interest, to be paid jointly by the hospital and the doctors. Subhadra, who had to pay approximately ₹500,000, however, maintained that there was no negligence on the part of the doctors.","1990లో, బేబీ నవీన్ తల్లిదండ్రులు శిబు థామస్, గీతా శిబు థామస్ కాస్మోపాలిటన్ ఆసుపత్రి, వైద్యుల వైద్యపరమైన నిర్లక్ష్యంపై ఆరోపిస్తూ కేరళ రాష్ట్ర వినియోగదారుల వివాదాల పరిష్కార కమీషన్ను ఆశ్రయించారు. బేబీ నవీన్కు బర్త్ అస్ఫిక్సియా (ఆక్సిజన్ లేకపోవడం) ఉన్నట్లు నివేదించబడింది, దీని ఫలితంగా హైపోక్సిక్-ఇస్కీమిక్ ఎన్సెఫలోపతి ఏర్పడింది, అయితే, సాక్ష్యాధారాలు లేవని పేర్కొంటూ కమిషన్ పిటిషన్ను కొట్టివేసింది. పిటిషనర్లు జాతీయ వినియోగదారుల వివాదాల పరిష్కార కమీషన్ను ఆశ్రయించి, అప్పీలేట్ అథారిటీ ₹ 1 పరిహారాన్ని అనుమతించిన రాష్ట్ర బాడీ తీర్పుపై అప్పీల్ చేసింది. 35 మిలియన్లు వడ్డీతో సహా, ఆసుపత్రి, వైద్యులు సంయుక్తంగా చెల్లించాలి. సుభద్ర సుమారు ₹500, 000 చెల్లించవలసి ఉంది, అయితే, వైద్యుల నిర్లక్ష్యం ఏమీ లేదని సమర్థించింది. "
2077,M. T. Vasudevan Nair,,
2078,M. V. Mathur,,
2079,M. V. Padma Srivastava,,
2080,M. V. Pylee,,
2081,M. V. Rao,,
2082,M. V. Subbiah,,
2083,M. Vijayan,,
2084,M. Y. S. Prasad,,
2085,MS Dhoni,,
2086,Maadari Bhagya Gautam,,
2087,Machani Somappa,,
2088,Madan Lal Madhu,,
2089,Madan Madhav Godbole,,
2090,Madan Mohan,,
2091,Madan Mohan Sabharwal,,
2092,Madan Mohan Singh,,
2093,Madan Singh Chouhan,,
2094,Madanur Ahmed Ali,,
2095,Madapati Rao,,
2096,Madappa Mahadevappa,,
2097,Madaram Brahma,,
2098,Madavoor Vasudevan Nair,,
2099,Maddali Gopala Krishna,,
2100,Madeleine Herman de Blic,,
2101,Madhav Gadgil,,
2102,Madhav Kashinath Dalvi,,
2103,Madhav Sadashiv Gore,,
2104,Madhav Shrihari Aney,,
2105,Madhav Vittal Kamath,,
2106,Madhav Yeshwant Gadkari,,
2107,Madhava Ashish,,
2108,Madhavan Chandradathan,,
2109,Madhavan Nambiar,,
2110,Madhavi Mudgal,,
2111,Madhaviah Krishnan,,
2112,Madhavrao Bagal,,
2113,Madhu,,
2114,Madhu Mangesh Karnik,,
2115,Madhu Mansuri Hasmukh,,
2116,Madhu Pandit Dasa,,
2117,Madhu Sudan Kanungo,,
2118,Madhukar Keshav Dhavalikar,,
2119,Madhumita Bisht,,
2120,Madhup Mudgal,,
2121,Madhur Bhandarkar,"While in 2012, Supreme Court justices H L Dattu and C K Prasad passed an order quashing the ongoing criminal proceedings, noting that Preeti Jain did not want to pursue the case against Bhandarkar and that the Mumbai police had earlier called the claim false and thus given him a clean chit. Initially, in 2004, Preeti Jain, a model and actress, accused Madhur Bhandarkar of rape and lodged a complaint with the Versova Police where she alleged that the filmmaker had raped her 16 times between 1999 and 2004 with the promise of casting her in his films. She also alleged that he promised to marry her and produced SMS texts, where he had reportedly asked for sexual favours, as evidence.
Bhandarkar claimed that the complaint was cheating-related, not about rape. In 2011, a Mumbai court found substance in her complaint and asked Bhandarkar to face the trial. He challenged the lower court's order before the higher court, which too rejected his plea.
In 2011, the police filed a report where it stated that the claim against the filmmaker was 'maliciously false'. The court rejected this report and held there was prima facie a case against Bhandarkar.
The Bombay High Court confirmed the magisterial court's decision to continue with Bhandarkar's prosecution. In 2011, the Bombay high court asked the filmmaker to face the trial in the case","2012లో సుప్రీంకోర్టు న్యాయమూర్తులు హెచ్ఎల్ దత్తు, సికె ప్రసాద్ కొనసాగుతున్న క్రిమినల్ ప్రొసీడింగ్లను రద్దు చేస్తూ ఉత్తర్వులు జారీ చేయగా, ప్రీతీ జైన్ భండార్కర్పై కేసును కొనసాగించడం ఇష్టం లేదని, ముంబై పోలీసులు ఇంతకుముందు దావా అబద్ధమని పేర్కొన్నారని, అందువల్ల అతనికి అందించారని పేర్కొన్నారు. క్లీన్ చిట్. మొదట్లో, 2004లో, మోడల్, నటి అయిన ప్రీతీ జైన్, మధుర్ భండార్కర్పై అత్యాచారం చేశాడని ఆరోపించింది, 1999, 2004 మధ్య కాలంలో తన సినిమాల్లో నటిస్తానని హామీ ఇచ్చి తనపై 16 సార్లు అత్యాచారం చేశాడని వెర్సోవా పోలీసులకు ఫిర్యాదు చేసింది. ఇతను తనను పెళ్లి చేసుకుంటానని వాగ్దానం చేసి, ఎస్ఎంఎస్ టెక్స్ట్లను అందించాడని, దానికి సాక్ష్యంగా ఇతను లైంగిక ప్రయోజనాలను కోరినట్లు ఈమె ఆరోపించింది. ఫిర్యాదు మోసానికి సంబంధించినదని, అత్యాచారానికి సంబంధించినది కాదని భండార్కర్ పేర్కొన్నారు. 2011లో ముంబై కోర్టు ఈమె ఫిర్యాదులో సారాంశాన్ని గుర్తించి విచారణను ఎదుర్కోవలసిందిగా భండార్కర్ను కోరింది. కింది కోర్టు ఆదేశాలను ఇతను పైకోర్టులో సవాలు చేశాడు, అది కూడా తన అభ్యర్థనను తిరస్కరించింది. 2011లో, పోలీసులు ఒక నివేదికను దాఖలు చేశారు, అక్కడ చిత్రనిర్మాతపై వచ్చిన దావా 'ద్వేషపూరితంగా తప్పు' అని పేర్కొంది. కోర్టు ఈ నివేదికను తిరస్కరించింది, భండార్కర్పై ప్రాథమికంగా కేసు ఉందని పేర్కొంది. భండార్కర్ ప్రాసిక్యూషన్ను కొనసాగించాలన్న మెజిస్ట్రియల్ కోర్టు నిర్ణయాన్ని బాంబే హైకోర్టు ధృవీకరించింది. 2011లో బాంబే హైకోర్టు ఈ కేసులో విచారణను ఎదుర్కోవలసిందిగా చిత్ర నిర్మాతను కోరింది. "
