,Recipients,WikiLink,Padma Shri Year,Padma Shri State,Padma Shri Field,Padma Shri Awarded By,Padma Bhushan Year,Padma Bhushan State,Padma Bhushan Field,Padma Bhushan Awarded By,Padma Vibhushan Year,Padma Vibhushan State,Padma Vibhushan Field,Padma Vibhushan Awarded By,Born,Birth Date,Place of Birth,Died,Death Date,Place of Death,Nationality,Spouse,Alma mater,Institutions,Other Awards including Padma,Occupation,Election Year,Posthumus
910,Hariharan Srinivasan,https://en.wikipedia.org/wiki/Hariharan_Srinivasan,1984.0,"Tamil Nadu, India",Medicine,Zail Singh,,,,,,,,,"7 September 1929
Vellore, Tamil Nadu",2029-09-07 00:00:00,"Vellore, Tamil Nadu","December 21, 2015(2015-12-21)(aged 86)","December 21, 2015(2015-12-21)(aged 86)",nan,,,,,,"orthopedic surgeon, writer",Yes,No
911,Krishna Murari Tiwari,,1984.0,"Uttarakhand, India",Civil Service,Zail Singh,,,,,,,,,nan,nan,nan,nan,nan,nan,,,,,,,Yes,No
912,Ram Gopal Vijayvargiya,https://en.wikipedia.org/wiki/Ram_Gopal_Vijayvargiya,1984.0,"Rajasthan, India",Arts,Zail Singh,,,,,,,,,nan,nan,nan,nan,nan,nan,,,,,,,Yes,No
913,Hari Krishan Wattal,,1984.0,"Uttar Pradesh, India",Civil Service,Zail Singh,,,,,,,,,nan,nan,nan,nan,nan,nan,,,,,,,Yes,No
914,Jai Singh Pal Yadav,,1984.0,Delhi/India,Civil Service,Zail Singh,,,,,,,,,nan,nan,nan,nan,nan,nan,,,,,,,Yes,No
915,Om Agarwal,https://en.wikipedia.org/wiki/Om_Agarwal,1985.0,"West Bengal, India",Sports,Zail Singh,,,,,,,,,"27 April 1955
Parel,Mumbai, India",1955-04-27 00:00:00,"Parel,Mumbai, India",15 May 1994 (aged 39),15 May 1994 (aged 39),nan,,,,,,,No,No
916,Syed Hasan Askari,https://en.wikipedia.org/wiki/Syed_Hasan_Askari,1985.0,"Bihar, India",Literature and Education,Zail Singh,,,,,,,,,nan,nan,nan,nan,nan,nan,,,,,,,No,No
917,Krishan Dev Bali,,1985.0,Delhi/India,Civil Service,Zail Singh,,,,,,,,,nan,nan,nan,nan,nan,nan,,,,,,,No,No
918,Jai Rattan Bhalla,,1985.0,Delhi/India,Science and Engineering,Zail Singh,,,,,,,,,nan,nan,nan,nan,nan,nan,,,,,,,No,No
919,Som Nath Bhaskar,,1985.0,"Karnataka, India",Civil Service,Zail Singh,,,,,,,,,nan,nan,nan,nan,nan,nan,,,,,,,No,No
920,Elizabeth Brunner,,1985.0,Delhi/India,Arts,Zail Singh,,,,,,,,,nan,nan,nan,nan,nan,nan,,,,,,,No,No
921,Arvind Navranglal Buch,,1985.0,"Gujarat, India",Social Work,Zail Singh,,,,,,,,,nan,nan,nan,nan,nan,nan,,,,,,,No,No
922,Biswas Ranjan Chatterjee,,1985.0,"West Bengal, India",Medicine,Zail Singh,,,,,,,,,nan,nan,nan,nan,nan,nan,,,,,,,No,No
923,Shanti Dave,https://en.wikipedia.org/wiki/Shanti_Dave,1985.0,"Gujarat, India",Arts,Zail Singh,,,,,,,,,"25 September 1931
Badpura,Gujarat, India",1931-09-25 00:00:00,"Badpura,Gujarat, India",nan,nan,nan,,,,,Padma Shri,Painter,No,No
924,Jamesh Dokhuma,,1985.0,"Mizoram, India",Literature and Education,Zail Singh,,,,,,,,,nan,nan,nan,nan,nan,nan,,,,,,,No,No
925,Ramniklal K. Gandhi,https://en.wikipedia.org/wiki/Ramniklal_K._Gandhi,1985.0,"Maharashtra, India",Medicine,Zail Singh,,,,,,,,,"18 January 1929
Khanpur, Uttar Pradesh, India",2029-01-18 00:00:00,"Khanpur, Uttar Pradesh, India",14 June 2003(2003-06-15)(aged 74),14 June 2003(2003-06-15)(aged 74),nan,,Madhu,,,Padma Shri,Pediatric surgeon,No,No
926,Kaka Hathrasi,https://en.wikipedia.org/wiki/Kaka_Hathrasi,1985.0,"Uttar Pradesh, India",Literature and Education,Zail Singh,,,,,,,,,"Prabhu Lal Garg[1]
(1906-09-18)18 September 1906
Hathras,United Provinces of Agra and Oudh,British India",Prabhu Lal Garg[1],"(1906-09-18)18 September 1906
Hathras,United Provinces of Agra and Oudh,British India",18 September 1995(1995-09-18)(aged 89),18 September 1995(1995-09-18)(aged 89),nan,,,,,,"satirist, humorist poet-writer",No,No
927,Harbans Singh Jolly,,1985.0,Delhi/India,Civil Service,Zail Singh,,,,,,,,,nan,nan,nan,nan,nan,nan,,,,,,,No,No
928,Satish Chandra Kala,,1985.0,"Uttar Pradesh, India",Civil Service,Zail Singh,,,,,,,,,nan,nan,nan,nan,nan,nan,,,,,,,No,No
929,Dinamani Sridhar Kamat,,1985.0,"Uttarakhand, India",Civil Service,Zail Singh,,,,,,,,,nan,nan,nan,nan,nan,nan,,,,,,,No,No
930,Predhiman Krishan Kaw,https://en.wikipedia.org/wiki/Predhiman_Krishan_Kaw,1985.0,"Gujarat, India",Science and Engineering,Zail Singh,,,,,,,,,"(1948-01-15)15 January 1948
Srinagar,Jammu and Kashmir,India",(1948-01-15)15 January 1948,"Srinagar,Jammu and Kashmir,India",18 June 2017(2017-06-18)(aged 69),18 June 2017(2017-06-18)(aged 69),nan,Indian,,,Institute for Plasma Research,"Shanti Swarup Bhatnagar Award
Padma Shri
TWAS Prize",,No,No
931,Namagundlu Venkata Krishnamurthy,,1985.0,"Maharashtra, India",Civil Service,Zail Singh,,,,,,,,,nan,nan,nan,nan,nan,nan,,,,,,,No,No
932,Ratnappa Kumbhar,https://en.wikipedia.org/wiki/Ratnappa_Kumbhar,1985.0,"Maharashtra, India",Social Work,Zail Singh,,,,,,,,,nan,nan,nan,nan,nan,nan,,,,,,,No,No
933,Erasmus Lyngdoh,,1985.0,"Meghalaya, India",Civil Service,Zail Singh,,,,,,,,,nan,nan,nan,nan,nan,nan,,,,,,,No,No
934,Asa Singh Mastana,https://en.wikipedia.org/wiki/Asa_Singh_Mastana,1985.0,Delhi/India,Arts,Zail Singh,,,,,,,,,"(1927-08-22)22 August 1927
Punjab",(1927-08-22)22 August 1927,Punjab,23 May 1999(1999-05-23)(aged 71),23 May 1999(1999-05-23)(aged 71),nan,,,,,,,No,No
935,Shital Raj Mehta,,1985.0,"Rajasthan, India",Medicine,Zail Singh,,,,,,,,,nan,nan,nan,nan,nan,nan,,,,,,,No,No
936,Bharat Mishra,,1985.0,"Bihar, India",Literature and Education,Zail Singh,,,,,,,,,nan,nan,nan,nan,nan,nan,,,,,,,No,No
937,Chandra Mohan,,1985.0,Chandigarh/India,Civil Service,Zail Singh,,,,,,,,,nan,nan,nan,nan,nan,nan,,,,,,,No,No
938,Madan Mohan,,1985.0,Delhi/India,Medicine,Zail Singh,,,,,,,,,nan,nan,nan,nan,nan,nan,,,,,,,No,No
939,Bhagwat Murmu,,1985.0,"Bihar, India",Social Work,Zail Singh,,,,,,,,,nan,nan,nan,nan,nan,nan,,,,,,,No,No
940,Samiran Nundy,https://en.wikipedia.org/wiki/Samiran_Nundy,1985.0,Delhi/India,Medicine,Zail Singh,,,,,,,,,India,nan,nan,nan,nan,nan,,,,,Padma Shri,Gastrointestinal surgeon,No,No
941,Harishankar Parsai,https://en.wikipedia.org/wiki/Harishankar_Parsai,1985.0,"Madhya Pradesh, India",Literature and Education,Zail Singh,,,,,,,,,"(1924-08-22)22 August 1924
Jamani,Central Provinces and Berar,British India",(1924-08-22)22 August 1924,"Jamani,Central Provinces and Berar,British India","10 August 1995(1995-08-10)(aged 72)
Jabalpur,Madhya Pradesh,India",10 August 1995(1995-08-10)(aged 72),"Jabalpur,Madhya Pradesh,India",,,,,,"Writer, satirist",No,No
942,Smita Patil,https://en.wikipedia.org/wiki/Smita_Patil,1985.0,"Maharashtra, India",Arts,Zail Singh,,,,,,,,,"(1955-10-17)17 October 1955
Pune,Bombay State, India[1][2]",(1955-10-17)17 October 1955,"Pune,Bombay State, India[1][2]","13 December 1986(1986-12-13)(aged 31)
Bombay, Maharashtra, India",13 December 1986(1986-12-13)(aged 31),"Bombay, Maharashtra, India",,Raj Babbar,,,,"Actress, television newscaster",No,No
943,S. V. S. Raghavan,https://en.wikipedia.org/wiki/S._V._S._Raghavan,1985.0,Delhi/India,Civil Service,Zail Singh,,,,,,,,,India,nan,nan,nan,nan,nan,,,,,Padma Shri,Industrialist,No,No
944,Palghat R. Raghu,https://en.wikipedia.org/wiki/Palghat_R._Raghu,1985.0,"Tamil Nadu, India",Arts,Zail Singh,,,,,,,,,"Palghat Ramaswamy Raghu
(1928-01-09)January 9, 1928
Rangoon, Burma(present-dayYangon,Myanmar)","(1928-01-09)January 9, 1928",nan,"June 2, 2009(2009-06-02)(aged 81)","June 2, 2009(2009-06-02)(aged 81)",nan,,Swarnambal,,,,"carnatic musician, percussionist",No,No
945,Nelly Homi Sethna,,1985.0,"Maharashtra, India",Trade and Industry,Zail Singh,,,,,,,,,nan,nan,nan,nan,nan,nan,,,,,,,No,No
946,Usha Sharma,https://en.wikipedia.org/wiki/Usha_Sharma,1985.0,"Uttar Pradesh, India",Medicine,Zail Singh,,,,,,,,,"Haryana,India",nan,nan,nan,nan,nan,,Devi Shankar Prabhakar(?-2005)[1],,,,"Actor, dancer, producer",No,No
947,Ashangbam Minaketan Singh,https://en.wikipedia.org/wiki/Ashangbam_Minaketan_Singh,1985.0,"Manipur, India",Literature and Education,Zail Singh,,,,,,,,,"(1906-05-02)2 May 1906
Wangkhei,Imphal, Manipur, India",(1906-05-02)2 May 1906,"Wangkhei,Imphal, Manipur, India",1995 (aged 88–89),1995 (aged 88–89),nan,,,,,"Padma Shri Award,Sahitya Academy AwardSoviet Land Nehru Award",,No,No
948,S. Srinivasa Sriramacharyulu,,1985.0,Delhi/India,Medicine,Zail Singh,,,,,,,,,nan,nan,nan,nan,nan,nan,,,,,,,No,No
949,Jadunath Supakar,https://en.wikipedia.org/wiki/Jadunath_Supakar,1985.0,"Uttar Pradesh, India",Trade and Industry,Zail Singh,,,,,,,,,"1931 (age 89–90)
Sambalpur,Odisha, India",1931 (age 89–90),"Sambalpur,Odisha, India",nan,nan,nan,,,,,"Padma Shri
Odisha Lalit Kala Academy Award","Artist
Textile designer",No,No
950,Haridas Thongram,,1985.0,"Manipur, India",Social Work,Zail Singh,,,,,,,,,nan,nan,nan,nan,nan,nan,,,,,,,No,No
951,P. T. Usha,https://en.wikipedia.org/wiki/P._T._Usha,1985.0,"Kerala, India",Sports,Zail Singh,,,,,,,,,"(1964-06-27)27 June 1964(age 57)
Kuttali,Kerala,India[2]",(1964-06-27)27 June 1964(age 57),"Kuttali,Kerala,India[2]",nan,nan,nan,Indian,V. Srinivasan,,,,,No,No
952,Gopal Krishna Vishwakarma,https://en.wikipedia.org/wiki/Gopal_Krishna_Vishwakarma,1985.0,Delhi/India,Medicine,Zail Singh,,,,,,,,,"(1934-10-01)1 October 1934
Ghazipur, UP",(1934-10-01)1 October 1934,"Ghazipur, UP","24 March 2004(2004-03-24)(aged 69)
New Delhi",24 March 2004(2004-03-24)(aged 69),New Delhi,,Radha Vishwakarma,,,,Orthopaedic surgeon,No,No
953,Anutai Wagh,https://en.wikipedia.org/wiki/Anutai_Wagh,1985.0,"Maharashtra, India",Social Work,Zail Singh,,,,,,,,,nan,nan,nan,nan,nan,nan,,,,,,,No,No
954,Anil Agarwal,https://en.wikipedia.org/wiki/Anil_Agarwal_(environmentalist),1986.0,Delhi/India,Literature and Education,Zail Singh,,,,,,,,,nan,nan,nan,nan,nan,nan,,,,,,,No,No
955,Gokuldas Shivaldas Ahuja,,1986.0,"Maharashtra, India",Civil Service,Zail Singh,,,,,,,,,nan,nan,nan,nan,nan,nan,,,,,,,No,No
956,Shankar Bapu Apegaonkar,https://en.wikipedia.org/wiki/Shankar_Bapu_Apegaonkar,1986.0,"Maharashtra, India",Arts,Zail Singh,,,,,,,,,"1911
Apegaon maharashtraIndia",1911.0,Apegaon maharashtraIndia,nan,nan,nan,,,,,Padma Shri,Classical musician,No,No
957,Kanika Banerjee,https://en.wikipedia.org/wiki/Kanika_Banerjee,1986.0,"West Bengal, India",Arts,Zail Singh,,,,,,,,,"Anima Mukherjee
(1924-10-12)12 October 1924
Sonamukhi,Bankura district,Bengal Province,British India(present-dayWest Bengal,India)[1]",(1924-10-12)12 October 1924,nan,"5 April 2000(2000-04-05)(aged 75)
Kolkata,West Bengal,India",5 April 2000(2000-04-05)(aged 75),"Kolkata,West Bengal,India",Indian,,,,,vocalist,No,No
958,Krishan Dev Dewan,https://en.wikipedia.org/wiki/Krishan_Dev_Dewan,1986.0,"Bihar, India",Social Work,Zail Singh,,,,,,,,,India,nan,nan,nan,nan,nan,,,,,Padma Shri,Social worker,No,No
959,Anupama Gokhale,https://en.wikipedia.org/wiki/Anupama_Gokhale,1986.0,"Maharashtra, India",Sports,Zail Singh,,,,,,,,,"(1969-05-17)17 May 1969(age 52)
Mumbai",(1969-05-17)17 May 1969(age 52),Mumbai,nan,nan,nan,,,,,,,No,No
960,Govind Bhimachary Joshi,https://en.wikipedia.org/wiki/G._B._Joshi,1986.0,"Karnataka, India",Others,Zail Singh,,,,,,,,,"(1904-09-29)29 September 1904[1]
Hombal,Gadag district",(1904-09-29)29 September 1904[1],"Hombal,Gadag district",25 December 1993(1993-12-25)(aged 89)[1],25 December 1993(1993-12-25)(aged 89)[1],nan,Indian,,,,Padma Shri(1986)Sangeet Natak Akademi Award(1989),Playwrightpublisherproducer of playwrights,No,No
961,Santosh Kumar Kackar,https://en.wikipedia.org/wiki/Santosh_Kumar_Kackar,1986.0,Delhi/India,Medicine,Zail Singh,,,,,,,,,India,nan,nan,nan,nan,nan,,,,,Padma Shri,Otorhynolaryngologist,No,No
962,Tushar Kanjilal,https://en.wikipedia.org/wiki/Tushar_Kanjilal,1986.0,"West Bengal, India",Social Work,Zail Singh,,,,,,,,,"(1935-03-01)1 March 1935
Noakhali,British India",(1935-03-01)1 March 1935,"Noakhali,British India","29 January 2020(2020-01-29)(aged 84)
Kolkata,India",29 January 2020(2020-01-29)(aged 84),"Kolkata,India",,Bina Kanjilal,,,Padma Shri,Social worker,No,No
963,Binod Kanungo,https://en.wikipedia.org/wiki/Binod_Kanungo,1986.0,"Odisha, India",Literature and Education,Zail Singh,,,,,,,,,"(1912-06-06)6 June 1912
Mallipur,Cuttack District,Odisha",(1912-06-06)6 June 1912,"Mallipur,Cuttack District,Odisha","(1990-06-22)June 22, 1990
Cuttack,Odisha","(1990-06-22)June 22, 1990","Cuttack,Odisha",Indian,,,,Odisha Sahitya Akademi(1983)Padmashree,,No,No
964,Avdhash Kaushal,https://en.wikipedia.org/wiki/Avdhash_Kaushal,1986.0,"Uttarakhand, India",Social Work,Zail Singh,,,,,,,,,nan,nan,nan,nan,nan,nan,Indian,,,,,Social activist,No,No
965,Anil Kumar Lakhina,https://en.wikipedia.org/wiki/Anil_Kumar_Lakhina,1986.0,"Maharashtra, India",Civil Service,Zail Singh,,,,,,,,,India,nan,nan,nan,nan,nan,,,,,"Padma Shri
National Real Estate Award",Civil servant,No,No
966,Subrata Mitra,https://en.wikipedia.org/wiki/Subrata_Mitra,1986.0,"West Bengal, India",Arts,Zail Singh,,,,,,,,,"12 October 1930
Kolkata,West Bengal,India",1930-10-12 00:00:00,"Kolkata,West Bengal,India","7 December 2001 (aged 70)
Kolkata, West Bengal, India",7 December 2001 (aged 70),"Kolkata, West Bengal, India",,,,,Padma Shri,,No,No
967,Chitra Naik,https://en.wikipedia.org/wiki/Chitra_Naik,1986.0,"Maharashtra, India",Literature and Education,Zail Singh,,,,,,,,,"(1918-07-15)15 July 1918
Pune,Maharashtra, India",(1918-07-15)15 July 1918,"Pune,Maharashtra, India","24 December 2010(2010-12-24)(aged 92)
Pune,Maharashtra, India",24 December 2010(2010-12-24)(aged 92),"Pune,Maharashtra, India",,Jayant Pandurang Naik,,,"Padma Shri
Pranawanand Award
Jeevan Sadhana Award
Karma Veer Bahurao Patil Samaj Seva Award
Tagore Literacy Award
UNESCORaja Roy Singh Award
Rajiv GandhiAward
UNESCOJan Amos Comenius International Award
Jamnalal Bajaj Award","Educationist
Writer
Social worker",No,No
968,Sheik Nazar,,1986.0,"Andhra Pradesh, India",Arts,Zail Singh,,,,,,,,,nan,nan,nan,nan,nan,nan,,,,,,,No,No
969,Abdur Rahman,https://en.wikipedia.org/w/index.php?title=Abdur_Rahman_(science_policy_analyst)&action=edit&redlink=1,1986.0,Delhi/India,Literature and Education,Zail Singh,,,,,,,,,nan,nan,nan,nan,nan,nan,,,,,,,No,No
970,Swaroop Kishen Reu,https://en.wikipedia.org/wiki/Swaroop_Kishen,1986.0,Delhi/India,Sports,Zail Singh,,,,,,,,,nan,nan,nan,nan,nan,nan,,,,,,,No,No
971,Nuchhungi Renthlei,https://en.wikipedia.org/wiki/Nuchhungi_Renthlei,1986.0,"Mizoram, India",Literature and Education,Zail Singh,,,,,,,,,"(1914-01-01)1 January 1914
Mizoram, India",(1914-01-01)1 January 1914,"Mizoram, India",1 January 2002(2002-01-01)(aged 88),1 January 2002(2002-01-01)(aged 88),nan,,R. Rualkhuma,,,Padma Shri,Writer,No,No
972,Bunker Roy,https://en.wikipedia.org/wiki/Bunker_Roy,1986.0,Delhi/India,Social Work,Zail Singh,,,,,,,,,"Sanjit Roy
(1945-06-30)30 June 1945(age 76)
Burnpur,West Bengal",(1945-06-30)30 June 1945(age 76),nan,nan,nan,nan,Indian,Aruna Roy​(m.1970)​,,,,Social activist & founder ofBarefoot College,No,No
973,Geet Sethi,https://en.wikipedia.org/wiki/Geet_Sethi,1986.0,"Gujarat, India",Sports,Zail Singh,,,,,,,,,"17 April 1961(1961-04-17)(age60)
Delhi, India",17 April 1961(1961-04-17)(age60),"Delhi, India",nan,nan,nan,,,,,,,No,No
974,Mohammad Shahid,https://en.wikipedia.org/wiki/Mohammad_Shahid_(Indian_cricketer),1986.0,"Uttar Pradesh, India",Sports,Zail Singh,,,,,,,,,"(1948-11-11)11 November 1948
Aligarh, India",(1948-11-11)11 November 1948,"Aligarh, India","12 December 2014(2014-12-12)(aged 66)
Aligarh, India",12 December 2014(2014-12-12)(aged 66),"Aligarh, India",,,,,,,No,No
975,Raghunath Sharma,,1986.0,"Uttar Pradesh, India",Literature and Education,Zail Singh,,,,,,,,,nan,nan,nan,nan,nan,nan,,,,,,,No,No
976,Rajkumar Singhajit Singh,https://en.wikipedia.org/wiki/Rajkumar_Singhajit_Singh,1986.0,Delhi/India,Arts,Zail Singh,,,,,,,,,"(1931-05-01)1 May 1931(age 90)
Manipur, India",(1931-05-01)1 May 1931(age 90),"Manipur, India",nan,nan,nan,,,,,,"Classical Indian dancer(Manipuri dance),choreographer,scholar",No,No
977,Ramesh Inder Singh,https://en.wikipedia.org/wiki/Ramesh_Inder_Singh,1986.0,Delhi/India,Civil Service,Zail Singh,,,,,,,,,"Punjab, India",nan,nan,nan,nan,nan,,,,,Padma Shri,Civil servant,No,No
978,Somasundaram Subramanian,,1986.0,Delhi/India,Civil Service,Zail Singh,,,,,,,,,nan,nan,nan,nan,nan,nan,,,,,,,No,No
979,Hisam-ud-din Usta,https://en.wikipedia.org/wiki/Hisam-ud-din_Usta,1986.0,"Rajasthan, India",Arts,Zail Singh,,,,,,,,,nan,nan,nan,nan,nan,nan,,,,,,,No,No
980,Abdul Sattar,,1987.0,"Assam, India",Literature and Education,Zail Singh,,,,,,,,,nan,nan,nan,nan,nan,nan,,,,,,,No,No
981,Nazir Ahmed,https://en.wikipedia.org/wiki/Nazir_Ahmed_(scholar),1987.0,"Uttar Pradesh, India",Literature and Education,Zail Singh,,,,,,,,,"(1915-01-03)3 January 1915
Kolahi Gareeb, (Gorra) Gonda",(1915-01-03)3 January 1915,"Kolahi Gareeb, (Gorra) Gonda","19 October 2008(2008-10-19)(aged 93)
Aligarh",19 October 2008(2008-10-19)(aged 93),Aligarh,,,,,"Padma Shri,Ghalib Award,Presidential Award and Lifetime Fellowship,Khusro Award,Hafez Sanaash,Jaizah Afshar,",Indian Scholar and Writer,No,No
982,Mohammad Izhar Alam,https://en.wikipedia.org/wiki/Mohammad_Izhar_Alam,1987.0,"Bihar, India",Civil Service,Zail Singh,,,,,,,,,"(1948-08-04)4 August 1948
Sitamarhi, Bihar, India",(1948-08-04)4 August 1948,"Sitamarhi, Bihar, India","6 July 2021 (aged72 years)
Malerkotla",6 July 2021 (aged72 years),Malerkotla,,Farzana Nisara Khatun,,,Padma Shri,Police official,No,No
983,Begum Zaffar Ali,https://en.wikipedia.org/wiki/Begum_Zaffar_Ali,1987.0,Jammu & Kashmir/India,Social Work,Zail Singh,,,,,,,,,"1901
Srinagar,Jammu and Kashmir (princely state)",1901.0,"Srinagar,Jammu and Kashmir (princely state)","1999
United States",1999.0,United States,,Agha Zaffar Ali Qizilbash,,,Padma Shri,"Educationist, Women's liberation activist",No,No
984,Jaya Arunachalam,https://en.wikipedia.org/wiki/Jaya_Arunachalam,1987.0,"Tamil Nadu, India",Social Work,Zail Singh,,,,,,,,,"8 February 1935
Tamil Nadu, India",1935-02-08 00:00:00,"Tamil Nadu, India","29 June 2019
Chennai, Tamil Nadu",2019-06-29 00:00:00,"Chennai, Tamil Nadu",,,,,"Padma Shri, Stree Shakti Puraskar",,No,No
985,K. Balachander,https://en.wikipedia.org/wiki/K._Balachander,1987.0,"Tamil Nadu, India",Arts,Zail Singh,,,,,,,,,"Kailasam Balachander
(1930-07-09)9 July 1930
Nannilam,Madras Presidency,British India",(1930-07-09)9 July 1930,nan,"23 December 2014(2014-12-23)(aged 84)
Chennai,Tamil Nadu, India",23 December 2014(2014-12-23)(aged 84),"Chennai,Tamil Nadu, India",,Rajam​(m.1956⁠–⁠2014)​,,,KalaimamaniPadma ShriDadasaheb Phalke AwardANR National Award,"Playwright,film director,film producer,screenwriter,actor",No,No
986,Joginder Paul Birdi,,1987.0,"Punjab, India",Civil Service,Zail Singh,,,,,,,,,nan,nan,nan,nan,nan,nan,,,,,,,No,No
987,Hormazdiar Jamshedi Muncherji Desai,,1987.0,"Maharashtra, India",Social Work,Zail Singh,,,,,,,,,nan,nan,nan,nan,nan,nan,,,,,,,No,No
988,Saroj Kumar Gupta,,1987.0,"West Bengal, India",Medicine,Zail Singh,,,,,,,,,nan,nan,nan,nan,nan,nan,,,,,,,No,No
989,Hrangaia,,1987.0,"Mizoram, India",Social Work,Zail Singh,,,,,,,,,nan,nan,nan,nan,nan,nan,,,,,,,No,No
990,Vanaja Iyengar,https://en.wikipedia.org/wiki/Vanaja_Iyengar,1987.0,"Andhra Pradesh, India",Literature and Education,Zail Singh,,,,,,,,,"Andhra Pradesh, India",nan,nan,2001.0,2001.0,nan,,Mohit Sen,,,"Padma Shri
Government of Andhra PradeshBest Teacher Award
Rajiv Gandhi FoundationFellowship","Mathematician
educationist",No,No
991,Gurbachan Jagat,https://en.wikipedia.org/wiki/Gurbachan_Jagat,1987.0,Delhi/India,Civil Service,Zail Singh,,,,,,,,,nan,nan,nan,nan,nan,nan,,,,,,,No,No
992,Prem Kumar Kakar,,1987.0,Delhi/India,Medicine,Zail Singh,,,,,,,,,nan,nan,nan,nan,nan,nan,,,,,,,No,No
993,Khawlkungi,,1987.0,"Mizoram, India",Literature and Education,Zail Singh,,,,,,,,,nan,nan,nan,nan,nan,nan,,,,,,,No,No
994,Vijaya Mehta,https://en.wikipedia.org/wiki/Vijaya_Mehta,1987.0,"Maharashtra, India",Arts,Zail Singh,,,,,,,,,"Vijaya Jaywant
(1934-11-04)4 November 1934(age 86)
Baroda,Baroda State,British India(present-dayVadodara,Gujarat,India)",(1934-11-04)4 November 1934(age 86),nan,nan,nan,nan,,"Harin Khote (died)
Farrokh Mehta",,,"1975Sangeet Natak Akademi Award
1985Asia Pacific Film Festival, Best Actress:Party
1986National Film Award for Best Supporting Actress:Rao Saheb",,No,No
995,Badri Narayan,https://en.wikipedia.org/wiki/Badri_Narayan,1987.0,"Maharashtra, India",Literature and Education,Zail Singh,,,,,,,,,"1929
Secunderabad, Andhra Pradesh",1929.0,"Secunderabad, Andhra Pradesh","2013
Bangalore, Karnataka",2013.0,"Bangalore, Karnataka",Indian,,,,,,No,No
996,Prabhu Dayal Nigam,https://en.wikipedia.org/wiki/Prabhu_Dayal_Nigam,1987.0,Delhi/India,Medicine,Zail Singh,,,,,,,,,India,nan,nan,nan,nan,nan,,,,,"Padma Shri
Dr. B. C. Roy Award",Cardiologist,No,No
997,Debi Prasanna Pattanayak,https://en.wikipedia.org/wiki/Debi_Prasanna_Pattanayak,1987.0,"Odisha, India",Literature and Education,Zail Singh,,,,,,,,,"(1931-03-14)14 March 1931(age 90)
Tigiria,Cuttack,Odisha",(1931-03-14)14 March 1931(age 90),"Tigiria,Cuttack,Odisha",nan,nan,nan,Indian,,,,Padma Shri,"Professor, linguist, social scientist and author",No,No
998,Natesan Ramani,https://en.wikipedia.org/wiki/N._Ramani,1987.0,"Tamil Nadu, India",Arts,Zail Singh,,,,,,,,,"(1934-10-15)15 October 1934
Tiruvarur, Tamil Nadu, India",(1934-10-15)15 October 1934,"Tiruvarur, Tamil Nadu, India","9 October 2015(2015-10-09)(aged 80)
Mylapore,Chennai, India",9 October 2015(2015-10-09)(aged 80),"Mylapore,Chennai, India",,,,,,,No,No
999,P. V. S. Rao,https://en.wikipedia.org/wiki/P._V._S._Rao,1987.0,"Maharashtra, India",Science and Engineering,Zail Singh,,,,,,,,,"(1936-07-17)July 17, 1936(age 85)
Berhampur,Odisha","(1936-07-17)July 17, 1936(age 85)","Berhampur,Odisha",nan,nan,nan,,Vijayalakshmi,,,"Padma Shri
Vikram Sarabhai Award
Om Prakash Bhasin Award
VASVIK Industrial Research Award
Lifetime Achievement Award (CSI)
IEEE Millennium Medal",,No,No
1000,Bhagyashree Thipsay,https://en.wikipedia.org/wiki/Bhagyashree_Thipsay,1987.0,"Maharashtra, India",Sports,Zail Singh,,,,,,,,,nan,nan,nan,nan,nan,nan,,,,,,,No,No
1001,Sant Singh Sekhon,https://en.wikipedia.org/wiki/Sant_Singh_Sekhon,1987.0,"Punjab, India",Literature and Education,Zail Singh,,,,,,,,,"1908
Lyallpur,Punjab,British India(present-day Pakistan)",1908.0,"Lyallpur,Punjab,British India(present-day Pakistan)",1997.0,1997.0,nan,,,,,,"writer, scholar",No,No
1002,Aparna Sen,https://en.wikipedia.org/wiki/Aparna_Sen,1987.0,"West Bengal, India",Arts,Zail Singh,,,,,,,,,"Aparna Dasgupta
(1945-10-25)25 October 1945(age 75)
Calcutta,Bengal Presidency,British India",(1945-10-25)25 October 1945(age 75),nan,nan,nan,nan,,"Sanjay Sen
Mukul Sharma
Kalyan Ray",,,Full list,Actressdirectorscreenwriter,No,No
1003,Amar Nath Shastri,,1987.0,Chandigarh/India,Medicine,Zail Singh,,,,,,,,,nan,nan,nan,nan,nan,nan,,,,,,,No,No
1004,Ramadas P. Shenoy,https://en.wikipedia.org/wiki/Ramadas_P._Shenoy,1987.0,"Karnataka, India",Science and Engineering,Zail Singh,,,,,,,,,"28 April 1929(1929-04-28)
Mangalore, India",28 April 1929(1929-04-28),"Mangalore, India","16 August 2012(2012-08-17)(aged 83)
Bangalore, India",16 August 2012(2012-08-17)(aged 83),"Bangalore, India",,Smt. Amita R Shenoy,,,"Padma Shri

IETE-IRSI Award
Aryabhatta Award",Defence scientist,No,No
